paper_id,zotero_key,item_type,title,pub_year,doi,url,author_list,n_authors
wls_zotero_8CQNZGVR,8CQNZGVR,journalArticle,"The relationship among different types of arts engagement, empathy, and prosocial behavior.",2020,10.1037/aca0000269,https://research.ebsco.com/linkprocessor/plink?id=8024c358-f66e-3bf1-a8ba-95b6cf7732e6,Kou X|Konrath S|Goldstein TR,3
wls_zotero_L7ZZCB2Y,L7ZZCB2Y,journalArticle,Self-Acceptance and Interdependence Promote Longevity: Evidence From a 20-year Prospective Cohort Study,2020,10.3390/ijerph17165980,https://www.mdpi.com/1660-4601/17/16/5980,Ng R|Allore HG|Levy BR,3
wls_zotero_IM6KJ9CT,IM6KJ9CT,journalArticle,Trajectories of Big Five Personality Traits: A Coordinated Analysis of 16 Longitudinal Samples,2020,10.1002/per.2259,https://doi.org/10.1002/per.2259,Graham EK|Weston SJ|Gerstorf D|Yoneda TB|Booth T|Beam CR|Petkus AJ|Drewelies J|Hall AN|Bastarache ED|Estabrook R|Katz MJ|Turiano NA|Lindenberger U|Smith J|Wagner GG|Pedersen NL|Allemand M|SpiroIII A|Deeg DJH|Johansson B|Piccinin AM|Lipton RB|Schaie KW|Willis S|Reynolds CA|Deary IJ|Hofer SM|Mroczek DK,29
wls_zotero_7BLHEQFS,7BLHEQFS,journalArticle,A mega-analysis of personality prediction: Robustness and boundary conditions.,2022,10.1037/pspp0000386,https://research.ebsco.com/linkprocessor/plink?id=822273ce-6d43-3af7-aa21-22d4a1302781,Beck ED|Jackson JJ,2
wls_zotero_L9PKZSD5,L9PKZSD5,thesis,Host-Microbiome Interactions Impacting Pathogen and Mutualist Colonization Within Defensive Symbioses,2020,NA,NA,Bratburd JR,1
wls_zotero_M5KNDIQR,M5KNDIQR,journalArticle,"Long-Term Effects of Child Sexual Abuse on Physical Health: A Mixed-Gender, Population-Based Analysis of Older Adults",2025,10.1177/08862605251339641,NA,Easton SD|Kong J|Renner LM|McKetchnie SM,4
wls_zotero_IF8WIPAF,IF8WIPAF,journalArticle,Educational disparities in 20-year trajectories of psychological well-being in a national sample,2025,10.1038/s41598-025-95058-y,https://www.nature.com/articles/s41598-025-95058-y,Boylan JM|Choi JH|Kirsch JA|Ryff CD,4
wls_zotero_FQ6IHPPB,FQ6IHPPB,presentation,Do Perceptions of Own and Spouse Survival Affect Advance Care Planning?,2020,NA,NA,Carr D|Lou Y,2
wls_zotero_EAW867BM,EAW867BM,presentation,Social Relationships and Alcohol Abuse in Older Ages,2020,NA,NA,Vogelsang E,1
wls_zotero_G66V3WNS,G66V3WNS,presentation,Depressive Symptom Profile Transitions From Midlife to Late Life in the Wisconsin Longitudinal Study,2020,NA,NA,Carr K,1
wls_zotero_CUJ4HKDU,CUJ4HKDU,journalArticle,Childhood abuse and adult relationships with perpetrating parents: impacts on depressive symptoms of caregivers of aging parents,2021,10.1080/13607863.2021.1950612,https://doi.org/10.1080/13607863.2021.1950612,Kong J|and Moorman S,2
wls_zotero_LPVKBP6G,LPVKBP6G,journalArticle,The role of polygenic indices in inequality of opportunity,2025,10.1093/pnasnexus/pgaf140,https://doi.org/10.1093/pnasnexus/pgaf140,Grätz M|Petrini S,2
wls_zotero_ZLVQLXSB,ZLVQLXSB,journalArticle,Purpose in life and lung function: an individual-participant meta-analysis of six cohort studies,2025,10.1186/s12931-025-03247-0,NA,Sutin AR|Stephan Y|Luchetti M|Brown J|Kekäläinen T|Hajek A|Canada B|Kuss Sb|Terracciano A,9
wls_zotero_2Y4LCFMK,2Y4LCFMK,presentation,How to Access and Use Data from the Wisconsin Longitudinal Study,2021,NA,NA,Roan C,1
wls_zotero_6MWXAZM8,6MWXAZM8,presentation,Biological Measures in the WLS: Genetic and Microbiome Data,2021,NA,NA,Sicinski K,1
wls_zotero_38XZU4EF,38XZU4EF,presentation,WLS-ILIAD: New Longitudinal Resources for Cognitive and Dementia Data,2021,NA,NA,Asthana S|Herd P|Williams V,3
wls_zotero_Z7QEXNWF,Z7QEXNWF,presentation,WLS-ILIAD: Initial Lifetime's Impact on ADRD,2021,NA,NA,Herd P,1
wls_zotero_DE6RK9JT,DE6RK9JT,presentation,"The Wisconsin Longitudinal Study: Overview, Data Linkages, and Future Plans",2021,NA,NA,Engelman M,1
wls_zotero_UHXWES76,UHXWES76,bookSection,Where the Choice of Model Leads Us: An Empirical Comparison of Dyadic Data Analysis Frameworks,2021,NA,https://link.springer.com/10.1007/978-3-030-74772-5_39,Kim H|Kim JS,2
wls_zotero_LNHB4QSG,LNHB4QSG,bookSection,Family impact and adjustment across the lifespan: Parents of children with intellectual and developmental disabilities,2020,NA,10.1037/0000195-009,Glidden LM|Floyd FJ|Hastings RP|Mailick MR,4
wls_zotero_6GYG8KNN,6GYG8KNN,journalArticle,ASSESSMENT OF THE CONTRIBUTIONS OF PSYCHOLOGICAL WELL-BEING THEORIES ON RETIREMENT,2025,NA,https://journals.aphriapub.com/index.php/AJSBS/article/view/3085,Omaku SAS|Tafida AM|Zamani AE,3
wls_zotero_EWE7DTJU,EWE7DTJU,journalArticle,Wealth and depression: A scoping review,2022,10.1002/brb3.2486,https://onlinelibrary.wiley.com/doi/abs/10.1002/brb3.2486,Ettman CK|Adam GP|Clark MA|Wilson IB|Vivier PM|Galea S,6
wls_zotero_PPVYQDZ2,PPVYQDZ2,journalArticle,Optimal survival trees,2022,10.1007/s10994-021-06117-0,https://doi.org/10.1007/s10994-021-06117-0,Bertsimas D|Dunn J|Gibson E|Orfanoudaki A,4
wls_zotero_IAF53HC8,IAF53HC8,bookSection,Mixed-Methods Approaches,2022,NA,https://doi.org/10.1007/978-3-030-92002-9_48,Suitor JJ|Gilligan M,2
wls_zotero_EQAKUHMC,EQAKUHMC,journalArticle,Challenges and opportunities in preregistration of coordinated data analysis: A tutorial and template,2022,10.1037/pag0000611,https://ezproxy.library.wisc.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2021-46051-001&site=ehost-live&scope=site,Willroth EC|Graham EK|Mroczek DK,3
wls_zotero_LS5QDZX2,LS5QDZX2,journalArticle,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals,2022,10.1038/s41588-022-01016-z,https://www.nature.com/articles/s41588-022-01016-z,Okbay A|Wu Y|Wang N|Jayashankar H|Bennett M|Nehzati SM|Sidorenko J|Kweon H|Goldman G|Gjorgjieva T|Jiang Y|Hicks B|Tian C|Hinds DA|Ahlskog R|Magnusson PKE|Oskarsson S|Hayward C|Campbell A|Porteous DJ|Freese J|Herd P|Watson C|Jala J|Conley D|Koellinger PD|Johannesson M|Laibson D|Meyer MN|Lee JJ|Kong A|Yengo L|Cesarini D|Turley P|Visscher PM|Beauchamp JP|Benjamin DJ|Young AI,38
wls_zotero_LMZQINC2,LMZQINC2,journalArticle,The Association Between Five Factor Model Personality Traits and Verbal and Numeric Reasoning,2022,10.1080/13825585.2021.1872481,https://www.tandfonline.com/doi/full/10.1080/13825585.2021.1872481,Sutin AR|Stephan Y|Luchetti M|Strickhouser JE|Aschwanden D|Terracciano A,6
wls_zotero_S6KWALZ7,S6KWALZ7,bookSection,The Power of Birth Cohorts to Study Risk Factors for Cognitive Impairment,2022,NA,https://doi.org/10.1007/s11910-022-01244-0,Richards M,1
wls_zotero_M6G4Y3X8,M6G4Y3X8,journalArticle,"Religiosity, Psychological Distress, and Well-Being: Evaluating Familial Confounding With Multicohort Sibling Data",2022,10.1093/aje/kwab276,https://doi.org/10.1093/aje/kwab276,Jokela M,1
wls_zotero_NB5X7ICW,NB5X7ICW,journalArticle,How Work Orientation Impacts Objective Career Outcomes via Managerial (Mis)perceptions,2022,10.5465/amj.2020.0841,https://journals.aom.org/doi/abs/10.5465/amj.2020.0841,Cho Y|Jiang WY,2
wls_zotero_7Y23YXZ8,7Y23YXZ8,journalArticle,"The association between purpose/meaning in life and verbal fluency and episodic memory: a meta-analysis of >140,000 participants from up to 32 countries",2022,10.1017/S1041610220004214,https://www.cambridge.org/core/journals/international-psychogeriatrics/article/association-between-purposemeaning-in-life-and-verbal-fluency-and-episodic-memory-a-metaanalysis-of-140000-participants-from-up-to-32-countries/CC61C25C48B3E9962777F941957774D6,Sutin AR|Luchetti M|Stephan Y|Strickhouser JE|Terracciano A,5
wls_zotero_DVXY33NV,DVXY33NV,journalArticle,"Health, Wealth, and Voting Trajectories in Later Life",2022,10.1093/geronb/gbab191,https://doi.org/10.1093/geronb/gbab191,Engelman M|Joo Wt|Fletcher J|Burden B,4
wls_zotero_B4YTE5K6,B4YTE5K6,journalArticle,Life course linkages between enriching early-life activities and later life cognition: Evidence from the Wisconsin Longitudinal Study,2022,10.1016/j.socscimed.2021.114673,https://www.sciencedirect.com/science/article/pii/S0277953621010054,Greenfield EA|Reynolds A|Moorman SM,3
wls_zotero_NMYAD8N9,NMYAD8N9,journalArticle,"Early Incarceration, Marriage, and the Risk of Poverty Across the Life Course: Evidence from the Wisconsin Longitudinal Study",2022,10.1007/s42972-021-00043-0,https://link.springer.com/10.1007/s42972-021-00043-0,Kim J|Brake A,2
wls_zotero_7PMJNXR7,7PMJNXR7,journalArticle,Contemporary Selection Pressures in Modern Societies? Which Factors Best Explain Variance in Human Reproduction and Mating?,2022,10.1016/j.evolhumbehav.2021.08.001,NA,Fieder M|Huber S,2
wls_zotero_C8PB3UD7,C8PB3UD7,journalArticle,The effects of weight change from childhood to adulthood on depression and anxiety risk in adulthood: A systematic review,2023,10.1111/obr.13566,https://onlinelibrary.wiley.com/doi/abs/10.1111/obr.13566,Gallagher C|Waidyatillake N|Pirkis J|Lambert K|Cassim R|Dharmage S|Erbas B,7
wls_zotero_22YDFVYN,22YDFVYN,journalArticle,Urban but not rural patterns of ambient air pollution exposure is associated with an accelerated rate of late life memory decline in the Wisconsin Longitudinal Study,2023,10.1002/alz.080470,https://alz.journals.onlinelibrary.wiley.com/doi/abs/10.1002/alz.080470,Williams VJ|Sicinski K|Herd P|Asthana S,4
wls_zotero_E9TQTZN5,E9TQTZN5,journalArticle,"Wisconsin Longitudinal Study (WLS), the Initial Lifetime’s Impact on Alzheimer’s Disease (WLS-ILIAD): A Novel Opportunity to Study the Influence of Education on ADRD",2023,10.1002/alz.074822,https://alz.journals.onlinelibrary.wiley.com/doi/abs/10.1002/alz.074822,Lange K|Williams VJ|Strait BJ|Fischer AM|Herd P|Asthana S,6
wls_zotero_C4W7KYW5,C4W7KYW5,journalArticle,Insights about personality traits and cognitive performance and decline in adults 51–59 Years old from the Wisconsin longitudinal study,2023,10.1002/gps.5852,https://onlinelibrary.wiley.com/doi/abs/10.1002/gps.5852,Beaudreau SA|Gould CE|Hantke NC|Kramer AO|Suresh M|Jo B|Fairchild JK,7
wls_zotero_QCPK3R8L,QCPK3R8L,journalArticle,Sociodemographic risk factors for the persistence of harmful alcohol use: a pooled analysis of prospective cohort studies,2025,10.1007/s00127-024-02654-w,https://doi.org/10.1007/s00127-024-02654-w,Ehrnrooth A|Gluschkoff K|Jokela M|Komulainen K,4
wls_zotero_LV5G2PS9,LV5G2PS9,journalArticle,Midlife Women’s Misaligned Educational Expectations and Serious Mental Illness,2025,10.1177/21568693251315167,https://doi.org/10.1177/21568693251315167,Shaulis K,1
wls_zotero_SPJ4TZDM,SPJ4TZDM,journalArticle,The Genetics of Political Participation: Leveraging Polygenic Indices to Advance Political Behavior Research,2025,10.1007/s11109-025-10020-y,https://doi.org/10.1007/s11109-025-10020-y,Ahlskog R|Dawes C|Oskarsson S|Weinschenk A,4
wls_zotero_MF8PXPJT,MF8PXPJT,journalArticle,A glass half full of money: Dispositional optimism and wealth accumulation across the income spectrum,2025,10.1037/pspp0000530,https://ezproxy.library.wisc.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2025-73680-003&site=ehost-live&scope=site,Gladstone JJ|Pomerance J,2
wls_zotero_7DFUY4LF,7DFUY4LF,bookSection,"19: Genetics and politics: trait foundations, technological advances, health, and privacy",2025,NA,https://doi.org/10.4337/9781803924830,Ksiazkiewicz A|Friesen A|Weinschenk A|Dawes CT,4
wls_zotero_HDCHG3M3,HDCHG3M3,manuscript,"Exploration, Confirmation, and Replication in the Same Observational Study: A Two Team Cross-Screening Approach to Studying the Effect of Unwanted Pregnancy on Mothers' Later Life Outcomes",2025,NA,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://csap.yale.edu/sites/default/files/files/ds-qrmw-1-30-25.pdf,Roy S|Bogomolov M|Heller R|Claridge AM|Beeson T|Small DS,6
wls_zotero_E4C9RC9K,E4C9RC9K,journalArticle,Associations of personality trait level and change with mortality risk in 11 longitudinal studies,2025,10.1037/pspp0000531,https://ezproxy.library.wisc.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2025-67239-001&site=ehost-live&scope=site,Willroth EC|Beck E|Yoneda TB|Beam CR|Deary IJ|Drewelies J|Gerstorf D|Huisman M|Katz MJ|Lipton RB|Muniz Tererra G|Pedersen NL|Reynolds CA|Spiro AI|Turiano NA|Willis S|Mroczek DK|Graham EK,18
wls_zotero_3QZ7IFTW,3QZ7IFTW,journalArticle,Personality and cardiovascular mortality risk: a multi-cohort analysis in individuals with and without pre-existing cardiovascular disease,2025,10.1007/s10865-024-00528-9,https://doi.org/10.1007/s10865-024-00528-9,Jokela M|Pulkki-Råback L|Elovainio M|Batty GD|Kivimäki M,5
wls_zotero_W8XT39J2,W8XT39J2,journalArticle,Body Mass Index and Memory Across 18 Years in the Wisconsin Longitudinal Study,2023,10.1093/gerona/glac037,https://doi.org/10.1093/gerona/glac037,Moorman SM|Kobielski S,2
wls_zotero_MN58UMSP,MN58UMSP,journalArticle,Lifetime Revictimization: Evidence From the Wisconsin Longitudinal Study,2024,10.1177/08862605241264534,https://doi.org/10.1177/08862605241264534,Kong J|Easton SD|Fletcher JM,3
wls_zotero_QRAJ3WKJ,QRAJ3WKJ,journalArticle,Challenges in studying the interplay of genes and environment. A study of childhood financial distress moderating genetic predisposition for peak smoking,2023,10.1016/j.joep.2023.102636,NA,Bierut L|Biroli P|Galama TJ|Thom K,4
