period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 3: age, epigenetic, young, exposures",NA,NA,top_x_share,1,5,3,"Domain 3: age, epigenetic, young, exposures"
"Domain 3: age, epigenetic, young, exposures",NA,NA,top_x_share,1,10,3,"Domain 3: age, epigenetic, young, exposures"
"Domain 4: case, studies, gene, variants",NA,NA,n_papers,10,NA,4,"Domain 4: case, studies, gene, variants"
"Domain 4: case, studies, gene, variants",NA,NA,n_authors,30,NA,4,"Domain 4: case, studies, gene, variants"
"Domain 4: case, studies, gene, variants",NA,NA,hhi,1.2400000000000002,NA,4,"Domain 4: case, studies, gene, variants"
"Domain 4: case, studies, gene, variants",NA,NA,top_x_share,0.6,1,4,"Domain 4: case, studies, gene, variants"
"Domain 4: case, studies, gene, variants",NA,NA,top_x_share,0.6,3,4,"Domain 4: case, studies, gene, variants"
"Domain 4: case, studies, gene, variants",NA,NA,top_x_share,0.9,5,4,"Domain 4: case, studies, gene, variants"
"Domain 4: case, studies, gene, variants",NA,NA,top_x_share,1,10,4,"Domain 4: case, studies, gene, variants"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,n_papers,22,NA,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,n_authors,422,NA,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,hhi,5.245867768595132,NA,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,top_x_share,0.9090909090909091,1,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,top_x_share,0.9090909090909091,3,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,top_x_share,0.9090909090909091,5,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 5: ovarian, consortium, genetic, use",NA,NA,top_x_share,0.9545454545454546,10,5,"Domain 5: ovarian, consortium, genetic, use"
"Domain 7: length, telomere, term, long",NA,NA,n_papers,15,NA,7,"Domain 7: length, telomere, term, long"
"Domain 7: length, telomere, term, long",NA,NA,n_authors,53,NA,7,"Domain 7: length, telomere, term, long"
"Domain 7: length, telomere, term, long",NA,NA,hhi,1.8133333333333335,NA,7,"Domain 7: length, telomere, term, long"
"Domain 7: length, telomere, term, long",NA,NA,top_x_share,0.8666666666666667,1,7,"Domain 7: length, telomere, term, long"
"Domain 7: length, telomere, term, long",NA,NA,top_x_share,0.9333333333333333,3,7,"Domain 7: length, telomere, term, long"
"Domain 7: length, telomere, term, long",NA,NA,top_x_share,0.9333333333333333,5,7,"Domain 7: length, telomere, term, long"
"Domain 7: length, telomere, term, long",NA,NA,top_x_share,1,10,7,"Domain 7: length, telomere, term, long"
"Domain 8: cancers, consumption, incidence, use",NA,NA,n_papers,5,NA,8,"Domain 8: cancers, consumption, incidence, use"
"Domain 8: cancers, consumption, incidence, use",NA,NA,n_authors,119,NA,8,"Domain 8: cancers, consumption, incidence, use"
"Domain 8: cancers, consumption, incidence, use",NA,NA,hhi,14.35999999999994,NA,8,"Domain 8: cancers, consumption, incidence, use"
"Domain 8: cancers, consumption, incidence, use",NA,NA,top_x_share,1,1,8,"Domain 8: cancers, consumption, incidence, use"
"Domain 8: cancers, consumption, incidence, use",NA,NA,top_x_share,1,3,8,"Domain 8: cancers, consumption, incidence, use"
"Domain 8: cancers, consumption, incidence, use",NA,NA,top_x_share,1,5,8,"Domain 8: cancers, consumption, incidence, use"
"Domain 8: cancers, consumption, incidence, use",NA,NA,top_x_share,1,10,8,"Domain 8: cancers, consumption, incidence, use"
