list_index,source_year,source_listed_author,source_title,source_journal,canonical_title,lead_author,coauthors,full_author_list,author_count_in_list,author_list_status,publication_type,publication_year,journal_or_source,volume_issue_pages,doi,pmid,pmcid,canonical_article_url,duplicate_of_list_index,metadata_status,notes,metadata_retrieved_date,reach_publications_page
11,2014,"Engelman, C. D., et al.",Epidemiologic Study of the C-3 Epimer of 25-hydroxyvitamin D3 in a Population-Based Sample,Clin Nutr,Epidemiologic Study of the C-3 Epimer of 25-hydroxyvitamin D3 in a Population-Based Sample,Corinne D Engelman,Ronghai Bo; Megan Zuelsdorff; Hilary Steltenpohl; Taylor Kirby; F Javier Nieto,Corinne D Engelman; Ronghai Bo; Megan Zuelsdorff; Hilary Steltenpohl; Taylor Kirby; F Javier Nieto,6,complete,Journal article,2014,Clinical Nutrition,2014;33(3):421-425,10.1016/j.clnu.2013.06.005,,,https://doi.org/10.1016/j.clnu.2013.06.005,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
12,2014,"Guerrero, N., et al.",Urban-Rural and Regional Variability in the Prevalence of Food Insecurity: The Survey of the Health of Wisconsin,WMJ,Urban-Rural and Regional Variability in the Prevalence of Food Insecurity: The Survey of the Health of Wisconsin,Natalie Guerrero,Matthew C Walsh; Kristen C Malecki; F Javier Nieto,Natalie Guerrero; Matthew C Walsh; Kristen C Malecki; F Javier Nieto,4,complete,Journal article,2014,WMJ,2014;113(4):133-138,,,PMC4245074,https://pmc.ncbi.nlm.nih.gov/articles/PMC4245074/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
13,2014,"Litzelman, K. et al.","Association between informal caregiving and cellular aging in the survey of the health of wisconsin: the role of caregiving characteristics, stress, and strain",Am J Epidemiol,"Association between informal caregiving and cellular aging in the survey of the health of wisconsin: the role of caregiving characteristics, stress, and strain",Kristin Litzelman,Whitney P Witt; Ronald E Gangnon; F Javier Nieto; Corinne D Engelman; Marsha R Mailick; Halcyon G Skinner,Kristin Litzelman; Whitney P Witt; Ronald E Gangnon; F Javier Nieto; Corinne D Engelman; Marsha R Mailick; Halcyon G Skinner,7,complete,Journal article,2014,American Journal of Epidemiology,2014;179(11):1340-1352,10.1093/aje/kwu066,24780842,PMC4036217,https://doi.org/10.1093/aje/kwu066,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
14,2014,"Litzelman, K. et al.",Role of Global Stress in the Health- Related Quality of Life of Caregivers: Evidence from the Survey of the Health of Wisconsin,Qual Life Res,Role of Global Stress in the Health- Related Quality of Life of Caregivers: Evidence from the Survey of the Health of Wisconsin,Kristin Litzelman,Halcyon G Skinner; Ronald E Gangnon; F Javier Nieto; Kristen Malecki; Whitney P Witt,Kristin Litzelman; Halcyon G Skinner; Ronald E Gangnon; F Javier Nieto; Kristen Malecki; Whitney P Witt,6,complete,Journal article,2014,Quality of Life Research,2014;23(5):1569-1578,10.1007/s11136-013-0598-z,24322907,PMC4032607,https://doi.org/10.1007/s11136-013-0598-z,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
15,2014,"Malecki, K. M. et al.",The Wisconsin Assessment of the Social and Built Environment (WASABE) A Multi-dimensional Objective Audit Instrument for Examining Neighborhood Effects on Health,BMC Public Health,The Wisconsin Assessment of the Social and Built Environment (WASABE) A Multi-dimensional Objective Audit Instrument for Examining Neighborhood Effects on Health,Kristen C Malecki,Corinne D Engelman; Paul E Peppard; F Javier Nieto; Maggie L Grabow; Milena Bernardinello; Erin Bailey; Andrew J Bersch; Matthew C Walsh; Justin Y Lo; Ana Martinez-Donate,Kristen C Malecki; Corinne D Engelman; Paul E Peppard; F Javier Nieto; Maggie L Grabow; Milena Bernardinello; Erin Bailey; Andrew J Bersch; Matthew C Walsh; Justin Y Lo; Ana Martinez-Donate,11,complete,Journal article,2014,BMC Public Health,2014;14:1165,10.1186/1471-2458-14-1165,25391283,PMC4289353,https://doi.org/10.1186/1471-2458-14-1165,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
16,2015,"Wahowiak, L et al.",Wisconsin partners create retail toolkits for healthier eating,The Nation's Health,Wisconsin partners create retail toolkits for healthier eating,Lindsey Wahowiak,,Lindsey Wahowiak,1,complete,News item,2015,The Nation's Health,2015;45(2):9,,,,https://www.thenationshealth.org/content/45/2/9.1,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
17,2015,"Shin, J. I et al.",Food insecurity and dyslipidemia in a representative population-based sample in the US,Preventive Medicine,Food insecurity and dyslipidemia in a representative population-based sample in the US,Jung-Im Shin,Leonelo E Bautista; Matthew C Walsh; Kristen C Malecki; F Javier Nieto,Jung-Im Shin; Leonelo E Bautista; Matthew C Walsh; Kristen C Malecki; F Javier Nieto,5,complete,Journal article,2015,Preventive Medicine,2015;77:186-190,10.1016/j.ypmed.2015.05.009,,PMC4608370,https://doi.org/10.1016/j.ypmed.2015.05.009,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
18,2015,"Malecki, K. M. et al.",Oral health equity and unmet dental care needs in a population-based sample: findings from the Survey of the Health of Wisconsin,American Journal of Public Health,Oral health equity and unmet dental care needs in a population-based sample: findings from the Survey of the Health of Wisconsin,Kristen Malecki,Lauren E Wisk; Matthew Walsh; Christine McWilliams; Shoshannah Eggers; Melissa Olson,Kristen Malecki; Lauren E Wisk; Matthew Walsh; Christine McWilliams; Shoshannah Eggers; Melissa Olson,6,complete,Journal article,2015,American Journal of Public Health,2015;105(Suppl 3):S466-S474,10.2105/AJPH.2014.302338,,,https://doi.org/10.2105/AJPH.2014.302338,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
19,2015,"Litzelman, K. et al.","The relationship among caregiving characteristics, caregiver strain, and health-related quality of life: evidence from the Survey of the Health of Wisconsin",Quality of Life Research,"The relationship among caregiving characteristics, caregiver strain, and health-related quality of life: evidence from the Survey of the Health of Wisconsin",Kristin Litzelman,Halcyon G Skinner; Ronald E Gangnon; F Javier Nieto; Kristen Malecki; Whitney P Witt,Kristin Litzelman; Halcyon G Skinner; Ronald E Gangnon; F Javier Nieto; Kristen Malecki; Whitney P Witt,6,complete,Journal article,2015,Quality of Life Research,2015;24(6):1397-1406,10.1007/s11136-014-0874-6,25427430,PMC4446250,https://doi.org/10.1007/s11136-014-0874-6,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
20,2015,"Laxy, M., et al.","The association between neighborhood economic hardship, the retail food environment, fast food intake, and obesity: findings from the Survey of the Health of Wisconsin",BMC Public Health,"The association between neighborhood economic hardship, the retail food environment, fast food intake, and obesity: findings from the Survey of the Health of Wisconsin",Michael Laxy,Kristen C Malecki; Marjory L Givens; Matthew C Walsh; F Javier Nieto,Michael Laxy; Kristen C Malecki; Marjory L Givens; Matthew C Walsh; F Javier Nieto,5,complete,Journal article,2015,BMC Public Health,2015;15:237,10.1186/s12889-015-1576-x,,,https://doi.org/10.1186/s12889-015-1576-x,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
21,2015,"Givens, M. L. et al.","Shiftwork, Sleep Habits, and Metabolic Disparities: Results from the Survey of the Health of Wisconsin",Sleep Health,"Shiftwork, Sleep Habits, and Metabolic Disparities: Results from the Survey of the Health of Wisconsin",Marjory L Givens,Kristen C Malecki; Paul E Peppard; Mari Palta; Adnan Said; Corinne D Engelman; Matthew C Walsh; F Javier Nieto,Marjory L Givens; Kristen C Malecki; Paul E Peppard; Mari Palta; Adnan Said; Corinne D Engelman; Matthew C Walsh; F Javier Nieto,8,complete,Journal article,2015,Sleep Health,2015;1(2):115-120,10.1016/j.sleh.2015.04.014,,PMC4755509,https://doi.org/10.1016/j.sleh.2015.04.014,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
22,2015,"Christensen, K. Y. et al.",Levels of nutrients in relation to fish consumption among older male anglers in Wisconsin,Environmental Research,Levels of nutrients in relation to fish consumption among older male anglers in Wisconsin,Krista Y Christensen,Brooke A Thompson; Mark Werner; Kristen Malecki; Pamela Imm; Henry A Anderson,Krista Y Christensen; Brooke A Thompson; Mark Werner; Kristen Malecki; Pamela Imm; Henry A Anderson,6,complete,Journal article,2015,Environmental Research,2015;142:542-548,10.1016/j.envres.2015.08.005,26296180,PMC5010083,https://doi.org/10.1016/j.envres.2015.08.005,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
23,2015,"Brennan, P. F. et al",Virtualizing living and working spaces: Proof of concept for a biomedical space-replication methodology,Journal of Biomedical Informatics,Virtualizing living and working spaces: Proof of concept for a biomedical space-replication methodology,Patricia Flatley Brennan,Kevin Ponto; Gail Casper; Ross Tredinnick; Michael Broecker,Patricia Flatley Brennan; Kevin Ponto; Gail Casper; Ross Tredinnick; Michael Broecker,5,complete,Journal article,2015,Journal of Biomedical Informatics,2015;57:53-61,10.1016/j.jbi.2015.07.007,,,https://doi.org/10.1016/j.jbi.2015.07.007,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
24,2015,"Dykema, J. et al.",Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys,Public Opinion Quarterly,Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys,Jennifer Dykema,Karen Jaques; Kristen Cyffka; Nadia Assad; Rae Ganci Hammers; Kelly Elver; Kristen C Malecki; John Stevenson,Jennifer Dykema; Karen Jaques; Kristen Cyffka; Nadia Assad; Rae Ganci Hammers; Kelly Elver; Kristen C Malecki; John Stevenson,8,complete,Journal article,2015,Public Opinion Quarterly,2015;79(4):906-931,10.1093/poq/nfv041,,,https://doi.org/10.1093/poq/nfv041,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
25,2015,"Casper, G. R. et al.",vizHOME--A context-based home assessment: Preliminary implications for informatics,Studies in Health Technology and Informatics,vizHOME--A context-based home assessment: Preliminary implications for informatics,Gail R Casper,Patricia Flatley Brennan; Jesse O Perreault; Alex G Marvin,Gail R Casper; Patricia Flatley Brennan; Jesse O Perreault; Alex G Marvin,4,complete,Conference proceedings article,2015,Studies in Health Technology and Informatics,2015;216:842-846,,,,https://pubmed.ncbi.nlm.nih.gov/26262170/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
26,2015,"Malecki, K. M. et al.",Oral health equity and unmet dental care needs in a population-based sample: findings from the Survey of the Health of Wisconsin.,American Journal of Public Health,Oral health equity and unmet dental care needs in a population-based sample: findings from the Survey of the Health of Wisconsin.,Kristen Malecki,Lauren E Wisk; Matthew Walsh; Christine McWilliams; Shoshannah Eggers; Melissa Olson,Kristen Malecki; Lauren E Wisk; Matthew Walsh; Christine McWilliams; Shoshannah Eggers; Melissa Olson,6,complete,Journal article,2015,American Journal of Public Health,2015;105(Suppl 3):S466-S474,10.2105/AJPH.2014.302338,,,https://doi.org/10.2105/AJPH.2014.302338,18,verified_duplicate,Duplicate source row of list index 18.,2026-06-24,https://reach.med.wisc.edu/research/#publications
27,2015,"Brennan, P. F. et al",Virtualizing living and working spaces: Proof of concept for a biomedical space-replication methodology.,Journal of Biomedical Informatics,Virtualizing living and working spaces: Proof of concept for a biomedical space-replication methodology.,Patricia Flatley Brennan,Kevin Ponto; Gail Casper; Ross Tredinnick; Michael Broecker,Patricia Flatley Brennan; Kevin Ponto; Gail Casper; Ross Tredinnick; Michael Broecker,5,complete,Journal article,2015,Journal of Biomedical Informatics,2015;57:53-61,10.1016/j.jbi.2015.07.007,,,https://doi.org/10.1016/j.jbi.2015.07.007,23,verified_duplicate,Duplicate source row of list index 23.,2026-06-24,https://reach.med.wisc.edu/research/#publications
28,2015,"Dykema, J. et al.",Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys.,Public Opinion Quarterly,Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys.,Jennifer Dykema,Karen Jaques; Kristen Cyffka; Nadia Assad; Rae Ganci Hammers; Kelly Elver; Kristen C Malecki; John Stevenson,Jennifer Dykema; Karen Jaques; Kristen Cyffka; Nadia Assad; Rae Ganci Hammers; Kelly Elver; Kristen C Malecki; John Stevenson,8,complete,Journal article,2015,Public Opinion Quarterly,2015;79(4):906-931,10.1093/poq/nfv041,,,https://doi.org/10.1093/poq/nfv041,24,verified_duplicate,Duplicate source row of list index 24.,2026-06-24,https://reach.med.wisc.edu/research/#publications
29,2015,"Casper, G. R. et al.",vizHOME--A context-based home assessment: Preliminary implications for informatics.,Studies in Health Technology and Informatics,vizHOME--A context-based home assessment: Preliminary implications for informatics.,Gail R Casper,Patricia Flatley Brennan; Jesse O Perreault; Alex G Marvin,Gail R Casper; Patricia Flatley Brennan; Jesse O Perreault; Alex G Marvin,4,complete,Conference proceedings article,2015,Studies in Health Technology and Informatics,2015;216:842-846,,,,https://pubmed.ncbi.nlm.nih.gov/26262170/,25,verified_duplicate,Duplicate source row of list index 25. The source-page URL for this duplicate points to an unrelated JSTOR record; the canonical PubMed URL is supplied.,2026-06-24,https://reach.med.wisc.edu/research/#publications
30,2015,"Malecki, K. M. et al.",Oral Health Equity and Receipt of Needed Dental Care: Evidence from the Survey of the Health of Wisconsin,Am J Public Health,Oral Health Equity and Receipt of Needed Dental Care: Evidence from the Survey of the Health of Wisconsin,Kristen Malecki,Lauren E Wisk; Matthew Walsh; Christine McWilliams; Shoshannah Eggers; Melissa Olson,Kristen Malecki; Lauren E Wisk; Matthew Walsh; Christine McWilliams; Shoshannah Eggers; Melissa Olson,6,complete,Journal article,2015,American Journal of Public Health,2015;105(Suppl 3):S466-S474,10.2105/AJPH.2014.302338,,,https://doi.org/10.2105/AJPH.2014.302338,18,verified_duplicate,Duplicate source row of list index 18.,2026-06-24,https://reach.med.wisc.edu/research/#publications
31,2015,"Beyer, K. M. et al.",Perceived Neighborhood Quality and Cancer Screening Behavior: Evidence from the Survey of the Health of Wisconsin.,Community Health,Perceived Neighborhood Quality and Cancer Screening Behavior: Evidence from the Survey of the Health of Wisconsin.,Kirsten M M Beyer,Kristen M Malecki; Kelly A Hoormann; Aniko Szabo; Ann B Nattinger,Kirsten M M Beyer; Kristen M Malecki; Kelly A Hoormann; Aniko Szabo; Ann B Nattinger,5,complete,Journal article,2015,Journal of Community Health,2016;41(1):134-137,10.1007/s10900-015-0078-1,,PMC4984667,https://doi.org/10.1007/s10900-015-0078-1,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
32,2016,"Raymond, M.R. et al.",Associations Between Fish Consumption and Contaminant Biomarkers With Cardiovascular Conditions Among Older Male Anglers in Wisconsin,Journal of Occupational and Environmental Medicine,Associations Between Fish Consumption and Contaminant Biomarkers With Cardiovascular Conditions Among Older Male Anglers in Wisconsin,Michelle R Raymond,Krista Y Christensen; Brooke A Thompson; Henry A Anderson,Michelle R Raymond; Krista Y Christensen; Brooke A Thompson; Henry A Anderson,4,complete,Journal article,2016,Journal of Occupational and Environmental Medicine,2016;58(7):676-682,,27253229,,https://pubmed.ncbi.nlm.nih.gov/27253229/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
33,2016,"Mathur, M.B. et al.","Perceived stress and telomere length: A systematic review, meta-analysis, and methodologic considerations for advancing the field","Brain, Behavior, and Immunity","Perceived stress and telomere length: A systematic review, meta-analysis, and methodologic considerations for advancing the field",Maya B Mathur,Elissa Epel; Sophia Kind; Manisha Desai; Christine G Parks; Dale P Sandler; Nayer Khazeni,Maya B Mathur; Elissa Epel; Sophia Kind; Manisha Desai; Christine G Parks; Dale P Sandler; Nayer Khazeni,7,complete,Journal article,2016,"Brain, Behavior, and Immunity",2016;54:158-169,10.1016/j.bbi.2016.02.002,26853993,,https://doi.org/10.1016/j.bbi.2016.02.002,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
34,2016,"Christensen, K. Y. et al.",Perfluoroalkyl substances in older male anglers in Wisconsin,Environment International,Perfluoroalkyl substances in older male anglers in Wisconsin,Krista Y Christensen,Michelle Raymond; Brooke A Thompson; Henry A Anderson,Krista Y Christensen; Michelle Raymond; Brooke A Thompson; Henry A Anderson,4,complete,Journal article,2016,Environment International,2016;91:312-318,10.1016/j.envint.2016.03.012,27003842,,https://doi.org/10.1016/j.envint.2016.03.012,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
35,2016,"Martinez-Donate, A. P. et al.",Neighborhood Disparities in the Restaurant Food Environment,WMJ,Neighborhood Disparities in the Restaurant Food Environment,Ana P Martinez-Donate,Jennifer Valdivia Espino; Amy Meinen; Anne L Escaron; Anne Roubal; F Javier Nieto; Kristen Malecki,Ana P Martinez-Donate; Jennifer Valdivia Espino; Amy Meinen; Anne L Escaron; Anne Roubal; F Javier Nieto; Kristen Malecki,7,complete,Journal article,2016,WMJ,2016;115(5):251-258,,29095587,PMC6095698,https://pmc.ncbi.nlm.nih.gov/articles/PMC6095698/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
36,2016,"Eggers, S. et al.","Obesity Prevalence and Health Consequences: Findings From the Survey of the Health of Wisconsin, 2008-2013",WMJ,"Obesity Prevalence and Health Consequences: Findings From the Survey of the Health of Wisconsin, 2008-2013",Shoshannah Eggers,Patrick L Remington; Karissa Ryan; F Javier Nieto; Paul E Peppard; Kristen Malecki,Shoshannah Eggers; Patrick L Remington; Karissa Ryan; F Javier Nieto; Paul E Peppard; Kristen Malecki,6,complete,Journal article,2016,WMJ,2016;115(5):238-244,,29095585,PMC6230699,https://pmc.ncbi.nlm.nih.gov/articles/PMC6230699/,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
37,2016,"Casper, G. R. et al.",Health@Home Moves All About the House!,Studies in Health Technology and Informatics,Health@Home Moves All About the House!,Gail R Casper,Patricia F Brennan; Catherine Arnott Smith; Nicole E Werner; Yuqi He,Gail R Casper; Patricia F Brennan; Catherine Arnott Smith; Nicole E Werner; Yuqi He,5,complete,Conference proceedings article,2016,Studies in Health Technology and Informatics,2016;225:173-177,10.3233/978-1-61499-658-3-173,27332185,PMC5546307,https://doi.org/10.3233/978-1-61499-658-3-173,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
38,2016,"Beyer, K. M. et al.",Perceived Neighborhood Quality and Cancer Screening Behavior: Evidence from the Survey of the Health of Wisconsin,Journal of Community Health,Perceived Neighborhood Quality and Cancer Screening Behavior: Evidence from the Survey of the Health of Wisconsin,Kirsten M M Beyer,Kristen M Malecki; Kelly A Hoormann; Aniko Szabo; Ann B Nattinger,Kirsten M M Beyer; Kristen M Malecki; Kelly A Hoormann; Aniko Szabo; Ann B Nattinger,5,complete,Journal article,2016,Journal of Community Health,2016;41(1):134-137,10.1007/s10900-015-0078-1,,PMC4984667,https://doi.org/10.1007/s10900-015-0078-1,31,verified_duplicate,Duplicate source row of list index 31.,2026-06-24,https://reach.med.wisc.edu/research/#publications
39,2016,"Saiz, A. M. et al.",Food insecurity and cardiovascular health: Findings from a statewide population health survey in Wisconsin,Preventive Medicine,Food insecurity and cardiovascular health: Findings from a statewide population health survey in Wisconsin,Augustine M Saiz Jr,Allison M Aul; Kristen M Malecki; Andrew J Bersch; Rachel S Bergmans; Tamara J LeCaire; F Javier Nieto,Augustine M Saiz Jr; Allison M Aul; Kristen M Malecki; Andrew J Bersch; Rachel S Bergmans; Tamara J LeCaire; F Javier Nieto,7,complete,Journal article,2016,Preventive Medicine,93:1-6,10.1016/j.ypmed.2016.09.002,27612573,PMC6095702,https://doi.org/10.1016/j.ypmed.2016.09.002,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
40,2016,"Escaron, A. L. et al.","Developing and Implementing ""Waupaca Eating Smart"": A Restaurant and Supermarket Intervention to Promote Healthy Eating Through Changes in the Food Environment",Health Promotion Practice,"Developing and Implementing ""Waupaca Eating Smart"": A Restaurant and Supermarket Intervention to Promote Healthy Eating Through Changes in the Food Environment",Anne L Escaron,Ana P Martinez-Donate; Ann Josie Riggall; Amy Meinen; Beverly Hall; F Javier Nieto; Susan Nitzke,Anne L Escaron; Ana P Martinez-Donate; Ann Josie Riggall; Amy Meinen; Beverly Hall; F Javier Nieto; Susan Nitzke,7,complete,Journal article,2016,Health Promotion Practice,17(2):265-277,10.1177/1524839915612742,26546508,,https://doi.org/10.1177/1524839915612742,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
41,2016,"Christensen, K. Y. et al.",Levels of persistent contaminants in relation to fish consumption among older male anglers in Wisconsin,International Journal of Hygiene and Environmental Health,Levels of persistent contaminants in relation to fish consumption among older male anglers in Wisconsin,Krista Y Christensen,Brooke A Thompson; Mark Werner; Kristen Malecki; Pamela Imm; Henry A Anderson,Krista Y Christensen; Brooke A Thompson; Mark Werner; Kristen Malecki; Pamela Imm; Henry A Anderson,6,complete,Journal article,2016,International Journal of Hygiene and Environmental Health,219(2):184-194,10.1016/j.ijheh.2015.11.001,26614251,PMC6095701,https://doi.org/10.1016/j.ijheh.2015.11.001,,verified,,2026-06-24,https://reach.med.wisc.edu/research/#publications
