paper_id,list_index,title,pub_year,pmid,doi,journal,publication_type,author_list_status,author_list,n_authors
show_pmid_25391283,15,The Wisconsin Assessment of the Social and Built Environment (WASABE) A Multi-dimensional Objective Audit Instrument for Examining Neighborhood Effects on Health,2014,25391283,10.1186/1471-2458-14-1165,BMC Public Health,Journal article,complete,Malecki KC|Engelman CD|Peppard PE|Nieto FJ|Grabow ML|Bernardinello M|Bailey E|Bersch AJ|Walsh MC|Lo JY|Martinez-Donate A,11
show_pmid_29588324,49,"Wisconsin microbiome study, a cross-sectional investigation of dietary fibre, microbiome composition and antibiotic-resistant organisms: rationale and methods",2018,29588324,10.1136/bmjopen-2017-019450,BMJ Open,Journal article,complete,Eggers S|Malecki KMC|Peppard P|Mares J|Shirley D|Shukla SK|Poulsen K|Gangnon R|Duster M|Kates A|Suen G|Sethi AK|Safdar N,13
show_doi_10_1101_2022_08_24_22279186,96,Identification of novel plasma lipid markers of cardiovascular disease risk in White and Black women,2022,NA,10.1101/2022.08.24.22279186,medRxiv,Preprint,complete,Jain R|Davidson JW|Gonzalez P|Coe CL|King C|Ryff CD|Bersch AJ|Mohsin S|Love GD|Nimityongskul F|Malecki K|Simcox J,12
show_pmid_32708240,65,Investigating Cumulative Exposures among 3- to 4-Year-Old Children Using Wearable Ultrafine Particle Sensors and Language Environment Devices: A Pilot and Feasibility Study,2020,32708240,10.3390/ijerph17145259,International Journal of Environmental Research and Public Health,Journal article,complete,Schultz AA|Malecki KMC|Olson MM|Selman SB|Olaiya OI|Spicer A|Schauer JJ|Edwards R|Kirkorian HL|Dilworth-Bart J,10
show_pmid_35859546,99,Perceived stress associations with hippocampal-dependent behavior and hippocampal subfield volume,2022,35859546,10.1016/j.ynstr.2022.100469,Neurobiology of Stress,Journal article,complete,Grupe DW|Barnes AL|Gresham L|Kirvin-Quamme A|Nord E|Alexander AL|Abercrombie HC|Schaefer SM|Davidson RJ,9
show_doi_10_1080_10253890_2023_2174780,106,Inverse association between stress induced cortisol elevations and negative emotional reactivity to stress in humans,2023,NA,10.1080/10253890.2023.2174780,Stress,Journal article,complete,Abercrombie HC|Barnes AL|Nord EC|Finley AJ|Higgins ET|Grupe DW|Rosenkranz MA|Davidson RJ|Schaefer SM,9
show_pmid_36288361,90,"Assessing the relationship between physical activity and the gut microbiome in a large, population-based sample of Wisconsin adults",2022,36288361,10.1371/journal.pone.0276684,PLOS ONE,Journal article,complete,Holzhausen EA|Malecki KC|Sethi AK|Gangnon R|Cadmus-Bertram L|Deblois CL|Suen G|Safdar N|Peppard PE,9
show_doi_10_1016_j_jth_2019_100625,53,What moves us: Subjective and objective predictors of active transportation,2019,NA,10.1016/j.jth.2019.100625,Journal of Transport & Health,Journal article,complete,Grabow ML|Bernardinello M|Bersch AJ|Engelman CD|Martinez-Donate AP|Patz JA|Peppard PE|Malecki KMC,8
show_pmid_38759771,114,Determinants of per- and polyfluoroalkyl substances (PFAS) exposure among Wisconsin residents,2024,38759771,10.1016/j.envres.2024.119131,Environmental Research,Journal article,complete,Pomazal R|Malecki K|Stanton N|Shelton B|Lange M|Irving R|Meiman J|Remucal CK|Cochran A|Schultz AA,10
show_doi_10_1101_2021_11_22_21266369,81,The Population-based Microbiome Research Core: a longitudinal infrastructure for assessment of household microbiome and human health research,2021,NA,10.1101/2021.11.22.21266369,medRxiv,Preprint,complete,Schultz AA|Malecki KMC|Holzhausen EA|Bajwa P|Peppard P|LeCaire TJ|Eggers S|Safdar N|Sethi AK,9
show_pmid_24467991,7,Predictors of Discordance Between Perceived and Objective Neighborhood Data,2014,24467991,10.1016/j.annepidem.2013.12.007,Annals of Epidemiology,Journal article,complete,Bailey EJ|Malecki KC|Engelman CD|Walsh MC|Bersch AJ|Martinez-Donate AP|Peppard PE|Nieto FJ,8
show_pmid_31518933,56,Urinary lead concentration and composition of the adult gut microbiota in a cross-sectional population-based sample,2019,31518933,10.1016/j.envint.2019.105122,Environment International,Journal article,complete,Eggers S|Safdar N|Sethi AK|Suen G|Peppard PE|Kates AE|Skarlupka JH|Kanarek M|Malecki KMC,9
show_pmid_21182792,1,The Survey of the Health of Wisconsin (SHOW) a novel infrastructure for population health research: rationale and methods,2010,21182792,10.1186/1471-2458-10-785,BMC Public Health,Journal article,complete,Nieto FJ|Peppard PE|Engelman CD|McElroy JA|Galvao LW|Friedman EM|Bersch AJ|Malecki KC,8
show_pmid_32185142,63,Household Pet Ownership and the Microbial Diversity of the Human Gut Microbiota,2020,32185142,10.3389/fcimb.2020.00073,Frontiers in Cellular and Infection Microbiology,Journal article,complete,Kates AE|Jarrett O|Skarlupka JH|Sethi A|Duster M|Watson L|Suen G|Poulsen K|Safdar N,9
show_doi_10_5897_JTEHS2022_0506,87,"Fish consumption, awareness of fish advisories, and body burden of contaminants among the Milwaukee urban anglers: A biomonitoring study",2022,NA,10.5897/JTEHS2022.0506,Journal of Toxicology and Environmental Health Sciences,Journal article,complete,He X|Tomasallo C|Li Z|Schultz A|Kamenetsky M|Sjodin A|Botelho J|Jarrett J|Meiman J,9
show_pmid_34112016,70,Exposure to socioenvironmental stress as a predictor of physical and mental health,2022,34112016,10.1177/13591053211024712,Journal of Health Psychology,Journal article,complete,Halling M|Timmer-Murillo S|Hunt JC|Geier T|Beyer KMM|Malecki KM|deRoon-Cassini TA,7
show_pmid_22901794,6,Perceived Neighborhood Quality Sleep Quality and Health Status: Evidence from the Survey of the Health of Wisconsin,2013,22901794,10.1016/j.socscimed.2012.07.021,Social Science & Medicine,Journal article,complete,Hale L|Hill TD|Friedman E|Nieto FJ|Galvao LW|Engelman CD|Malecki KMC|Peppard PE,8
show_pmid_37580384,107,Biomonitoring of perfluoroalkyl and polyfluoroalkyl substances (PFAS) from the Survey of the Health of Wisconsin (SHOW) 2014-2016 and comparison with the National Health and Nutrition Examination Survey (NHANES),2023,37580384,10.1038/s41370-023-00593-3,Journal of Exposure Science & Environmental Epidemiology,Journal article,complete,Schultz AA|Stanton N|Shelton B|Pomazal R|Lange MA|Irving R|Meiman J|Malecki KC,8
show_doi_10_1016_j_mhpa_2025_100673,118,Physical activity and mental health in patients with multimorbidity,2025,NA,10.1016/j.mhpa.2025.100673,Mental Health and Physical Activity,Journal article,complete,Schmidt CW|Agnew M|Malecki K|Gangnon R|Schultz A|Peppard PE|Cadmus-Bertram L,7
show_doi_10_1016_j_sleh_2015_04_014,21,"Shiftwork, Sleep Habits, and Metabolic Disparities: Results from the Survey of the Health of Wisconsin",2015,NA,10.1016/j.sleh.2015.04.014,Sleep Health,Journal article,complete,Givens ML|Malecki KC|Peppard PE|Palta M|Said A|Engelman CD|Walsh MC|Nieto FJ,8
show_doi_10_1093_poq_nfv041,24,Effects of Sequential Prepaid Incentives and Envelope Messaging in Mail Surveys,2015,NA,10.1093/poq/nfv041,Public Opinion Quarterly,Journal article,complete,Dykema J|Jaques K|Cyffka K|Assad N|Hammers RG|Elver K|Malecki KC|Stevenson J,8
show_pmid_29095587,35,Neighborhood Disparities in the Restaurant Food Environment,2016,29095587,NA,WMJ,Journal article,complete,Martinez-Donate AP|Espino JV|Meinen A|Escaron AL|Roubal A|Nieto FJ|Malecki K,7
show_pmid_34930464,78,"Assessing the impact of storage time on the stability of stool microbiota richness, diversity, and composition",2021,34930464,10.1186/s13099-021-00470-0,Gut Pathogens,Short report,complete,Holzhausen EA|Nikodemova M|Deblois CL|Barnet JH|Peppard PE|Suen G|Malecki KM,7
show_pmid_37377642,102,The effect of low-abundance OTU filtering methods on the reliability and variability of microbial composition assessed by 16S rRNA amplicon sequencing,2023,37377642,10.3389/fcimb.2023.1165295,Frontiers in Cellular and Infection Microbiology,Journal article,complete,Nikodemova M|Holzhausen EA|Deblois CL|Barnet JH|Peppard PE|Suen G|Malecki KM,7
show_pmid_26546508,40,"Developing and Implementing ""Waupaca Eating Smart"": A Restaurant and Supermarket Intervention to Promote Healthy Eating Through Changes in the Food Environment",2016,26546508,10.1177/1524839915612742,Health Promotion Practice,Journal article,complete,Escaron AL|Martinez-Donate AP|Riggall AJ|Meinen A|Hall B|Nieto FJ|Nitzke S,7
show_pmid_24780842,13,"Association between informal caregiving and cellular aging in the survey of the health of wisconsin: the role of caregiving characteristics, stress, and strain",2014,24780842,10.1093/aje/kwu066,American Journal of Epidemiology,Journal article,complete,Litzelman K|Witt WP|Gangnon RE|Nieto FJ|Engelman CD|Mailick MR|Skinner HG,7
show_pmid_33226072,62,A Comparison of Self- and Proxy-Reported Subjective Sleep Durations With Objective Actigraphy Measurements in a Survey of Wisconsin Children 6-17 Years of Age,2021,33226072,10.1093/aje/kwaa254,American Journal of Epidemiology,Journal article,complete,Holzhausen EA|Hagen EW|LeCaire TJ|Cadmus-Bertram L|Malecki KMC|Peppard PE,6
show_pmid_36639063,104,Psychological distress and well-being among sensory impaired individuals during COVID-19 lockdown measures,2023,36639063,10.1016/j.annepidem.2023.01.002,Annals of Epidemiology,Journal article,complete,Merten N|Schultz AA|Walsh MC|Landingham SWv|Peppard PE|Ryff CD|Malecki KC,7
show_idx_83,83,The Wisconsin Infection Prevention Center: The Value of a Statewide Infection Prevention Center,2021,NA,NA,WMJ,Journal article,complete,Safdar N|Munoz-Price LS|Golden RN|Kerschner JE|Nattinger A|Westergaard R,6
show_pmid_23000660,4,Aspirin for primary prevention of CVD: Are the right people using it?,2012,23000660,NA,Journal of Family Practice,Journal article,complete,VanWormer JJ|Greenlee RT|McBride PE|Peppard PE|Malecki KC|Che J|Nieto FJ,7
show_pmid_29681429,45,Predictors of discordance in self-report versus device-measured physical activity measurement,2018,29681429,10.1016/j.annepidem.2018.03.016,Annals of Epidemiology,Journal article,complete,Gorzelitz JS|Peppard PE|Malecki KMC|Gennuso KP|Nieto FJ|Cadmus-Bertram L,6
show_pmid_34647224,75,A Cautionary Note Regarding Obesity and Young Adult Rectal Cancer,2022,34647224,NA,Journal of Gastrointestinal Surgery,Letter,complete,Peterson KJ|Blank JJ|Deshpande RR|Liu Y|Peterson CY|Ludwig KA|Ridolfi TJ,7
show_doi_10_1093_geroni_igab046_1580,80,Mental Health and Well-Being Among Individuals With a Sensory Loss During COVID-19 Lockdown Measures,2021,NA,10.1093/geroni/igab046.1580,Innovation in Aging,Conference abstract,complete,Merten N|Schultz A|Walsh MC|Landingham SWv|Peppard PE|Ryff CD|Malecki K,7
show_idx_69,69,Prescribed Opioid Use in Wisconsin 2008-2016: Findings From the Survey of the Health of Wisconsin,2020,NA,NA,WMJ,Journal article,complete,Thakur T|Barnet JH|LeCaire TJ|Bersch A|Peppard PE|Malecki K|Moberg DP,7
show_pmid_37284918,105,Carbon Monoxide Awareness and Detector Use in the State of Wisconsin,2024,37284918,10.1007/s10900-023-01235-3,Journal of Community Health,Journal article,complete,Gordon BS|Malecki KMC|Camponeschi J|LeCaire TJ|Creswell PD|Schultz AA,6
show_pmid_36014913,94,Individual Nutrition Is Associated with Altered Gut Microbiome Composition for Adults with Food Insecurity,2022,36014913,10.3390/nu14163407,Nutrients,Journal article,complete,Bixby M|Gennings C|Malecki KMC|Sethi AK|Safdar N|Peppard PE|Eggers S,7
show_pmid_27612573,39,Food insecurity and cardiovascular health: Findings from a statewide population health survey in Wisconsin,2016,27612573,10.1016/j.ypmed.2016.09.002,Preventive Medicine,Journal article,complete,Jr AMS|Aul AM|Malecki KM|Bersch AJ|Bergmans RS|LeCaire TJ|Nieto FJ,7
show_pmid_33447745,55,"The relationship between chronic stress, hair cortisol and hypertension",2019,33447745,10.1016/j.ijchy.2019.100012,International Journal of Cardiology Hypertension,Journal article,complete,Bautista LE|Bajwa PK|Shafer MM|Malecki KMC|McWilliams CA|Palloni A,6
show_pmid_37047917,101,Changes in Alcohol Consumption during the COVID-19 Pandemic: Evidence from Wisconsin,2023,37047917,10.3390/ijerph20075301,International Journal of Environmental Research and Public Health,Journal article,complete,Pomazal R|Malecki KMC|McCulley L|Stafford N|Schowalter M|Schultz A,6
show_pmid_25745697,9,Overall Prescription Medication Use Among Wisconsin Adults: Findings from the Survey of the Health of Wisconsin,2014,25745697,NA,WMJ,Journal article,complete,Che J|Malecki KC|Walsh MC|Bersch AJ|Chan V|McWilliams CA|Nieto FJ,7
show_doi_10_1016_j_landurbplan_2019_103619,61,"Street-level neighborhood greenery linked to active transportation: A case study in Milwaukee and Green Bay, WI, USA",2019,NA,10.1016/j.landurbplan.2019.103619,Landscape and Urban Planning,Journal article,complete,Tsai WL|Yngve L|Zhou Y|Beyer KMM|Bersch A|Malecki KM|Jackson LE,7
show_pmid_26296180,22,Levels of nutrients in relation to fish consumption among older male anglers in Wisconsin,2015,26296180,10.1016/j.envres.2015.08.005,Environmental Research,Journal article,complete,Christensen KY|Thompson BA|Werner M|Malecki K|Imm P|Anderson HA,6
show_pmid_26614251,41,Levels of persistent contaminants in relation to fish consumption among older male anglers in Wisconsin,2016,26614251,10.1016/j.ijheh.2015.11.001,International Journal of Hygiene and Environmental Health,Journal article,complete,Christensen KY|Thompson BA|Werner M|Malecki K|Imm P|Anderson HA,6
show_pmid_32659060,68,Bicycling Rates and the Prevalence of Bicycle Helmet Usage in Wisconsin,2020,32659060,NA,WMJ,Journal article,complete,Schmidt CW|Snedden TR|Malecki K|Gangnon RE|Eggers SI|Kanarek MS,6
show_pmid_28605871,44,Private-well stewardship among a general population based sample of private well-owners,2017,28605871,10.1016/j.scitotenv.2017.05.284,Science of the Total Environment,Journal article,complete,Malecki KMC|Schultz AA|Severtson DJ|Anderson HA|VanDerslice JA,5
show_pmid_26853993,33,"Perceived stress and telomere length: A systematic review, meta-analysis, and methodologic considerations for advancing the field",2016,26853993,10.1016/j.bbi.2016.02.002,"Brain, Behavior, and Immunity",Journal article,complete,Mathur MB|Epel E|Kind S|Desai M|Parks CG|Sandler DP|Khazeni N,7
show_pmid_31297308,59,The relationship between occupational physical activity and self-reported vs measured total physical activity,2019,31297308,10.1016/j.pmedr.2019.100908,Preventive Medicine Reports,Journal article,complete,Gudnadottir U|Cadmus-Bertram L|Spicer A|Gorzelitz J|Malecki K,5
show_pmid_35857694,95,Alcohol Use During Chemotherapy: A Pilot Study,2022,35857694,NA,WMJ,Journal article,complete,Zhao L|Weatherer AC|Kerch S|LeCaire T|Remington PL|LoConte NK,6
show_doi_10_1016_j_clnu_2013_06_005,11,Epidemiologic Study of the C-3 Epimer of 25-hydroxyvitamin D3 in a Population-Based Sample,2014,NA,10.1016/j.clnu.2013.06.005,Clinical Nutrition,Journal article,complete,Engelman CD|Bo R|Zuelsdorff M|Steltenpohl H|Kirby T|Nieto FJ,6
show_pmid_24322907,14,Role of Global Stress in the Health- Related Quality of Life of Caregivers: Evidence from the Survey of the Health of Wisconsin,2014,24322907,10.1007/s11136-013-0598-z,Quality of Life Research,Journal article,complete,Litzelman K|Skinner HG|Gangnon RE|Nieto FJ|Malecki K|Witt WP,6
show_pmid_25427430,19,"The relationship among caregiving characteristics, caregiver strain, and health-related quality of life: evidence from the Survey of the Health of Wisconsin",2015,25427430,10.1007/s11136-014-0874-6,Quality of Life Research,Journal article,complete,Litzelman K|Skinner HG|Gangnon RE|Nieto FJ|Malecki K|Witt WP,6
show_pmid_39718062,130,Evaluating the effectiveness of community-informed resource dissemination at increasing knowledge and testing rates among private well water owners in a statewide population,2025,39718062,10.1016/j.jenvman.2024.123671,Journal of Environmental Management,Journal article,complete,Schultz AA|Pomazal R|Bizot P|Aartsen AV|Rodriguez A|Zahner S,6
show_pmid_37715463,115,Constructing Residential Histories in a General Population-Based Representative Sample,2024,37715463,10.1093/aje/kwad188,American Journal of Epidemiology,Journal article,complete,Xu W|Agnew M|Kamis C|Schultz A|Salas S|Malecki K|Engelman M,7
show_pmid_38973742,124,The health implications of cumulative exposure to contextual (dis)advantage: methodological and substantive advances from a unique data linkage,2025,38973742,10.1093/aje/kwae183,American Journal of Epidemiology,Journal article,complete,Xu W|Kamis C|Agnew M|Schultz A|Salas S|Malecki K|Engelman M,7
show_pmid_24662966,8,Exposure to Neighborhood Green Space and Mental Health: Evidence From the Survey of the Health of Wisconsin,2014,24662966,10.3390/ijerph110303453,International Journal of Environmental Research and Public Health,Journal article,complete,Beyer KMM|Kaltenbach A|Szabo A|Bogar S|Nieto FJ|Malecki KM,6
show_pmid_29095585,36,"Obesity Prevalence and Health Consequences: Findings From the Survey of the Health of Wisconsin, 2008-2013",2016,29095585,NA,WMJ,Journal article,complete,Eggers S|Remington PL|Ryan K|Nieto FJ|Peppard PE|Malecki K,6
show_doi_10_1007_s11205_025_03625_7,122,Direct and Indirect Effects of Socioeconomic Status and Neighborhood Disadvantage on Mental Health: Psychological Sense of Community as Mediator,2025,NA,10.1007/s11205-025-03625-7,Social Indicators Research,Journal article,complete,Christens BD|Galeotti T|Lenzi M|Peterson NA|Treitler PC,5
show_doi_10_2105_AJPH_2014_302338,18,Oral health equity and unmet dental care needs in a population-based sample: findings from the Survey of the Health of Wisconsin,2015,NA,10.2105/AJPH.2014.302338,American Journal of Public Health,Journal article,complete,Malecki K|Wisk LE|Walsh M|McWilliams C|Eggers S|Olson M,6
show_pmid_37263020,108,Associations of Dietary Intake With Self-Reported Hearing Loss: Findings From the Survey of the Health of Wisconsin,2023,37263020,10.1044/2023_JSLHR-22-00473,"Journal of Speech, Language, and Hearing Research",Journal article,complete,Dillard LK|Nelson-Bakkum E|Schultz A|Merten N|Malecki K,5
show_pmid_35486882,93,Prevalence of Self-Reported Hearing Loss and Associated Risk Factors: Findings From the Survey of the Health of Wisconsin,2022,35486882,10.1044/2022_JSLHR-21-00580,"Journal of Speech, Language, and Hearing Research",Journal article,complete,Dillard LK|Walsh MC|Merten N|Cruickshanks KJ|Schultz A,5
show_doi_10_1007_s10900_015_0078_1,31,Perceived Neighborhood Quality and Cancer Screening Behavior: Evidence from the Survey of the Health of Wisconsin.,2015,NA,10.1007/s10900-015-0078-1,Journal of Community Health,Journal article,complete,Beyer KMM|Malecki KM|Hoormann KA|Szabo A|Nattinger AB,5
show_doi_10_1016_j_envint_2018_02_016,46,Transcriptional differences between smokers and non-smokers and variance by obesity as a risk factor for human sensitivity to environmental exposures,2018,NA,10.1016/j.envint.2018.02.016,Environment International,Journal article,complete,Nikodemova M|Yee J|Carney PR|Bradfield CA|Malecki KMC,5
show_doi_10_1016_S2214_109X_21_00127_3,73,"Respiratory diseases, racial disparities, and residential proximity to coal power plants in Wisconsin, USA: a cross-sectional study",2021,NA,10.1016/S2214-109X(21)00127-3,The Lancet Global Health,Conference abstract,complete,Hii M|Beyer KMM|Namin S|Malecki K|Schultz A|Rublee C,6
show_doi_10_1016_j_jbi_2015_07_007,23,Virtualizing living and working spaces: Proof of concept for a biomedical space-replication methodology,2015,NA,10.1016/j.jbi.2015.07.007,Journal of Biomedical Informatics,Journal article,complete,Brennan PF|Ponto K|Casper G|Tredinnick R|Broecker M,5
show_pmid_40584435,128,Cumulative neighborhood disadvantage and racial and geographic disparities in epigenetic aging,2025,40584435,10.1016/j.ssmph.2025.101825,SSM - Population Health,Journal article,complete,Xu W|Kamis C|Clark J|Schultz A|Engelman M|Malecki K,6
show_pmid_41124018,120,How does life course exposure to contextual disadvantage accelerate biological aging? The role of psychological symptoms,2025,41124018,10.1093/geronb/gbaf206,The Journals of Gerontology: Series B,Journal article,complete,Kamis C|Xu W|Schultz A|Clark J|Engelman M|Malecki K,6
show_doi_10_1016_j_contraception_2022_07_014,98,Exploring financial stress and resource deprivation as barriers to preferred contraceptive use in Wisconsin in 2021,2022,NA,10.1016/j.contraception.2022.07.014,Contraception,Journal article,complete,Swan LET|Vu H|Higgins JA|Bui LM|Malecki K|Green TL,6
show_doi_10_1044_2023_AJA_22_00223,103,"Self-Reported Hearing Loss Is Associated With Poorer Health Care Access, Delays, and Communication With Providers During the COVID-19 Pandemic: Findings From the Survey of the Health of Wisconsin COVID-19 Community Impact Survey",2023,NA,10.1044/2023_AJA-22-00223,American Journal of Audiology,Journal article,complete,Dillard LK|Nelson-Bakkum ER|Ouayogodé MH|Schultz A,4
show_pmid_31197537,60,"Understanding the physical activity needs and interests of inactive and active rural women: a cross-sectional study of barriers, opportunities, and intervention preferences",2020,31197537,10.1007/s10865-019-00070-z,Journal of Behavioral Medicine,Journal article,complete,Cadmus-Bertram LA|Gorzelitz JS|Dorn DC|Malecki KMC,4
show_pmid_38680935,116,"Sense of neighborhood belonging and health: geographic, racial, and socioeconomic variation in Wisconsin",2024,38680935,10.3389/fpubh.2024.1376672,Frontiers in Public Health,Journal article,complete,Clark JA|Engelman M|Schultz AA|Bersch AJ|Malecki K,5
show_pmid_27253229,32,Associations Between Fish Consumption and Contaminant Biomarkers With Cardiovascular Conditions Among Older Male Anglers in Wisconsin,2016,27253229,NA,Journal of Occupational and Environmental Medicine,Journal article,complete,Raymond MR|Christensen KY|Thompson BA|Anderson HA,4
show_pmid_27253230,42,"Fish Consumption, Levels of Nutrients and Contaminants, and Endocrine-Related Health Outcomes Among Older Male Anglers in Wisconsin",2016,27253230,10.1097/JOM.0000000000000758,Journal of Occupational and Environmental Medicine,Journal article,complete,Christensen KY|Raymond MR|Thompson BA|Anderson HA,4
show_pmid_33722524,82,"Fish consumption and awareness of fish advisories among Burmese refugees: A respondent-driven sampling study in Milwaukee, Wisconsin",2021,33722524,10.1016/j.envres.2021.110906,Environmental Research,Journal article,complete,He X|Raymond MR|Tomasallo CD|Schultz AA|Meiman JG,5
show_doi_10_1016_j_ypmed_2015_05_009,17,Food insecurity and dyslipidemia in a representative population-based sample in the US,2015,NA,10.1016/j.ypmed.2015.05.009,Preventive Medicine,Journal article,complete,Shin JI|Bautista LE|Walsh MC|Malecki KC|Nieto FJ,5
show_pmid_27003842,34,Perfluoroalkyl substances in older male anglers in Wisconsin,2016,27003842,10.1016/j.envint.2016.03.012,Environment International,Journal article,complete,Christensen KY|Raymond M|Thompson BA|Anderson HA,4
show_doi_10_1177_0163278720958186,71,"Effects of Sequential Prepaid Incentives on Response Rates, Data Quality, Sample Representativeness, and Costs in a Mail Survey of Physicians",2021,NA,10.1177/0163278720958186,Evaluation & the Health Professions,Journal article,complete,Dykema J|Stevenson J|Assad N|Kniss C|Taylor CA,5
show_idx_2,2,Evaluating Effects of Statewide Smoking Regulations on Smoking Behaviors Among Participants in the Survey of the Health of Wisconsin,2012,NA,NA,WMJ,Journal article,complete,Guzmán A|Walsh MC|Smith SS|Malecki KC|Nieto FJ,5
show_pmid_39266396,123,Self-reported hearing loss and health during a pandemic: Findings from a cross-sectional analysis using a 2021 household survey,2025,39266396,10.1016/j.dhjo.2024.101706,Disability and Health Journal,Journal article,complete,Park EY|Nelson-Bakkum ER|Schultz AA|Dillard LK,4
show_pmid_40990727,119,Factors Associated With Self-Reported Hearing Difficulty on the Revised Hearing Handicap Inventory and Its Relationship With Hearing Aid Use: Findings From the Population-Based Survey of the Health of Wisconsin,2025,40990727,10.1044/2025_JSLHR-25-00407,"Journal of Speech, Language, and Hearing Research",Journal article,complete,Dillard LK|Dubno JR|Nelson-Bakkum ER|Schultz A,4
show_doi_10_1016_j_dhjo_2022_101394,92,"Self-reported hearing loss is associated with poorer perceived health care access, timeliness, satisfaction, and quality: Findings from the Survey of the Health of Wisconsin",2023,NA,10.1016/j.dhjo.2022.101394,Disability and Health Journal,Journal article,complete,Dillard LK|Nelson-Bakkum E|Walsh MC|Schultz A,4
