author_part,title,pub_year,n_authors,raw_citation,paper_id
"Koval LE, Hsiao YC, Jiang E, Eaves L, Sandler DP, Nichols HB, Lu K, White AJ, Rager JE",Environmental factors influencing hormone receptor positive breast cancer incidence: integrating chemical signatures from dust wipes with self-reported sources of exposure,2026,9,"Koval LE, Hsiao YC, Jiang E, Eaves L, Sandler DP, Nichols HB, Lu K, White AJ, Rager JE. Environmental factors influencing hormone receptor positive breast cancer incidence: integrating chemical signatures from dust wipes with self-reported sources of exposure . Journal of Exposure Science & Environmental Epidemiology. 2026 Mar;36(2):288-99. Epub 2025 Nov 21.",sister_11
"Lawrence KG, Woo JMP, O'Brien KM, Sandler DP",Neighborhood Disadvantage and Breast Cancer among Women Living in the United States,2026,4,"Lawrence KG, Woo JMP, O'Brien KM, Sandler DP. Neighborhood Disadvantage and Breast Cancer among Women Living in the United States . Cancer Epidemiology, Biomarkers & Prevention. 2026 Jun 2;35(6):904-12. (Free full text not yet available.)",sister_12
"Li JL, Zhang H, Wang X, Jia G, McClellan JC, Guo W, Sun Y, Fiorica PN, Ambs S, Barnard ME, Chen Y, Garcia-Closas M, Gu J, Hu JJ, John EM, Nathanson KL, Nemesure B, Pal T, Shu XO, Press MF, Sanderson M, Sandler DP, Troester MA, Yao S, Long J, Ahearn TU, Brewster AM, Falusi A, Kraft P, Hennis AJM, Makumbi T, Mapoko BSE, O'Brien KM, Ojengbede O, Olshan AF, Reid S, Zirpoli G, Cai Q, Butler EN, Huang M, Obafunwa J, Weinberg CR, Ambrosone C, Ping J, Tao R, Li B, Guo X, Gao G, Conti DV, Chatterjee N, Palmer JR, Olopade OI, Zheng W, Haiman CA, Huo D",Improved polygenic risk prediction models for breast cancer subtypes in women of African ancestry,2026,55,"Li JL, Zhang H, Wang X, Jia G, McClellan JC, Guo W, Sun Y, Fiorica PN, Ambs S, Barnard ME, Chen Y, Garcia-Closas M, Gu J, Hu JJ, John EM, Nathanson KL, Nemesure B, Pal T, Shu XO, Press MF, Sanderson M, Sandler DP, Troester MA, Yao S, Long J, Ahearn TU, Brewster AM, Falusi A, Kraft P, Hennis AJM, Makumbi T, Mapoko BSE, O'Brien KM, Ojengbede O, Olshan AF, Reid S, Zirpoli G, Cai Q, Butler EN, Huang M, Obafunwa J, Weinberg CR, Ambrosone C, Ping J, Tao R, Li B, Guo X, Gao G, Conti DV, Chatterjee N, Palmer JR, Olopade OI, Zheng W, Haiman CA, Huo D. Improved polygenic risk prediction models for breast cancer subtypes in women of African ancestry . Nature Genetics. 2026 Mar;58(3):560-9. Epub 2026 Feb 2.",sister_13
"Ogunsina K, Richardson KA, White A, Chang CJ, Sandler DP, O'Brien KM",Occupational exposures among hairdressers and the occurrence of hormone-related conditions,2026,6,"Ogunsina K, Richardson KA, White A, Chang CJ, Sandler DP, O'Brien KM. Occupational exposures among hairdressers and the occurrence of hormone-related conditions . Occupational & Environmental Medicine. 2026 Feb 12;82(12):597-606. Epub 2026 Jan 19.",sister_14
"Stevens VL, Priest J, Wilkerson J, D'Aloisio AA, Sandler DP",Weight Cycling and Cancer Risk in the Sister Study,2026,5,"Stevens VL, Priest J, Wilkerson J, D'Aloisio AA, Sandler DP. Weight Cycling and Cancer Risk in the Sister Study . American Journal of Epidemiology. 2026 Jun 3;195(6):1786-95. Epub 2025 Aug 29.",sister_15
"Tran TV, O'Brien KM, Troisi R, Sandler DP, Kitahara CM",Childhood and Adolescent Factors and Thyroid Cancer Incidence in Adult Women in the Sister Study Cohort,2026,5,"Tran TV, O'Brien KM, Troisi R, Sandler DP, Kitahara CM. Childhood and Adolescent Factors and Thyroid Cancer Incidence in Adult Women in the Sister Study Cohort . Cancer Causes & Control. 2026 Feb 20;37(3):53.",sister_16
"Trottier BA, Olshan A, Edwards JK, Engel LS, Nichols HB, White AJ",Residential proximity to Superfund sites and breast cancer incidence in a nationwide cohort,2026,6,"Trottier BA, Olshan A, Edwards JK, Engel LS, Nichols HB, White AJ. Residential proximity to Superfund sites and breast cancer incidence in a nationwide cohort . Environmental Epidemiology. 2026 Jan 13;10(1):e457.",sister_17
"Woo JMP, Lawrence KG, Xu Z, Auer PL, Simanek AM, Konkel RH, Taylor JA, Meier HCS, Sandler DP",Early life trauma patterns and adult epigenome-wide and NR3C1-specific DNA methylation in the Sister Study,2026,9,"Woo JMP, Lawrence KG, Xu Z, Auer PL, Simanek AM, Konkel RH, Taylor JA, Meier HCS, Sandler DP. Early life trauma patterns and adult epigenome-wide and NR3C1-specific DNA methylation in the Sister Study . American Journal of Epidemiology. 2026 Mar 5;195(3):791-9. Epub 2025 Apr 11. (Free full text not yet available.)",sister_18
"Akamandisa MP, Boddicker NJ, Yadav S, Hu C, Hart SN, …, O'Brien KM, …, Sandler DP, …, Weinberg C, …, Kraft P, Weitzel JN, Domchek SM, Couch FJ, Nathanson KL",Association of gene variant type and location with breast cancer risk in the general population,2025,13,"Akamandisa MP, Boddicker NJ, Yadav S, Hu C, Hart SN, …, O'Brien KM, …, Sandler DP, …, Weinberg C, …, Kraft P, Weitzel JN, Domchek SM, Couch FJ, Nathanson KL. Association of gene variant type and location with breast cancer risk in the general population . Annals of Oncology. 2025 Aug;36(8):954-63. Epub 2025 Apr 25.",sister_19
"Barlowe T, Anderson C, Nichols HB, Salvador AC, Sandler RS, Sandler DP, Peery AF",Diet and risk for incident diverticulitis in women: a prospective cohort study,2025,7,"Barlowe T, Anderson C, Nichols HB, Salvador AC, Sandler RS, Sandler DP, Peery AF. Diet and risk for incident diverticulitis in women: a prospective cohort study . Annals of Internal Medicine. 2025 Jun;178(6):788-95. Epub 2025 May 6.",sister_20
"Barnes DR, Tyrer JP, Dennis J, Leslie G, Bolla MK, Lush M, …, Sandler DP, …, Berchuck A, Couch FJ, Goode EL, Goodman MT, Monteiro AN, Offit K, Ramus SJ, Risch HA, Schildkraut JM, Thomassen M, Simard J, Easton DF, Jones MR, Chenevix-Trench G, Gayther SA, Antoniou AC, Pharoah PDP","Genome-wide association study of 398,238 women unveils seven loci associated with high-grade serous ovarian cancer",2025,24,"Barnes DR, Tyrer JP, Dennis J, Leslie G, Bolla MK, Lush M, …, Sandler DP, …, Berchuck A, Couch FJ, Goode EL, Goodman MT, Monteiro AN, Offit K, Ramus SJ, Risch HA, Schildkraut JM, Thomassen M, Simard J, Easton DF, Jones MR, Chenevix-Trench G, Gayther SA, Antoniou AC, Pharoah PDP. Genome-wide association study of 398,238 women unveils seven loci associated with high-grade serous ovarian cancer . NPJ Genomic Medicine. 2025 Nov 20;10(1):73.",sister_21
"Bernabeu E, Chybowska AD, Kresovich JK, Suderman M, McCartney DL, Hillary RF, Corley J, Valdés-Hernández MDC, Maniega SM, Bastin ME, Wardlaw JM, Xu Z, Sandler DP, Campbell A, Harris SE, McIntosh AM, Taylor JA, Yousefi P, Cox SR, Evans KL, Robinson MR, Vallejos CA, Marioni RE",Blood-based epigenome-wide association study and prediction of alcohol consumption,2025,23,"Bernabeu E, Chybowska AD, Kresovich JK, Suderman M, McCartney DL, Hillary RF, Corley J, Valdés-Hernández MDC, Maniega SM, Bastin ME, Wardlaw JM, Xu Z, Sandler DP, Campbell A, Harris SE, McIntosh AM, Taylor JA, Yousefi P, Cox SR, Evans KL, Robinson MR, Vallejos CA, Marioni RE. Blood-based epigenome-wide association study and prediction of alcohol consumption . Clinical Epigenetics. 2025 Jan 25;17(1):14.",sister_22
"Brantley KD, Jones ME, Tamimi RM, Rosner BA, Kraft P, Nichols HB, O'Brien KM, …, Sandler DP, Schoemaker MJ, Swerdlow AJ, Eliassen AH",Development and validation of a risk prediction model for premenopausal breast cancer in 19 cohorts,2025,11,"Brantley KD, Jones ME, Tamimi RM, Rosner BA, Kraft P, Nichols HB, O'Brien KM, …, Sandler DP, Schoemaker MJ, Swerdlow AJ, Eliassen AH. Development and validation of a risk prediction model for premenopausal breast cancer in 19 cohorts . Breast Cancer Research. 2025 May 1;27(1):67.",sister_23
"Chang CJ, Young AS, Keil A, Mullins CE, Liang D, Zhao S, Jones DP, Hu X, Walker DI, White AJ",Novel and legacy per- and polyfluoroalkyl substances in humans: Long-term temporal variability and metabolic perturbations,2025,10,"Chang CJ, Young AS, Keil A, Mullins CE, Liang D, Zhao S, Jones DP, Hu X, Walker DI, White AJ. Novel and legacy per- and polyfluoroalkyl substances in humans: Long-term temporal variability and metabolic perturbations . Environment International. 2025 Jul;201:109590. Epub 2025 Jun 6. (Free full text not yet available.)",sister_24
"Donzella SM, Rogers M, O'Brien KM, Von Holle A, Sandler DP, Weinberg CR, Diaz Santana MV",Sedentary time and breast cancer risk in the Sister Study Cohort,2025,7,"Donzella SM, Rogers M, O'Brien KM, Von Holle A, Sandler DP, Weinberg CR, Diaz Santana MV. Sedentary time and breast cancer risk in the Sister Study Cohort . Cancer Epidemiology, Biomarkers & Prevention. 2025 Nov 3;34(11):1955-62. Epub 2025 Aug 15.",sister_25
"Gaston SA, Kendrick KN, Ogbenna BT, Sandler DP, Stanford FC, Jackson CL","Agreement between self-reported and measured weight, height, and derived BMI by educational attainment across racial and ethnic groups of US women",2025,6,"Gaston SA, Kendrick KN, Ogbenna BT, Sandler DP, Stanford FC, Jackson CL. Agreement between self-reported and measured weight, height, and derived BMI by educational attainment across racial and ethnic groups of US women . International Journal of Obesity. 2025 Aug;49(8):1543-53. Epub 2025 Apr 14.",sister_26
"Gaston SA, Sweeney M, Patel S, Jennings V, Bratman GN, Martinez-Miller E, Jackson II WB, Jones RR, James P, Grigsby-Toussaint D, Sandler DP, Jackson CL",Greenspace proximity in relation to sleep health among a racially and ethnically diverse cohort of US women,2025,12,"Gaston SA, Sweeney M, Patel S, Jennings V, Bratman GN, Martinez-Miller E, Jackson II WB, Jones RR, James P, Grigsby-Toussaint D, Sandler DP, Jackson CL. Greenspace proximity in relation to sleep health among a racially and ethnically diverse cohort of US women . Environmental Research. 2025 Aug 15;279(Pt 1):121698. Epub 2025 Apr 25. (Free full text not yet available.)",sister_27
"Huang H, Couch RE, Karam R, Hu C, Boddicker N, Polley EC, Na J, Ambrosone CB, Yao S, Trentham-Dietz A, Eliassen AH, Penney K, Brantley K, Bodelon C, Teras LR, Hodge J, Patel A, Haiman CA, John EM, Neuhausen SL, Martinez E, Lacey JV, O'Brien KM, Sandler DP, Weinberg CR, Palmer JR, Bertrand KA, Vachon CM, Olson JE, Ruddy KE, Anton-Culver H, Ziogas A, Goldgar DE, Nathanson KL, Domchek SM, Weitzel JN, Kraft P, Dolinsky JS, Pesaran T, Richardson ME, Yadav S, Couch FJ",Pathogenic variants in cancer susceptibility genes predispose to ductal carcinoma in situ of the breast,2025,42,"Huang H, Couch RE, Karam R, Hu C, Boddicker N, Polley EC, Na J, Ambrosone CB, Yao S, Trentham-Dietz A, Eliassen AH, Penney K, Brantley K, Bodelon C, Teras LR, Hodge J, Patel A, Haiman CA, John EM, Neuhausen SL, Martinez E, Lacey JV, O'Brien KM, Sandler DP, Weinberg CR, Palmer JR, Bertrand KA, Vachon CM, Olson JE, Ruddy KE, Anton-Culver H, Ziogas A, Goldgar DE, Nathanson KL, Domchek SM, Weitzel JN, Kraft P, Dolinsky JS, Pesaran T, Richardson ME, Yadav S, Couch FJ. Pathogenic variants in cancer susceptibility genes predispose to ductal carcinoma in situ of the breast . Clinical Cancer Research. 2025 Jan 6;31(1):130-8.",sister_28
"Huang H, Hu C, Na J, Hart SN, Gnanaolivu RD, Abozaid M, Rao T, Tecleab YA; CARRIERS Consortium; Pesaran T, Lyra PCM, Karam R, Yadav S, Nathanson KL, Domchek SM, de la Hoya M, Robson M, Mehine M, Bandlamudi C, Mandelker D, Monteiro ANA, Iversen ES, Boddicker N, Chen W, Richardson ME, Couch FJ",Functional evaluation and clinical classification of BRCA2 variants,2025,24,"Huang H, Hu C, Na J, Hart SN, Gnanaolivu RD, Abozaid M, Rao T, Tecleab YA; CARRIERS Consortium; Pesaran T, Lyra PCM, Karam R, Yadav S, Nathanson KL, Domchek SM, de la Hoya M, Robson M, Mehine M, Bandlamudi C, Mandelker D, Monteiro ANA, Iversen ES, Boddicker N, Chen W, Richardson ME, Couch FJ. Functional evaluation and clinical classification of BRCA2 variants . Nature. 2025 Feb;638(8050):528-37. Epub 2025 Jan 8.",sister_29
"Ish JL, Madrigal JM, Pearce JL, Keil AP, Fisher JA, Jones RR, Sandler DP, White AJ",Industrial air emissions and breast cancer incidence in a United States-wide prospective cohort,2025,8,"Ish JL, Madrigal JM, Pearce JL, Keil AP, Fisher JA, Jones RR, Sandler DP, White AJ. Industrial air emissions and breast cancer incidence in a United States-wide prospective cohort . Epidemiology. 2025 May 1;36(3):391-400. Epub 2025 Jan 24.",sister_30
"Ish JL, Ou JY, Rector-Houze AM, Niehoff NM, Bi J, Kaufman JD, Sandler DP, White AJ",Air pollution and breast cancer incidence in a United States-wide prospective cohort study: Examining sensitive periods of exposure,2025,8,"Ish JL, Ou JY, Rector-Houze AM, Niehoff NM, Bi J, Kaufman JD, Sandler DP, White AJ. Air pollution and breast cancer incidence in a United States-wide prospective cohort study: Examining sensitive periods of exposure . Environment International. 2025 Dec;206:109966. Epub 2025 Nov 26.",sister_31
"Jia G, Chen Z, Ping J, Cai Q, Tao R, Li C, Bauer JA, Xie Y, …, Sandler DP, …, O'Brien KM, …, Weinberg CR, …, Cote ML, Ambrosone CB, Huo D, Li B, Kang D, Palmer JR, Shu XO, Haiman CA, Guo X, Long J, Zheng W",Refining breast cancer genetic risk and biology through multi-ancestry fine-mapping analyses of 192 risk regions,2025,22,"Jia G, Chen Z, Ping J, Cai Q, Tao R, Li C, Bauer JA, Xie Y, …, Sandler DP, …, O'Brien KM, …, Weinberg CR, …, Cote ML, Ambrosone CB, Huo D, Li B, Kang D, Palmer JR, Shu XO, Haiman CA, Guo X, Long J, Zheng W. Refining breast cancer genetic risk and biology through multi-ancestry fine-mapping analyses of 192 risk regions . Nature Genetics. 2025 Jan;57(1):80-7.",sister_32
"Jia G, Ping J, Tao R, Long J, Liu L, Xu S, Munro HM, Ambs S, Barnard ME, Chen Y, Choi JY, Gao YT, Garcia-Closas M, Gu J, Hu JJ, Iwasaki M, John EM, Kweon SS, Matsuda K, Matsuo K, Nathanson K, Nemesure B, Olopade OI, Pal T, Park SK, Park B, Press MF, Sanderson M, Sandler DP, Yao S, Zheng Y, Adejumo PO, Ahearn T, Brewster AM, Hennis AJM, Ito H, Kubo M, Lee ES, Low SK, Makumbi T, Ndom P, Noh DY, O'Brien KM, Olshan AF, Oluwasanu MM, Park MH, Reid S, Yamaji T, Zirpoli G, Butler EN, Huang M, Ntekim A, Weinberg CR, Li B, Huo D, Kang D, Ambrosone C, Troester MA, Haiman CA, Shu XO, Palmer JR, Guo X, Zheng W",Integrating multi-ancestry genomic and proteomic data to identify blood risk biomarkers and target proteins for breast cancer genetic risk loci,2025,63,"Jia G, Ping J, Tao R, Long J, Liu L, Xu S, Munro HM, Ambs S, Barnard ME, Chen Y, Choi JY, Gao YT, Garcia-Closas M, Gu J, Hu JJ, Iwasaki M, John EM, Kweon SS, Matsuda K, Matsuo K, Nathanson K, Nemesure B, Olopade OI, Pal T, Park SK, Park B, Press MF, Sanderson M, Sandler DP, Yao S, Zheng Y, Adejumo PO, Ahearn T, Brewster AM, Hennis AJM, Ito H, Kubo M, Lee ES, Low SK, Makumbi T, Ndom P, Noh DY, O'Brien KM, Olshan AF, Oluwasanu MM, Park MH, Reid S, Yamaji T, Zirpoli G, Butler EN, Huang M, Ntekim A, Weinberg CR, Li B, Huo D, Kang D, Ambrosone C, Troester MA, Haiman CA, Shu XO, Palmer JR, Guo X, Zheng W. Integrating multi-ancestry genomic and proteomic data to identify blood risk biomarkers and target proteins for breast cancer genetic risk loci . International Journal of Cancer. 2025 Nov 15;157(10):2071-80. Epub 2025 Jul 14.",sister_33
"Kresovich JK, Reid BM, O'Brien KM, Xu Z, Byrd DA, Weinberg CR, Sandler DP, Taylor JA",DNA methylation-predicted plasma protein levels and breast cancer risk,2025,8,"Kresovich JK, Reid BM, O'Brien KM, Xu Z, Byrd DA, Weinberg CR, Sandler DP, Taylor JA. DNA methylation-predicted plasma protein levels and breast cancer risk . Breast Cancer Research. 2025 Mar 26;27(1):46.",sister_34
"Lash SA, O'Brien KM, Sandler DP, Goldberg M",Pubertal timing and incident ovarian cancer in the Sister Study cohort,2025,4,"Lash SA, O'Brien KM, Sandler DP, Goldberg M. Pubertal timing and incident ovarian cancer in the Sister Study cohort . Cancer Epidemiology, Biomarkers & Prevention. 2025 Sep 2;34(9):1669-72. Epub 2025 Jun 24.",sister_35
"Lim J, Chang CJ, White AJ, Lo S, Wang H, Goodney GA, Miao R, Barochia AV, Roger VL, Sandler DP, Wong JYY",Personal care product use and risk of adult-onset asthma: Prospective cohort analyses of U,2025,11,"Lim J, Chang CJ, White AJ, Lo S, Wang H, Goodney GA, Miao R, Barochia AV, Roger VL, Sandler DP, Wong JYY. Personal care product use and risk of adult-onset asthma: Prospective cohort analyses of U.S. Women from the Sister Study . Environment International. 2025 Aug;202:109681. Epub 2025 Jul 11. (Free full text not yet available.)",sister_36
"Lovett SM, Woo JMP, O'Brien KM, Parker SE, Sandler DP",Association of early-life trauma with gestational diabetes and hypertensive disorders of pregnancy,2025,5,"Lovett SM, Woo JMP, O'Brien KM, Parker SE, Sandler DP. Association of early-life trauma with gestational diabetes and hypertensive disorders of pregnancy . Epidemiology. 2025 Mar 1;36(2):149-59. Epub 2024 Dec 31.",sister_37
"Martinez-Miller EE, Gaston SA, Jackson II WB, Jackson CL","Sleep health by sexual orientation among women in the United States and interrelations with race/ethnicity, age, and generational cohort",2025,4,"Martinez-Miller EE, Gaston SA, Jackson II WB, Jackson CL. Sleep health by sexual orientation among women in the United States and interrelations with race/ethnicity, age, and generational cohort . International Journal of Women’s Health. 2025 May 30;17:1563-86.",sister_38
"Nair NM, Mendicino L, Fiorica PN, Omilian AR, Khoury T, Bshara W, Bandera EV, Hong CC, Abdou Y, Freudenheim JL, Hennis AJM, O'Brien KM, Zirpoli GR, Butler EN, Obafunwa JO, Weinberg CR, Huo D, Li B, Guo X, Palmer JR, Haiman CA, Zheng W, Yao S, Ambrosone CB","The African-Specific Variant in the Duffy Antigen Receptor for Chemokines Gene, CD8+ T-Cell Density, and Aggressive Breast Cancer Subtypes in Black Women",2025,24,"Nair NM, Mendicino L, Fiorica PN, Omilian AR, Khoury T, Bshara W, Bandera EV, Hong CC, Abdou Y, Freudenheim JL, Hennis AJM, O'Brien KM, Zirpoli GR, Butler EN, Obafunwa JO, Weinberg CR, Huo D, Li B, Guo X, Palmer JR, Haiman CA, Zheng W, Yao S, Ambrosone CB. The African-Specific Variant in the Duffy Antigen Receptor for Chemokines Gene, CD8+ T-Cell Density, and Aggressive Breast Cancer Subtypes in Black Women . Cancer Epidemiology, Biomarkers & Prevention. 2025 Sep 2;34(9):1509-15. (Free full text not yet available.)",sister_39
"O'Brien KM, House MG, Goldberg M, Jones ME, Weinberg CR, Berrington de Gonzalez A, Bertrand KA, Blot WJ, DeHart JC, Couch FJ, Garcia-Closas M, Giles GG, Kirsh VA, Kitahara CM, Koh WP, Park HL, Milne RL, Palmer JR, Patel AV, Rohan TE, Schoemaker MJ, Swerdlow AJ, Teras LR, Vachon C, Visvanathan K, Yuan JM, Zheng W, Nichols HB, Sandler DP",Hormone therapy use and young-onset breast cancer: a pooled analysis of prospective cohorts included in the Premenopausal Breast Cancer Collaborative Group,2025,29,"O'Brien KM, House MG, Goldberg M, Jones ME, Weinberg CR, Berrington de Gonzalez A, Bertrand KA, Blot WJ, DeHart JC, Couch FJ, Garcia-Closas M, Giles GG, Kirsh VA, Kitahara CM, Koh WP, Park HL, Milne RL, Palmer JR, Patel AV, Rohan TE, Schoemaker MJ, Swerdlow AJ, Teras LR, Vachon C, Visvanathan K, Yuan JM, Zheng W, Nichols HB, Sandler DP. Hormone therapy use and young-onset breast cancer: a pooled analysis of prospective cohorts included in the Premenopausal Breast Cancer Collaborative Group . The Lancet Oncology. 2025 Jul;26(7):911-23. (Free full text not yet available.)",sister_40
"O'Brien KM, Keil AP, Taylor JA, Weinberg CR, Polley EC, Yadav S, Boddicker NJ, Hu C, Ambrosone CB, Anton-Culver H, Auer PL, Bodelon C, Brantley K, Burnside ES, Chen F, Domchek SM, Eliassen AH, Haiman CA, Hodge JM, Kraft P, Lacey JV, Lindstroem S, Martinez ME, Nathanson KL, Neuhausen SL, Olson JE, Palmer JR, Patel AV, Penney KL, Ruddy KJ, Scott CG, Teras LR, Trentham-Dietz A, Vachon CM, Weitzel JN, Yao S, Zirpoli G, Couch FJ, Sandler DP","Pathogenic variants, family history, and cumulative risk of breast cancer in US women",2025,39,"O'Brien KM, Keil AP, Taylor JA, Weinberg CR, Polley EC, Yadav S, Boddicker NJ, Hu C, Ambrosone CB, Anton-Culver H, Auer PL, Bodelon C, Brantley K, Burnside ES, Chen F, Domchek SM, Eliassen AH, Haiman CA, Hodge JM, Kraft P, Lacey JV, Lindstroem S, Martinez ME, Nathanson KL, Neuhausen SL, Olson JE, Palmer JR, Patel AV, Penney KL, Ruddy KJ, Scott CG, Teras LR, Trentham-Dietz A, Vachon CM, Weitzel JN, Yao S, Zirpoli G, Couch FJ, Sandler DP. Pathogenic variants, family history, and cumulative risk of breast cancer in US women . JAMA Oncology. 2025 Dec 1;11(12):1458-69. Epub 2025 Oct 9. (Free full text not yet available.)",sister_41
"Ogunsina K, O'Brien KM, White AJ, Chang CJ, Gaston SA, Jackson CL, Sandler DP",Hair straightener use in relation to prevalent and incident fibroids in the Sister Study with a focus on Black women,2025,7,"Ogunsina K, O'Brien KM, White AJ, Chang CJ, Gaston SA, Jackson CL, Sandler DP. Hair straightener use in relation to prevalent and incident fibroids in the Sister Study with a focus on Black women . Environmental Health Perspectives. 2025 Jan;133(1):17004.",sister_42
