pub_year,title,author_field,journal,paper_id
2025,Uncovering cerebral blood flow patterns corresponding to Amyloid-beta accumulations in patients across the Alzheimer's disease continuum using the arterial spin labeling,A. Daneshpour; H. Nasiri; A. K. Motamed; N. Heidarzadeh; A. M. Fard; S. Koleini; F. Fakhimi; L. Abiri; M. Mayeli; M. Sadeghi,Journal Neurol Sci;,adni_32
2025,Association of Peak Width of Skeletonized Mean Diffusivity With Neurofilament Light Chain in Non-Dementia Adults,R. P. Cui; H. Y. Hu; S. L. Han; S. Y. Liang; M. Liu; P. Y. Gao; Y. M. Chen; Y. D. Wang; F. Guo; R. J. Xue; M. S. Tan; H. Hu; L. Tan,Journal J Neurochem;,adni_33
2025,"Grey-Matter Structure Markers of Alzheimer's Disease, Alzheimer's Conversion, Functioning and Cognition: A Meta-Analysis Across 11 Cohorts",B. Couvy-Duchesne; V. Frouin; V. Bouteloup; N. Koussis; J. Sidorenko; J. Jiang; A. M. Wink; L. Lorenzini; F. Barkhof; J. N. Trollor; J. F. Mangin; P. S. Sachdev; H. Brodaty; M. K. Lupton; M. Breakspear; O. Colliot; P. M. Visscher; N. R. Wray,Journal Hum Brain Mapp;,adni_34
2025,A novel approach to resilience and its links with education and Alzheimer's disease genetics,M. Carrigan; D. I. Bocancea; J. Vogel; A. C. van Loenhoud; N. Tesi; F. Barkhof; P. J. Lucassen; W. M. van der Flier; H. J. Krugers; S. J. Van der Lee; R. Ossenkoppele,Journal Alzheimer's & dementia : the journal of the Alzheimer's Association;,adni_35
2025,A novel method for harmonization of PET image spatial resolution without phantoms,F. Carbonell; A. P. Zijdenbos; E. Hempel; M. Hajós; B. J. Bedell,Journal EJNMMI Phys;,adni_36
2025,Comparison of machine learning algorithms for automatic prediction of Alzheimer disease,E. Aslan; Y. Özüpak,Journal J Chin Med Assoc;,adni_37
2025,Computational Risk Stratification of Preclinical Alzheimer's in Younger Adults,O. Anyaiwe; N. Nataraj; B. S. Gudikandula,Journal Diagnostics (Basel);,adni_38
2025,MRI-based Alzheimer's disease classification using Vision Transformer and time-series transformer: A step-by-step guide,S. Alp; S. Akan; T. Akan; M. A. N. Bhuiyan,Journal Software Impacts;,adni_39
2025,Fuzzy Optimized Attention Network with Multi-Instance Deep Learning (FOAN-MIDL) for Alzheimer's Disease Diagnosis with Structural Magnetic Resonance Imaging (sMRI),A. M. Alhassan; N. I. Altmami,Journal Diagnostics;,adni_40
2025,Mapping amyloPMCID beta predictors of entorhinal tau in preclinical Alzheimer's disease,J. Zamani; A. VahPMCID; B. Avelar-Pereira; E. Gozdas; S. M. H. Hosseini,Journal Alzheimers Dement;,adni_41
2025,Discrepancies between CSF biomarker and PET determinations of elevated brain amyloid and their prognostic significance,D. S. Knopman; S. D. Weigand; H. J. Wiste; J. Graff-Radford; N. R. Graff-Radford; R. C. Petersen; B. F. Boeve; C. R. Jack Jr; V. J. Lowe; M. M. Machulda,Journal Alzheimer's & dementia: the journal of the Alzheimer's Association;,adni_42
2025,WMH-DualTasker: A Weakly Supervised Deep Learning Model for Automated White Matter Hyperintensities Segmentation and Visual Rating Prediction,Y. Wu; Z. Dong; H. B. Li; Y. F. Chong; F. Ji; J. S. X. Chong; N. R. J. Tang; S. Hilal; H. Fu; C. L. Chen; J. H. Zhou,Journal Hum Brain Mapp;,adni_43
2025,Alzheimer's disease prediction using 3D-CNNs: Intelligent processing of neuroimaging data,A. U. Rahman; S. Ali; B. Saqia; Z. Halim; M. A. Al-Khasawneh; D. A. AlHammadi; M. Z. Khan; I. Ullah; M. Alharbi,Journal SLAS Technol;,adni_44
2025,Sleep disturbances and language function impairment in the elderly: EvPMCIDence of limbic and prefrontal tracts involvement,Y. Qiu; X. Duan; Z. Zhang; L. Zhao; Q. Yuan; M. Wang; S. Xiao; L. Sun; I. Alzheimer's Disease Neuroimaging,Journal Journal of Alzheimer's disease : JAD;,adni_45
2025,Effect of genetic and vascular risk factors on rates of cognitive decline in early-onset and late-onset Alzheimer's disease,Y. Li; A. B. Sanjay; M. Manchella; A. Mishra; P. E. Logan; H. J. Kim; S. L. Risacher; S. Gao; L. G. Apostolova,Journal J Alzheimers Dis;,adni_46
2025,Transformer attention-based neural network for cognitive score estimation from sMRI data,S. Li; Y. Zhang; C. Zou; L. Zhang; F. Li; Q. Liu,Journal Computers in biology and medicine;,adni_47
2025,Impact of the polygenic risk scores for attention-deficit/hyperactivity disorder in Alzheimer's disease,D. T. Leffa; G. Povala; B. Bellaver; J. P. Ferrari-Souza; P. C. L. Ferreira; F. Z. Lussier; C. Schaffer Aguzzoli; C. Soares; H. Zalzale; F. Rohden; G. Bauer-Negrini; S. Abbas; M. Schneider; J. Therriault; O. L. Lopez; V. L. Villemagne; W. E. Klunk; D. L. Tudorascu; A. D. Cohen; P. Rosa-Neto; E. R. Zimmer; T. K. Karikari; L. A. Rohde; B. S. G. Molina; T. A. Pascoal,Journal Alzheimers Dement;,adni_48
2025,Improved Alzheimer Disease Diagnosis With a Machine Learning Approach and Neuroimaging: Case Study Development,L. Lazli,Journal JMIRx Med;,adni_49
2025,Longitudinal Analysis of Amyloid PET and Brain MRI for Predicting Conversion from Mild Cognitive Impairment to Alzheimer's Disease: Findings from the ADNI Cohort,D. H. Kim,Journal Tomography;,adni_50
2025,Multi-Class Diagnosis of Neurodegenerative Diseases Using Effective Deep Learning Models With Modified DenseNet-169 and Enhanced DeepLabV 3+,S. Katkam; V. P. Tulasi; B. Dhanalaxmi; J. Harikiran,Journal Ieee Access;,adni_51
2025,Addressing overfitting bias due to sample overlap in polygenic risk scoring,S. Jeong; M. Shivakumar; S. H. Jung; H. H. Won; K. Nho; H. Huang; C. Davatzikos; A. J. Saykin; P. M. Thompson; L. Shen; Y. J. Kim; B. J. Kim; S. Lee; D. Kim,Journal Alzheimers Dement;,adni_52
2025,A Lightweight Deep Convolutional Neural Network Extracting Local and Global Contextual Features for the Classification of Alzheimer's Disease Using Structural MRI,E. Jabason; M. O. Ahmad; M. N. S. Swamy,Journal IEEE J Biomed Health Inform;,adni_53
2025,The Taiwan-ADNI workflow toward integrating plasma p-tau217 into prediction models for the risk of Alzheimer's disease and tau burden,K. L. Huang; I. T. Hsiao; C. W. Huang; C. G. Huang; H. I. Chang; S. H. Huang; K. J. Lin; M. C. Ma; C. C. Huang; C. C. Chang,Journal Alzheimers Dement;,adni_54
2025,Multi-modal Imaging-based Pseudotime Analysis of Alzheimer progression,B. He; S. Zhang; S. L. Risacher; A. J. Saykin; J. Yan,Journal Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing;,adni_55
2025,The Alzheimer's Biomarker Consortium–Down Syndrome (ABC‐DS): A 10‐year report,B. L. Handen; M. Mapstone; S. Hartley; H. Andrews; B. Christian; J. H. Lee; D. Tudorascu; C. Hom; B. M. Ances; S. Zaman,Journal Alzheimer's & Dementia;,adni_56
2025,AD-Diff: enhancing Alzheimer's disease prediction accuracy through multimodal fusion,L. Han,Journal Front Comput Neurosci;,adni_57
2025,Association between diffusion MRI-based measures of neurite microstructure and risk of Alzheimer's disease,S. Hakhu; A. Hooyman; J. Lingo VanGilder; S. Y. Schaefer; S. C. Beeman,Journal Exp Gerontol;,adni_58
2025,Reducing inference cost of Alzheimer's disease identification using an uncertainty-aware ensemble of uni-modal and multi-modal learners,M. T. Hagos; K. M. Curran; B. Mac Namee,Journal Sci Rep;,adni_59
2025,The protective role of education in white matter lesions and cognitive decline,O. Elkana; I. Beheshti,Journal Brain Cogn;,adni_60
2025,Dynamically weighted graph neural network for detection of early mild cognitive impairment,L. Liu; Y. Li; K. Yang,Journal PLoS One;,adni_61
2025,Contrastive self-supervised learning for neurodegenerative disorder classification,V. Gryshchuk; D. Singh; S. Teipel; M. Dyrba,Journal Front Neuroinform;,adni_70
2025,Compositional brain scores capture Alzheimer's disease-specific structural brain patterns along the disease continuum,P. Genius; M. L. Calle; B. Rodríguez-Fernández; C. Minguillon; R. Cacciaglia; D. Garrido-Martin; M. Esteller; A. Navarro; J. D. Gispert; N. Vilor-Tejedor,Journal Alzheimers Dement;,adni_71
2025,Development and Validation of a Tool to Predict Onset of Mild Cognitive Impairment and Alzheimer Dementia,C. Chu; Y. Wang; Y. Wang; C. Fowler; G. Zisis; C. L. Masters; J. D. Doecke; B. Goudey; L. Jin; Y. Pan,Journal JAMA Netw Open;,adni_72
2025,"Amyloid, Tau, and APOE in Alzheimer's Disease: Impact on White Matter Tracts",B. Q. Chandio; J. E. Villalon-Reina; T. M. Nir; S. I. Thomopoulos; Y. Feng; S. Benavidez; N. Jahanshad; J. Harezlak; E. Garyfallidis; P. M. Thompson; I. Alzheimers Disease Neuroimaging,Journal Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing;,adni_73
2025,High-Dimensional Multiresponse Partially Functional Linear Regression,X. Cai; J. Cao; X. Yan; P. Zhao,Journal Stat Med;,adni_74
2025,Extension and external validation of mapping between the Mini-Mental State Examination and the Clinical Dementia Rating scale in patients with Alzheimer's disease,N. J. Brogaard; J. H. Hahn-Pedersen; J. Gundgaard; P. Polavieja; B. D. Bray; M. S. Chan; M. Hoang; D. Trepel,Journal Alzheimers Dement;,adni_75
2025,A Meta-Learning-Based Ensemble Model for Explainable Alzheimer’s Disease Diagnosis,F. H. Al-bakri; W. M. Y. W. Bejuri; M. N. Al-Andoli; R. R. R. Ikram; H. M. Khor; Z. Tahir; A. s. D. N. Initiative,Journal Diagnostics;,adni_76
2025,Association of hippocampal atrophy with tau pathology of temporal regions in preclinical Alzheimer's disease,N. Pan; S. Liu; X. Ge; Y. Zheng,Journal J Alzheimers Dis;,adni_77
2025,Brain Networks Route Neurodegeneration Patterns in Patients with Progressive Supranuclear Palsy,C. Palleis; A. Quattrone; A. Dehsarvi; S. N. Roemer-Cassiano; A. M. Bernhardt; H. J. Huppertz; M. Malpetti; A. L. Boxer; J. Gnörich; L. Frontzkowski; J. Levin; M. Brendel; G. U. Höglinger; N. Franzmeier; P. S. Grp,Journal Movement Disorders;,adni_78
2025,IGCN: integrative graph convolution networks for patient level insights and biomarker discovery in multi-omics integration,C. Ozdemir; Y. Vashishath; S. Bozdag,Journal Bioinformatics;,adni_79
2025,A Neural Network Approach to Identify Left-Right Orientation of Anatomical Brain MRI,K. Nishimaki; H. Iyatomi; K. Oishi,Journal Brain Behav;,adni_80
2025,A single-snapshot inverse solver for two-species graph model of tau pathology spreading in human Alzheimer's disease,Z. Wen; A. Ghafouri; G. Biros; theAlzheimersDiseaseNeuroimagingInitiative,Journal Brain informatics;,adni_81
2025,Spatio-temporal dynamic functional brain network for mild cognitive impairment analysis,S. P. Wen; J. R. Wang; W. J. Liu; X. L. Meng; Z. Q. Jiao,Journal Frontiers in Neuroscience;,adni_82
2025,Plasma biomarkers as core mediators in functional network abnormalities: EvPMCIDence from a two-cohort study,M. Wei; Y. Zhang; M. Wang; J. Zhong; W. Chai; W. Hu; F. Tao; L. Wang; Q. Zhang; X. Yu; R. Shi; C. Li; Z. Song; G. Chen; S. Zhang; J. Jiang; Y. Han,Journal Alzheimers Dement;,adni_83
2025,Sex-Associated Cerebellar and Hippocampal Volume Reduction in Alzheimer's Disease: Insights from the Clinical ADNI Cohort and STZ Animal Model,K. M. Wartchow; L. Rodrigues; W. J. Dartora; R. Biasibetti; N. G. Selistre; A. Lazarian; C. Barrios-Castellanos; N. Bartelo; C. A. Gonçalves; L. B. J. McIntire; A. On Behalf Of Alzheimer's Disease Neuroimaging Initiative,Journal Int J Mol Sci;,adni_84
2025,"Understanding the complex interplay between tau, amyloPMCID and the network in the spatiotemporal progression of Alzheimer's disease",A. Raj; J. Torok; K. Ranasinghe,Journal Prog Neurobiol;,adni_85
2025,Growth associated protein 43 (GAP-43) predicts brain amyloidosis in Alzheimer's dementia continuum: an [(18) F] AV-45 study,R. Nemati; A. Sohrabi-Ashlaghi; P. Saberian; M. Sadeghi; S. Mardani; A. Abadi; A. Yaghoobpoor; A. Heydari; N. Khoshroo; Y. Rahnama; M. Mayeli; H. Nasiri,Journal BMC Neurol;,adni_86
2025,Elevated serum leucine levels are associated with cognitive impairment and reduced gray matter and cerebral volume across the Alzheimer's disease continuum,H. Nasiri; A. Azargoonjahromi; Z. Nouri; S. M. Azimi; H. Zand; A. Shourideh; S. Heydari; B. Mahmoudvand; S. Barabadi; N. Samadpour; A. Mohamadhosseini; A. Khodadadi; S. Shakeri; M. Mayeli,Journal Neuroscience;,adni_87
2025,Connectomics and neurotransmitter receptor profile explain regional tau pathology in Alzheimer's disease,F. Nabizadeh,Journal Cereb Cortex;,adni_88
2025,Advanced convolutional neural network with attention mechanism for Alzheimer's disease classification using MRI,S. Muksimova; S. Umirzakova; N. Iskhakova; A. Khaitov; Y. I. Cho,Journal Comput Biol Med;,adni_89
2025,Predicting brain health in community-dwelling elderly populations by integrating Gaussian mixture model and plasma biomarkers,Y. Wang; T. Zhu; Q. Cheng; X. Cui; P. Zhang; Z. Lu; A. s. D. N. I. *,Journal Journal of Alzheimer's Disease Reports;,adni_90
2025,Time-Reversal Enhanced Dynamic Causality Distribution Learning and Its Application in PMCIDentifying Dynamic ECNs in MCI Patients,Y. Wang; C. Jin; J. Yang; C. Qiao,Journal IEEE transactions on bio-medical engineering;,adni_91
2025,Cerebrospinal fluid β2-microglobulin promotes the tau pathology through microglia-astrocyte communication in Alzheimer's disease,Z. Sheng; L. Wang; M. Chen; F. Zhong; S. Wu; S. Liang; J. Song; L. Chen; Y. Chen; S. Chen; W. Yu; Y. Lü,Journal Alzheimers Res Ther;,adni_92
2025,Dynamic Graph Transformer for Brain Disorder Diagnosis,A. Shehzad; D. Zhang; S. Yu; S. AbPMCID; F. Xia,Journal IEEE J Biomed Health Inform;,adni_93
2025,IRMA: Machine learning-based harmonization of 18 F-FDG PET brain scans in multi-center studies,S. S. Lövdal; R. van Veen; G. Carli; R. J. Renken; T. Shiner; N. Bregman; R. Orad; D. Arnaldi; B. Orso; S. Morbelli; P. Mattioli; K. L. Leenders; R. Dierckx; S. K. Meles; M. Biehl,Journal Eur J Nucl Med Mol Imaging;,adni_94
2025,The impact of cholinesterase inhibitors on cognitive trajectories in mild cognitive impairment patients based on amyloid beta status,W. Liu; Y. Li; W. Qin; X. Wang; W. Li; Y. Li; A. s. D. N. Initiative; J. Jia,Journal Alzheimer's & Dementia;,adni_95
2025,The associations of cerebrospinal fluid ApoE and C1q with Alzheimer's disease biomarkers,Y. J. Lin; Y. Liu; Z. H. Sheng; Y. Fu; L. Z. Ma; Z. H. Zhang; L. Y. Wang; L. Y. Huang; M. Liu; Z. T. Wang; L. Tan,Journal J Alzheimers Dis;,adni_96
2025,Self-supervised bi-directional mapping generative adversarial network for arbitrary-time longitudinal interpolation of missing data,J. Lin; D. D. Wu; L. P. Huang,Journal Biomedical Signal Processing and Control;,adni_97
2025,A modelling approach to derive population-specific cutoff for plasma p-Tau217,T. M. Liew; I. Alzheimer's Disease Neuroimaging,Journal The journal of prevention of Alzheimer's disease..;,adni_98
2025,Brain tau PET-based identification and characterization of subpopulations in patients with Alzheimer's disease using deep learning-derived saliency maps,Y. Li; X. Wang; Q. Ge; M. B. Graeber; S. Yan; J. Li; S. Li; W. Gu; S. Hu; T. L. S. Benzinger; J. Lu; Y. Zhou,Journal EJNMMI Phys;,adni_99
2025,"Association of low-density lipoprotein/high-density lipoprotein ratio with cognition, Alzheimer's disease biomarkers and brain structure",Z. H. Zhang; L. Z. Ma; L. Y. Huang; Y. K. Zhu; H. H. Guo; L. Y. Wang; W. Zhang; L. Tan,Journal Frontiers in Aging Neuroscience;,adni_100
2025,Association of neighborhood disadvantage with cognitive function and cortical disorganization in an unimpaired cohort: An exploratory study,A. Safai; W. R. Buckingham; E. M. Jonaitis; R. E. Langhough; S. C. Johnson; W. R. Powell; A. J. Kind; B. B. Bendlin; P. Tiwari,Journal Alzheimers Dement;,adni_101
2025,GWAS links APOE to neuropsychiatric symptoms in mild cognitive impairment and dementia,S. M. Vattathil; F. Blostein; T. W. Miller-Fleming; L. K. Davis; T. S. Wingo; A. P. Wingo,Journal Alzheimers Dement;,adni_102
2025,Clinical utility of CSF Aβ38 in Japanese research and clinical cohorts,T. Tsukie; K. Kasuga; M. Kikuchi; T. Ishiguro; A. Miyashita; O. Onodera; T. Iwatsubo; T. Ikeuchi,Journal Alzheimers Dement (Amst);,adni_103
2025,Variable screening and spatial smoothing in Fréchet regression with application to diffusion tensor imaging,L. Yan; X. Zhang; Z. Lan; D. Bandyopadhyay; Y. Wu; A. s. D. N. Initiative,Journal The Annals of Applied Statistics;,adni_104
2025,Plasma neurofilament light chain mediates the effect of subsyndromal symptomatic depression on cognitive decline in older adults,C. Zhang; B. Li; K. P. Ng; G. Huang; X. Wang; M. Kong; M. Ba,Journal Front Aging Neurosci;,adni_105
2025,Dissecting the clinical and pathological prognosis of MCI patients who reverted to normal cognition: a longitudinal study,H. H. Yu; L. Tan; M. J. Jiao; Y. J. Lv; X. H. Zhang; C. C. Tan; W. Xu,Journal BMC Med;,adni_107
2025,Deep learning to quantify the pace of brain aging in relation to neurocognitive changes,C. Yin; P. Imms; N. F. Chowdhury; N. N. Chaudhari; H. Ping; H. Wang; P. Bogdan; A. Irimia,Journal Proc Natl Acad Sci U S A;,adni_108
2025,Deciphering novel mitochondrial signatures: multi-omics analysis uncovers cross-disease markers and oligodendrocyte pathways in Alzheimer's disease and glioblastoma,X. Xu; J. Wang; T. Chen; S. Wang; F. Wang; J. He; X. Y. Meng; Y. Shen,Journal Front Aging Neurosci;,adni_109
2025,Association of Brain and Ventricular Boundary Shift Integral Measurements with CSF Biomarkers: A Case-Control Study,S. F. Hosseini; P. Akbarabadi; F. Noorani; D. Kezemi; H. Sadeghsalehi; M. Fattahpour; M. H. Sheybani-Arani; M. Norouzi; A. Kazemi,Journal Current Alzheimer Research;,adni_110
2025,Early detection and classification of Alzheimer's disease through data fusion of MRI and DTI images using the YOLOv11 neural network,W. Hechkel; A. Helali,Journal Front Neurosci;,adni_111
2025,Multiscale Analysis of Alzheimer's Disease Using Feature Fusion in Cognitive and Sensory Brain Regions,A. Hassouneh; A. Danna-Dos-Santos; B. Bazuin; S. Shebrain; I. Abdel-Qader,Journal Digit Biomark;,adni_112
2025,Stacked CNN-based multichannel attention networks for Alzheimer disease detection,N. Hassan; A. S. M. Miah; K. Suzuki; Y. Okuyama; J. Shin,Journal Sci Rep;,adni_113
2025,DUAL MULTI-ATLAS REPRESENTATION ALIGNMENT FOR BRAIN DISORDER DIAGNOSIS USING MORPHOLOGICAL CONNECTOME,K. Han; D. Hu; J. Cheng; T. Liu; A. Bozoki; D. Zhu; G. Li,Journal Proceedings. IEEE International Symposium on Biomedical Imaging;,adni_114
2025,Decreased brain interstitial fluid dynamics is associated with risk of Alzheimer's disease-related cognitive decline,Y. Guo; T. Liu; H. Chen; L. Zhou; W. Huang; K. Zhang; X. Wang; Y. Wang; J. H. Zhou; F. Chen,Journal Brain Res Bull;,adni_115
2025,SurfNet: Reconstruction of Cortical Surfaces via Coupled Diffeomorphic Deformations,H. Zheng; H. Li; Y. Fan,Journal IEEE transactions on medical imaging;,adni_121
2025,Predicting conversion of Alzheimer's disease based on multi-modal fusion of neuroimaging and genetic data,Y. Xi; Q. Wang; C. X. Wu; L. Zhang; Y. Chen; Z. Lan,Journal Complex & Intelligent Systems;,adni_122
2025,Modeling multi-stage disease progression and PMCIDentifying genetic risk factors via a novel collaborative learning method,D. Xi; M. Zhang; M. Shang; L. Du; J. Han; A. s. D. N. Initiative,Journal Bioinformatics;,adni_123
2025,Blood biomarkers as surrogate endpoints in Alzheimer's disease research,G. Shan; H. Li; Y. Zhang; G. Wang; C. Bernick,Journal Front Aging Neurosci;,adni_129
2025,Hyperfusion: A hypernetwork approach to multimodal integration of tabular and medical imaging data for predictive modeling,D. Duenias; B. Nichyporuk; T. Arbel; T. Riklin Raviv,Journal Med Image Anal;,adni_131
2025,"Fill States"": PET-derived Markers of the SpatialExtent of Alzheimer Disease Pathology""",E. Doering; M. C. Hoenig; K. Giehl; V. Dzialas; G. Andrassy; A. Bader; A. Bauer; D. Elmenhorst; J. Ermert; S. Frensch; E. Jäger; F. Jessen; P. Krapf; T. Kroll; C. Lerche; J. Lothmann; A. Matusch; B. Neumaier; O. A. Onur; A. Ramirez; N. Richter; F. Sand; L. Tellmann; H. Theis; P. Zeyen; T. van Eimeren; A. Drzezga; G. N. Bischof; I. Alzheimers Dis Neuroimaging,Journal Radiology;,adni_132
