paper_id,publication_id,title,pub_year,doi,author_source,author_list,n_authors
edshare_doi_10_1038_s41562_018_0523_0,publication-7ENM56SE,How Economic Inequality Shapes Mobility Expectations and Behaviour in Disadvantaged Youth,2019,10.1038/s41562-018-0523-0,listing,Browman AS|Destin M|Kearney MS|Levine PB,4
edshare_doi_10_1093_geroni_igae098_0092,publication-NR5RX5SZ_0,Effects of a Cancer Diagnosis on Economic Prosperity in the Long Run: Evidence from Linked Survey and Credit Data.,2024,10.1093/geroni/igae098.0092,listing,Warren JR|Thomas A|Grodsky E|Muller C,4
edshare_doi_10_1093_ije_dyac044,publication-55UZ8T84_0,Cohort Profile: High School and Beyond,2022,10.1093/ije/dyac044,listing,Grodsky E|Manly JJ|Muller C|Warren JR,4
edshare_doi_10_1093_sf_sox065,publication-EBENV868_0,Tracking Health Inequalities from High School to Midlife,2017,10.1093/sf/sox065,listing,Carroll JM|Muller C|Grodsky E|Warren JR,4
edshare_doi_10_1177_0002716214548398,publication-A33Q4QGG,The Engagement Gap: Social Mobility and Extracurricular Participation among American Youth,2015,10.1177/0002716214548398,listing,Snellman K|Silva JM|Frederick CB|Putnam RD,4
edshare_doi_10_1177_00221465211073117,publication-WNTV3CMU_0,The Roles of Adolescent Occupational Expectations and Preparation in Adult Suicide and Drug Poisoning Deaths within a Shifting Labor Market,2022,10.1177/00221465211073117,listing,Carroll JM|Duncombe A|Muller C|Mueller AS,4
edshare_doi_10_1177_0044118x12461656,publication-QJE6JDXT,College-Going Benefits of High School Sports Participation: Race and Gender Differences Over Three Decades,2015,10.1177/0044118x12461656,listing,Shifrer D|Pearson J|Muller C|Wilkinson L,4
edshare_doi_10_1257_app_20210692,publication-QQ4S363T,When Sarah Meets Lawrence: The Effects of Coeducation on Women's College Major Choices,2023,10.1257/app.20210692,listing,Calkins A|Binder AJ|Shaat D|Timpe B,4
edshare_doi_10_1371_journal_pone_0259960,publication-W7C87ZYJ,A Comparative Study of Estimators in Multilevel Linear Models,2021,10.1371/journal.pone.0259960,listing,Ali S|Shah SA|Zubair S|Hussain S,4
edshare_doi_10_3758_s13428_020_01375_7,publication-78SGGEIR,Score-based Tests for Detecting Heterogeneity in Linear Mixed Models,2021,10.3758/s13428-020-01375-7,listing,Wang T|Merkle EC|Anguera JA|Turner BM,4
edshare_publication-4XGUFN46,publication-4XGUFN46,Considerations for Using the School Courses for the Exchange of Data (SCED) Classification System in High School Transcript Studies: Applications for Converting Course Codes from the Classification of Secondary School Courses (CSSC),2019,NA,listing,Henke RR|Spagnardi C|Chen X|Bradby D,4
edshare_publication-5IJGI6AC_0,publication-5IJGI6AC_0,How Have Changes in the Labor Market Contributed to Increases in Suicide and Drug Poisoning Deaths among Men in the United States?,2022,NA,listing,Carroll JM|Duncombe A|Mueller AS|Muller C,4
edshare_publication-9EVE6PXE,publication-9EVE6PXE,When Sarah Meets Lawrence: The Effect of Coeducation on Women's Major Choices,2021,NA,listing,Calkins A|Binder AJ|Shaat D|Timpe B,4
edshare_publication-CA62QUKD_0,publication-CA62QUKD_0,High School and Beyond Sophomore Cohort Fifth Follow-up Documentation (NCES 2019-138),2019,NA,listing,Muller C|Black SE|Grodsky E|Warren JR,4
edshare_publication-DY8RHDF4,publication-DY8RHDF4,Moderated Mediation in Multilevel Structural Equation Models: Decomposing Effects of Race on Math Achievement Within Versus Between High Schools in the United States,2019,NA,listing,Zyphur MJ|Zhang Z|Preacher KJ|Bird LJ,4
edshare_doi_10_1016_j_rssm_2019_100424,publication-6J4TI8H6_0,Late-Stage Educational Inequality: Can Selection on Academic and Noncognitive Skills Explain Waning Social Background Effects?,2019,10.1016/j.rssm.2019.100424,listing,Smith CM|Grodsky E|Warren JR,3
edshare_doi_10_1037_met0000052,publication-YC7LWYBZ,Multilevel Structural Equation Models for Assessing Moderation Within and Across Levels of Analysis,2016,10.1037/met0000052,listing,Preacher KJ|Zhang Z|Zyphur MJ,3
edshare_doi_10_1080_00273171_2024_2307034,publication-C2VG96GX,Correcting for Sampling Error in between-Cluster Effects: An Empirical Bayes Cluster-Mean Approach with Finite Population Corrections,2024,10.1080/00273171.2024.2307034,listing,Lai MHC|Zhang Y|Ji F,3
edshare_doi_10_1080_19345747_2022_2144563,publication-I5PWVZ92,Overlap Violations in Clustered Observational Studies of Educational Interventions,2024,10.1080/19345747.2022.2144563,listing,Keele L|Lenard M|Page L,3
edshare_doi_10_1086_682355,publication-4CD257XQ,A Quality-Preserving Increase in Four-Year College Attendance,2015,10.1086/682355,listing,Archibald RB|Feldman DH|McHenry P,3
edshare_doi_10_1093_geront_gnaf038,publication-IZGL5JAZ,Building Survey Data Infrastructure on Aging: The Legacy of NIA,2025,10.1093/geront/gnaf038,listing,Agree EM|Sonnega A|Wolf DA,3
edshare_doi_10_1111_insr_12378,publication-NMY3NV8I,Random Effects Misspecification Can Have Severe Consequences for Random Effects Inference in Linear Mixed Models,2021,10.1111/insr.12378,listing,Hui FKC|Müller S|Welsh AH,3
edshare_doi_10_1177_2332858416634686,publication-L7QQTV28,A Future for the National Education Longitudinal Program,2016,10.1177/2332858416634686,listing,Schneider B|Saw G|Broda M,3
edshare_doi_10_1177_23780231231225578,publication-FGTZWMGJ,Shifting Tides: The Evolution of Racial Inequality in Higher Education from the 1980s through the 2010s,2024,10.1177/23780231231225578,listing,Oh B|Tilbrook N|Shifrer D,3
edshare_publication-AP67X4G9,publication-AP67X4G9,"Modeling Binary Correlated Responses: Using SAS, SPSS, R and STATA",2024,NA,listing,Wilson JR|Lorenz KA|Selby LP,3
edshare_publication-FDL45UPZ,publication-FDL45UPZ,The Impact of School Spending on Civic Engagement: Evidence from School Finance Reforms,2022,NA,listing,Asker E|Brunner E|Ross S,3
edshare_publication-QF4YFGT2,publication-QF4YFGT2,The Dynamics and Intergenerational Transmission of Poverty and Welfare Participation,2019,NA,listing,Gottschalk P|McLanahan S|Sandefur GD,3
edshare_publication-T5XVQTIN,publication-T5XVQTIN,Meeting Today's Higher Education Goals via the National Center for Education Statistics' Postsecondary Sample Surveys,2017,NA,listing,Campbell CM|Mata CS|Galloway F,3
edshare_publication-TDJ8CSNP,publication-TDJ8CSNP,LGBTQ+ Data Inclusion: Advancing Intersectional Equity in K-12 Education Systems. Issue Brief,2022,NA,listing,Washick B|Ridings A|Juste T,3
edshare_publication-XD49PR67,publication-XD49PR67,The Analysis of Field Choice in College and Graduate School: Determinants and Wage Effects,2016,NA,listing,Altonji JG|Arcidiacono P|Maurel A,3
edshare_doi_10_1016_j_cedpsych_2020_101920,publication-5DYR3UG6,Finding the Missing Einsteins: Expanding the Breadth of Cognitive and Noncognitive,2020,10.1016/j.cedpsych.2020.101920,listing,Wai J|Lakin JM,2
edshare_doi_10_1016_j_jebo_2017_02_001,publication-LY2HJS9K,On the Interpretation of Non-cognitive Skills – What is Being Measured and Why It Matters,2017,10.1016/j.jebo.2017.02.001,listing,Humphries JE|Kosse F,2
edshare_doi_10_1016_j_labeco_2019_04_004,publication-YNF9MLH9,Title IX and the Spatial Content of Female Employment —Out of the Lab and into the Labor Market,2019,10.1016/j.labeco.2019.04.004,listing,Baker M|Cornelson K,2
edshare_doi_10_1016_j_red_2014_09_001,publication-8PRFMBST,Human Capital Portfolios,2015,10.1016/j.red.2014.09.001,listing,Silos P|Smith E,2
edshare_doi_10_1016_j_red_2017_03_003,publication-BG4L7N6X,How Risky is College Investment?,2017,10.1016/j.red.2017.03.003,listing,Hendricks L|Leukhina O,2
edshare_doi_10_1016_j_red_2018_07_003,publication-N378S9RG,Factors Affecting College Attainment and Student Ability in the US Since 1900,2019,10.1016/j.red.2018.07.003,listing,Donovan K|Herrington C,2
edshare_doi_10_1080_01900692_2016_1256306,publication-HL63FCYF,Effects of Public Service Motivation on Turnover and Job Satisfaction in the U.S. Teacher Labor Market,2018,10.1080/01900692.2016.1256306,listing,Choi Y|Chung IH,2
edshare_doi_10_1080_03610926_2018_1440597,publication-UUXV8Y9L,A Weighted Jackknife Method for Clustered Data,2019,10.1080/03610926.2018.1440597,listing,Du R|Lee JH,2
edshare_doi_10_1086_680322,publication-SNXVTL2J,Leadership Activities and Future Earnings: Is There a Causal Relation?,2015,10.1086/680322,listing,Eren O|Ozbeklik S,2
edshare_doi_10_1086_705610,publication-D4JRAU7L,Intergenerational Mobility in Education: Variation in Geography and Time,2019,10.1086/705610,listing,Fletcher J|Han J,2
edshare_doi_10_1111_bjep_12343,publication-LWQRX8FL,"Spatially Gifted, Academically Inconvenienced: Spatially Talented Students Experience Less Academic Engagement and More Behavioural Issues than Other Talented Students",2020,10.1111/bjep.12343,listing,Lakin JM|Wai J,2
edshare_doi_10_1177_0091026017696397,publication-CRA8DMQK,Attraction-Selection and Socialization of Work Values: Evidence From Longitudinal Survey,2017,10.1177/0091026017696397,listing,Choi Y|Chung IH,2
edshare_doi_10_1353_eca_2016_0017,publication-3BTAZRHA,"Income Inequality, Social Mobility, and the Decision to Drop Out of High School",2016,10.1353/eca.2016.0017,listing,Kearney MS|Levine PB,2
edshare_doi_10_3102_1076998618811383,publication-J42L8U85,Multilevel Modeling With Stat-JR SAAs: A Software Review,2019,10.3102/1076998618811383,listing,Kim M|Hsu HY,2
edshare_doi_10_3389_fsoc_2016_00003,publication-T9PUXNQQ,Parental Investments and Educational Outcomes: Trivers–Willard in the U.S,2016,10.3389/fsoc.2016.00003,listing,Hopcroft RL|Martin DO,2
edshare_publication-6JXH2Y3Z,publication-6JXH2Y3Z,A Comparison of Federally Funded Sample Surveys on Postsecondary Education: Areas of Alignment and Variation,2017,NA,listing,Topper AM|Howard M,2
edshare_publication-7MJ8D5UF_0,publication-7MJ8D5UF_0,Academic Marginalization in High School as a Predictor of Depressive Symptoms in Midlife,2016,NA,listing,Muller C|Werwath T,2
edshare_publication-F2UHERDX_0,publication-F2UHERDX_0,"Educational Stratification and Obesity in Midlife: Considering the Role of Sex, Social Class, and Race/Ethnicity",2019,NA,listing,Muller C|Pattison E,2
edshare_publication-F647ZPQX,publication-F647ZPQX,Differentially Private Methods for Managing Model Uncertainty in Linear Regression Models,2024,NA,listing,Pena V|Barrientos AF,2
edshare_publication-MC9THSDN,publication-MC9THSDN,A Country Divided: The Growing Opportunity Gap in America,2016,NA,listing,Finighan R|Putnam R,2
edshare_publication-URLB74RF,publication-URLB74RF,Large-Scale Group-Score Assessment,2017,NA,listing,Beaton AE|Barone JL,2
edshare_publication-VIR8H66G,publication-VIR8H66G,"Returns to Different Postsecondary Investments: Institution Type, Academic Programs, and Credentials",2023,NA,listing,Lovenheim M|Smith J,2
edshare_publication-VTEI7NWV,publication-VTEI7NWV,Early Childhood Education by MOOC: Lessons from Sesame Street,2015,NA,listing,Kearney MS|Levine PB,2
edshare_publication-WUI8MBLH_0,publication-WUI8MBLH_0,Curricular Differentiation and Its Impact on Different Status Groups Including Immigrants and Students with Disabilities,2018,NA,listing,Carroll JM|Muller C,2
edshare_publication-Y49XNWLE,publication-Y49XNWLE,Educational Research: A Tale of Tensions and Constraints,2018,NA,listing,Smeyers P|Depaepe M,2
edshare_publication-Y836UDC2,publication-Y836UDC2,Changes in the College Mobility Pipeline Since 1900,2025,NA,listing,Bleemer Z|Quincy S,2
edshare_doi_10_1016_j_econedurev_2016_12_001,publication-55ZQKGV9,"Creating Winners and Losers: Date of Birth, Relative Age in School, and Outcomes in Childhood and Adulthood",2017,10.1016/j.econedurev.2016.12.001,listing,Peña PA,1
edshare_doi_10_1016_j_econedurev_2020_102033,publication-QAJYZ8JB,Gritting It Out: The Importance of Non-cognitive Skills in Academic Mismatch,2020,10.1016/j.econedurev.2020.102033,listing,Saltiel F,1
edshare_doi_10_1016_j_jsp_2017_07_001,publication-BC59SAR5,Possible Economic Benefits of Full-Grade Acceleration,2017,10.1016/j.jsp.2017.07.001,listing,Warne RT,1
edshare_doi_10_1016_j_ssresearch_2017_04_001,publication-J5EPD27M,If They Think I Can: Teacher Bias and Youth of Color Expectations and Achievement,2017,10.1016/j.ssresearch.2017.04.001,listing,Sebastian Cherng HY,1
edshare_doi_10_1016_j_ssresearch_2018_12_008,publication-6GTET69J,Gender Attitudes of Police Officers: Selection and Socialization Mechanisms in the Life Course,2019,10.1016/j.ssresearch.2018.12.008,listing,Ashlock JM,1
edshare_doi_10_1080_00273171_2019_1602504,publication-RLRY6LGD,Effect Partitioning in Cross-Sectionally Clustered Data Without Multilevel Models,2019,10.1080/00273171.2019.1602504,listing,McNeish D,1
edshare_doi_10_1086_703135,publication-7BKT7BBX,The Labor of Division: Returns to Compulsory High School Math Coursework,2019,10.1086/703135,listing,Goodman J,1
edshare_doi_10_1146_annurev_economics_081324_081733,publication-8GKSHW28,Skills and Earnings: A Multidimensional Perspective on Human Capital,2025,10.1146/annurev-economics-081324-081733,listing,Woessmann L,1
edshare_doi_10_1162_edfp_a_00267,publication-56UMYT4U,The Returns to Education at Community Colleges: New Evidence from the Education Longitudinal Survey,2019,10.1162/edfp_a_00267,listing,Marcotte DE,1
edshare_doi_10_1177_0002716214550586,publication-6J23HWQG_0,Measuring Education and Skill,2015,10.1177/0002716214550586,listing,Muller C,1
edshare_doi_10_1177_0002716214552773,publication-V7A5366M_0,Potential Data Sources for a New Study of Social Mobility in the United States,2015,10.1177/0002716214552773,listing,Warren JR,1
edshare_doi_10_1177_0038040719885123,publication-AF3WKQRF,Measuring High School Curricular Intensity over Three Decades,2020,10.1177/0038040719885123,listing,Austin M,1
edshare_doi_10_1177_0038040720963279,publication-74TJL8BA,"Diverging Disparities: Race, Parental Income, and Children’s Math Scores, 1960 to 2009",2021,10.1177/0038040720963279,listing,Conwell JA,1
edshare_doi_10_1177_21568693251315167,publication-5JMGY2F7_0,Midlife Women’s Misaligned Educational Expectations and Serious Mental Illness,2025,10.1177/21568693251315167,listing,Shaulis K,1
edshare_doi_10_1177_2332858415613055,publication-4HPSTAWA_0,Measuring School Contexts,2015,10.1177/2332858415613055,listing,Muller C,1
edshare_doi_10_1177_23328584231186618,publication-GDUUD5WP,Career and Technical Education at Community Colleges: A Review of the Literature,2023,10.1177/23328584231186618,listing,Soliz A,1
edshare_doi_10_3102_10769986211017480,publication-6U24FN7J,Analyzing Cross-Sectionally Clustered Data Using Generalized Estimating Equations,2022,10.3102/10769986211017480,listing,Huang FL,1
edshare_doi_10_3982_qe326,publication-XPFBS6XC,Stepping Stone and Option Value in a Model of Postsecondary Education,2015,10.3982/qe326,listing,Trachter N,1
edshare_doi_10_7758_rsf_2016_2_4_06,publication-ENQL2MSN,Gender Differences in the Early Career Outcomes of College Graduates: The Influence of Sex-Type of Degree Field across Four Cohorts,2016,10.7758/rsf.2016.2.4.06,listing,Shauman KA,1
edshare_publication-6374T3MA,publication-6374T3MA,Schooling. Chapter 4.,2015,NA,listing,Putnam R,1
edshare_publication-6NAXQWDF,publication-6NAXQWDF,Reassessing the Two-Year Sector’s Role in the Amelioration of a Persistent Socioeconomic Gap: A Proposed Analytical Framework for the Study of Community College Effects in the Big and Geocoded Data and Quasi-Experimental Era,2018,NA,listing,González Canché MS,1
edshare_publication-8VKNKNT2,publication-8VKNKNT2,How to Situate High School Student Part-Time Work Trends: An [Incomplete] Empirical Glance,2024,NA,listing,Heise M,1
edshare_publication-EN2ZG58V,publication-EN2ZG58V,Sustaining a Nonrepresentative Democracy: How Education Shapes Long-term Voting Patterns,2019,NA,listing,Carroll JM,1
edshare_publication-FC8KZJMB,publication-FC8KZJMB,Education and Civic Engagement,2020,NA,listing,Dee TS,1
edshare_publication-GPXXCRCG,publication-GPXXCRCG,Taking the Long View: Longitudinal Surveys and the Construction of Educational Inequality in America,2018,NA,listing,Hutt E,1
edshare_publication-IDCMC7TT,publication-IDCMC7TT,Choose a Logical Structure for Your Research,2017,NA,listing,Spickard JV,1
edshare_publication-ITA8MAU4,publication-ITA8MAU4,Academic Preparation in High School and Gendered Exposure to Economic Insecurity at Midlife,2019,NA,listing,Bosky A,1
edshare_publication-JU7LBACH,publication-JU7LBACH,Immigrant Generations : Results from High School to Midlife,2020,NA,listing,Lybbert E,1
edshare_publication-MQUU563P,publication-MQUU563P,Three Essays on Education and Labor Market Outcomes of High School Experiences,2022,NA,listing,Arthur AN,1
edshare_publication-NT6WW4VV,publication-NT6WW4VV,Modeling Change in Large-Scale Longitudinal Studies of Educational Growth: Four Decades of Contributions to the Assessment of Educational Growth,2017,NA,listing,Rock DA,1
edshare_publication-TIPA8T32,publication-TIPA8T32,A Vision and Roadmap for Education Statistics,2022,NA,listing,National Academies of Sciences EAM,1
edshare_publication-VQU6E23K,publication-VQU6E23K,The Changing Role of Family Income in College Selection and Beyond,2023,NA,listing,Leukhina O,1
edshare_publication-VYR2WT7J,publication-VYR2WT7J,Race and the Educational Disparities in Midlife Bankruptcy Filings,2020,NA,listing,Duncombe A,1
edshare_publication-XWDGJEPI,publication-XWDGJEPI,"Educational Expectations of Students and Their Teachers, Degree Attainment, and Labor Market Outcomes in Midlife",2023,NA,listing,Hung YL,1
