period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 5: life, satisfaction, purpose, later",NA,NA,top_x_share,0.1346153846153846,5,5,"Domain 5: life, satisfaction, purpose, later"
"Domain 5: life, satisfaction, purpose, later",NA,NA,top_x_share,0.3141025641025641,10,5,"Domain 5: life, satisfaction, purpose, later"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,n_papers,120,NA,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,n_authors,217,NA,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,hhi,0.28520833333333473,NA,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,top_x_share,0.25,1,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,top_x_share,0.25,3,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,top_x_share,0.35,5,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 6: personality, traits, studies, longitudinal",NA,NA,top_x_share,0.45,10,6,"Domain 6: personality, traits, studies, longitudinal"
"Domain 7: age, differences, subjective, cognitive",NA,NA,n_papers,130,NA,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 7: age, differences, subjective, cognitive",NA,NA,n_authors,349,NA,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 7: age, differences, subjective, cognitive",NA,NA,hhi,0.08035502958579825,NA,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 7: age, differences, subjective, cognitive",NA,NA,top_x_share,0.1076923076923077,1,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 7: age, differences, subjective, cognitive",NA,NA,top_x_share,0.3076923076923077,3,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 7: age, differences, subjective, cognitive",NA,NA,top_x_share,0.3076923076923077,5,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 7: age, differences, subjective, cognitive",NA,NA,top_x_share,0.43846153846153846,10,7,"Domain 7: age, differences, subjective, cognitive"
"Domain 8: adults, older, middle, aged",NA,NA,n_papers,202,NA,8,"Domain 8: adults, older, middle, aged"
"Domain 8: adults, older, middle, aged",NA,NA,n_authors,600,NA,8,"Domain 8: adults, older, middle, aged"
"Domain 8: adults, older, middle, aged",NA,NA,hhi,0.05075482795804212,NA,8,"Domain 8: adults, older, middle, aged"
"Domain 8: adults, older, middle, aged",NA,NA,top_x_share,0.09900990099009901,1,8,"Domain 8: adults, older, middle, aged"
"Domain 8: adults, older, middle, aged",NA,NA,top_x_share,0.20297029702970298,3,8,"Domain 8: adults, older, middle, aged"
"Domain 8: adults, older, middle, aged",NA,NA,top_x_share,0.27722772277227725,5,8,"Domain 8: adults, older, middle, aged"
"Domain 8: adults, older, middle, aged",NA,NA,top_x_share,0.4158415841584158,10,8,"Domain 8: adults, older, middle, aged"
