period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 6: microbiome, gut, usa, dietary",NA,NA,top_x_share,1,10,6,"Domain 6: microbiome, gut, usa, dietary"
"Domain 7: loci, ancestry, genome, wide",NA,NA,n_papers,66,NA,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 7: loci, ancestry, genome, wide",NA,NA,n_authors,1130,NA,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 7: loci, ancestry, genome, wide",NA,NA,hhi,3.7633149678602873,NA,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 7: loci, ancestry, genome, wide",NA,NA,top_x_share,0.7121212121212122,1,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 7: loci, ancestry, genome, wide",NA,NA,top_x_share,0.9090909090909091,3,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 7: loci, ancestry, genome, wide",NA,NA,top_x_share,0.9696969696969697,5,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 7: loci, ancestry, genome, wide",NA,NA,top_x_share,1,10,7,"Domain 7: loci, ancestry, genome, wide"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,n_papers,46,NA,8,"Domain 8: sleep, duration, apnea, insomnia"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,n_authors,234,NA,8,"Domain 8: sleep, duration, apnea, insomnia"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,hhi,3.659262759924353,NA,8,"Domain 8: sleep, duration, apnea, insomnia"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,top_x_share,0.8043478260869565,1,8,"Domain 8: sleep, duration, apnea, insomnia"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,top_x_share,0.9347826086956522,3,8,"Domain 8: sleep, duration, apnea, insomnia"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,top_x_share,1,5,8,"Domain 8: sleep, duration, apnea, insomnia"
"Domain 8: sleep, duration, apnea, insomnia",NA,NA,top_x_share,1,10,8,"Domain 8: sleep, duration, apnea, insomnia"
