period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,top_x_share,0.5472636815920398,3,6,"Domain 6: depressive, symptoms, physical, functioning"
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,top_x_share,0.6119402985074627,5,6,"Domain 6: depressive, symptoms, physical, functioning"
"Domain 6: depressive, symptoms, physical, functioning",NA,NA,top_x_share,0.7164179104477612,10,6,"Domain 6: depressive, symptoms, physical, functioning"
"Domain 7: bone, bmd, fracture, loss",NA,NA,n_papers,65,NA,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 7: bone, bmd, fracture, loss",NA,NA,n_authors,137,NA,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 7: bone, bmd, fracture, loss",NA,NA,hhi,1.6849704142011823,NA,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 7: bone, bmd, fracture, loss",NA,NA,top_x_share,0.7538461538461538,1,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 7: bone, bmd, fracture, loss",NA,NA,top_x_share,0.8307692307692308,3,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 7: bone, bmd, fracture, loss",NA,NA,top_x_share,0.9076923076923077,5,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 7: bone, bmd, fracture, loss",NA,NA,top_x_share,0.9230769230769231,10,7,"Domain 7: bone, bmd, fracture, loss"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,n_papers,47,NA,8,"Domain 8: sleep, duration, actigraphy, disturbances"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,n_authors,112,NA,8,"Domain 8: sleep, duration, actigraphy, disturbances"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,hhi,1.7768220914440926,NA,8,"Domain 8: sleep, duration, actigraphy, disturbances"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,top_x_share,0.6595744680851063,1,8,"Domain 8: sleep, duration, actigraphy, disturbances"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,top_x_share,0.723404255319149,3,8,"Domain 8: sleep, duration, actigraphy, disturbances"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,top_x_share,0.7446808510638298,5,8,"Domain 8: sleep, duration, actigraphy, disturbances"
"Domain 8: sleep, duration, actigraphy, disturbances",NA,NA,top_x_share,0.8297872340425532,10,8,"Domain 8: sleep, duration, actigraphy, disturbances"
