paper_id,pub_year,title,doi,author_part,raw_citation
midus_doi_10_1007_s11357_026_02183_1,2026,Revisiting the social frailty index in aging adults: Relevance and implications for an emerging construct,10.1007/s11357-026-02183-1,"Collinge, C. W., Bartolomucci, A., & Luciana, M. ","Collinge, C. W., Bartolomucci, A., & Luciana, M. (2026). Revisiting the social frailty index in aging adults: Relevance and implications for an emerging construct. GeroScience. Advance online publication."
midus_doi_10_1097_PSY_0000000000001452,2026,Perceived discrimination and immunological aging: A systematic review of cellular and molecular markers,10.1097/PSY.0000000000001452,"Cuevas, A. G., Kranz, E., Rodrigues, M., Binns, A., Martin, G., Herz, N., Crump, A. A., Bather, J. R., & Cole, S. W. ","Cuevas, A. G., Kranz, E., Rodrigues, M., Binns, A., Martin, G., Herz, N., Crump, A. A., Bather, J. R., & Cole, S. W. (2026). Perceived discrimination and immunological aging: A systematic review of cellular and molecular markers. Biopsychosocial Science and Medicine, 88(2), 137-155."
midus_doi_10_1016_j_bbi_2026_106816,2026,Discrimination and C-reactive protein across the life course: Findings from three national US cohorts,10.1016/j.bbi.2026.106816,"Cuevas, A. G., Zhang, X., Bather, J. R., Crump, A. A., Pagan, J. A., Xu, S., Harris, K. M., & Cole, S. W. ","Cuevas, A. G., Zhang, X., Bather, J. R., Crump, A. A., Pagan, J. A., Xu, S., Harris, K. M., & Cole, S. W. (2026). Discrimination and C-reactive protein across the life course: Findings from three national US cohorts. Brain, Behavior, and Immunity, 137, Article 106816."
midus_doi_10_1080_17439760_2025_2469515,2026,The association between childhood parental connection and perceived social integration in adulthood: Mediation by adult self-acceptance,10.1080/17439760.2025.2469515,"Dearth-Wesley, T., N., H. A., & and Whitaker, R. C. ","Dearth-Wesley, T., N., H. A., & and Whitaker, R. C. (2026). The association between childhood parental connection and perceived social integration in adulthood: Mediation by adult self-acceptance. Journal of Positive Psychology, 21(2), 358-367."
midus_doi_10_1037_hea0001618,2026,Capturing wear in wear and tear: The negative-affect reactivity linked to discrimination is associated with biological age across two national samples of adults in the United States,10.1037/hea0001618,"Del Toro, J., Martz, C., Civitillo, S., & Marcoulides, K. M. ","Del Toro, J., Martz, C., Civitillo, S., & Marcoulides, K. M. (2026). Capturing wear in wear and tear: The negative-affect reactivity linked to discrimination is associated with biological age across two national samples of adults in the United States. Health Psychology. Advance online publication."
midus_doi_10_1080_2153599X_2026_2617648,2026,"Examining the associations between private religious practices, daily spiritual experiences, and cardiovascular stress reactivity",10.1080/2153599X.2026.2617648,"Dempsey, A., Howard, S., & Gallagher, S. ","Dempsey, A., Howard, S., & Gallagher, S. (2026). Examining the associations between private religious practices, daily spiritual experiences, and cardiovascular stress reactivity. Religion, Brain & Behavior. Advance online publication."
midus_doi_10_1080_26895269_2024_2447785,2026,Reimagining menopause by expanding assumptions shaping research: A scoping review of gender and sexuality diverse people's experiences and expectations,10.1080/26895269.2024.2447785,"Drysdale, K., Burton-Clark, I., & Moline, K. ","Drysdale, K., Burton-Clark, I., & Moline, K. (2026). Reimagining menopause by expanding assumptions shaping research: A scoping review of gender and sexuality diverse people's experiences and expectations. International Journal of Transgender Health, 27(1), 162-177."
midus_doi_10_1016_j_jad_2025_120387,2026,Tracking positive emotions in the course of adult depression: A systematic scoping review of longitudinal studies,10.1016/j.jad.2025.120387,"Dupuis-Lesavre, S., Mebazaa, C., Veal, C., Ribeiro, A., Boutron, I., Krause, K., Morvan, Y., & Chevance, A. ","Dupuis-Lesavre, S., Mebazaa, C., Veal, C., Ribeiro, A., Boutron, I., Krause, K., Morvan, Y., & Chevance, A. (2026). Tracking positive emotions in the course of adult depression: A systematic scoping review of longitudinal studies. Journal of Affective Disorders, 393, Article 120387."
midus_doi_10_1080_00472778_2025_2465380,2026,Psychological perspectives on faith-driven persistence in self-employment: The mediating role of mental health and well-being,10.1080/00472778.2025.2465380,"Dwyer, S. M., Boris, N., W., B. S., & Neubert, M. J. ","Dwyer, S. M., Boris, N., W., B. S., & Neubert, M. J. (2026). Psychological perspectives on faith-driven persistence in self-employment: The mediating role of mental health and well-being. Journal of Small Business Management, 64(1), 120-162."
midus_doi_10_1016_j_ijpsycho_2026_113350,2026,How does subjective social status get under the skin? A scoping review of associations with biomarkers of the primary stress systems,10.1016/j.ijpsycho.2026.113350,"Euteneuer, F., Salzmann, S., Sussenbach, P., Kuehl, L. K., & Wilhelm, M. ","Euteneuer, F., Salzmann, S., Sussenbach, P., Kuehl, L. K., & Wilhelm, M. (2026). How does subjective social status get under the skin? A scoping review of associations with biomarkers of the primary stress systems. International Journal of Psychophysiology, 223, Article 113350."
midus_doi_10_1007_s00421_025_05887_y,2026,The interaction between exercise and sleep with heart rate variability: Cross-sectional study,10.1007/s00421-025-05887-y,"Fein, T., Muhammad, T., & Lee, S. ","Fein, T., Muhammad, T., & Lee, S. (2026). The interaction between exercise and sleep with heart rate variability: Cross-sectional study. European Journal of Applied Physiology, 126, 223-237."
midus_doi_10_1080_00224499_2026_2627658,2026,Trajectories of sexual self-efficacy in middle and later life: Do gender and time-varying contexts of marital and menopausal transitions matter? The Journal of Sex Research,10.1080/00224499.2026.2627658,"Ferguson, M., & Liu, Y. ","Ferguson, M., & Liu, Y. (2026). Trajectories of sexual self-efficacy in middle and later life: Do gender and time-varying contexts of marital and menopausal transitions matter? The Journal of Sex Research. Advance online publication."
midus_doi_10_1016_j_psychres_2026_117063,2026,Depression-anxiety comorbidity network structure in Japanese and American midlife adults: A cross-cultural comparison using MIDUS and MIDJA,10.1016/j.psychres.2026.117063,"Fujii, T., Seo, T., & Nogami, Y. ","Fujii, T., Seo, T., & Nogami, Y. (2026). Depression-anxiety comorbidity network structure in Japanese and American midlife adults: A cross-cultural comparison using MIDUS and MIDJA. Psychiatry Research, 360, Article 117063."
midus_doi_10_1016_j_jad_2026_122029,2026,Temporal stability of depression symptom networks across cultures: Longitudinal analysis of MIDUS and MIDJA,10.1016/j.jad.2026.122029,"Fujii, T., Seo, T., & Nogami, Y. ","Fujii, T., Seo, T., & Nogami, Y. (2026). Temporal stability of depression symptom networks across cultures: Longitudinal analysis of MIDUS and MIDJA. Journal of Affective Disorders, 411, Article 122029."
midus_doi_10_3390_metabo16040265,2026,Ceramide in type 2 diabetes and obesity: Modulation by nutrients and dietary patterns and opportunities to prevent and/or manage metabolic-related conditions,10.3390/metabo16040265,"Gaggini, M., Suman, A. F., & Vassalle, C. ","Gaggini, M., Suman, A. F., & Vassalle, C. (2026). Ceramide in type 2 diabetes and obesity: Modulation by nutrients and dietary patterns and opportunities to prevent and/or manage metabolic-related conditions. Metabolites, 16(4), Article 265."
midus_doi_10_1080_13607863_2026_2648698,2026,Depression and cognition: Is there a bidirectional relationship? Aging and Mental Health,10.1080/13607863.2026.2648698,"Glei, D. A., & Weinstein, M. ","Glei, D. A., & Weinstein, M. (2026). Depression and cognition: Is there a bidirectional relationship? Aging and Mental Health. Advance online publication."
midus_doi_10_1093_geroni_igaf133,2026,"Does type or diversity of activities delay aging-related cognitive decline? Innovation in Aging, 10(2), Article igaf133",10.1093/geroni/igaf133,"Glei, D. A., Lee, C., Brown, C. K., & Weinstein, M. ","Glei, D. A., Lee, C., Brown, C. K., & Weinstein, M. (2026). Does type or diversity of activities delay aging-related cognitive decline? Innovation in Aging, 10(2), Article igaf133."
midus_doi_10_1016_j_bbih_2026_101194,2026,The role of health behaviors in links between stress and epigenetic aging,10.1016/j.bbih.2026.101194,"Goering, M., Bourassa, K. J., Weinstein, M., Auger, A. P., & Brown, C. K. ","Goering, M., Bourassa, K. J., Weinstein, M., Auger, A. P., & Brown, C. K. (2026). The role of health behaviors in links between stress and epigenetic aging. Brain, Behavior, & Immunity - Health, 52, Article 101194."
midus_doi_10_1177_15248380261439146,2026,Old scars don't hurt? A systematic review on the association between child maltreatment and adult social functioning,10.1177/15248380261439146,"Gohre, I., Vogel, L., Bruckl, T., Hupe, K., Wollinger, J., Wolkenstein, L., Aleksic, M., Merscher, A.-S., Semm, A., Claus, N., Goerigk, S., Kopf-Beck, J., Binder, E., Padberg, F., Reinhard, M. A., Ehring, T., & Bertsch, K. ","Gohre, I., Vogel, L., Bruckl, T., Hupe, K., Wollinger, J., Wolkenstein, L., Aleksic, M., Merscher, A.-S., Semm, A., Claus, N., Goerigk, S., Kopf-Beck, J., Binder, E., Padberg, F., Reinhard, M. A., Ehring, T., & Bertsch, K. (2026). Old scars don't hurt? A systematic review on the association between child maltreatment and adult social functioning. Trauma, Violence, & Abuse. Advance online publication."
midus_doi_10_1111_bjhp_70044,2026,"Loneliness, the immune system, and cardiovascular health: A systematic literature review",10.1111/bjhp.70044,"Granieri, A., Sauta, M. D., Cerutti, G., De Luca, A., Ricco, C., Grimaldi, C., Gonella, M., & Franzoi, I. G. ","Granieri, A., Sauta, M. D., Cerutti, G., De Luca, A., Ricco, C., Grimaldi, C., Gonella, M., & Franzoi, I. G. (2026). Loneliness, the immune system, and cardiovascular health: A systematic literature review. British Journal of Health Psychology, 31(1), Article e70044."
midus_doi_10_1080_09658211_2026_2617345,2026,Work stress and perceived memory: Longitudinal insights from the job demand-control and effort-reward imbalance models,10.1080/09658211.2026.2617345,"Guardiano, M., Robbins, W., Sokolow, S., Song, Y., Siegrist, J., & Li, J. ","Guardiano, M., Robbins, W., Sokolow, S., Song, Y., Siegrist, J., & Li, J. (2026). Work stress and perceived memory: Longitudinal insights from the job demand-control and effort-reward imbalance models. Memory, 34(3), 315-328."
midus_doi_10_1177_08902070251356148,2026,Life events and personality trait change: A coordinated data analysis,10.1177/08902070251356148,"Haehner, P., Kramer, M. D., Wright, A. J., & Bleidorn, W. ","Haehner, P., Kramer, M. D., Wright, A. J., & Bleidorn, W. (2026). Life events and personality trait change: A coordinated data analysis. European Journal of Personality, 40(2), 391-412."
midus_doi_10_1016_j_psyneuen_2025_107714,2026,Discrimination and allostatic load in black middle-aged and older adults: A systematic review and meta-analysis,10.1016/j.psyneuen.2025.107714,"Harb, A., Souza-Talarico, J., Abad, P. B., Lawrence, K., Lee, J., Capuano, A. W., Barnes, L. L., & Deberg, J. ","Harb, A., Souza-Talarico, J., Abad, P. B., Lawrence, K., Lee, J., Capuano, A. W., Barnes, L. L., & Deberg, J. (2026). Discrimination and allostatic load in black middle-aged and older adults: A systematic review and meta-analysis. Psychoneuroendocrinology, 184, Article 107714."
midus_doi_10_1080_15366367_2026_2661304,2026,Validating the chronic stress indicator: A data-driven framework for integrating physiological and socio-behavioral measures,10.1080/15366367.2026.2661304,"Hill, M., Obeng-Gyasi, E., & Mostafa, S. A. ","Hill, M., Obeng-Gyasi, E., & Mostafa, S. A. (2026). Validating the chronic stress indicator: A data-driven framework for integrating physiological and socio-behavioral measures. Measurement: Interdisciplinary Research and Perspectives. Advance online publication."
midus_doi_10_1177_21568693241300627,2026,"Neighborhood context, divine struggles, and psychological distress",10.1177/21568693241300627,"Hill, T. D., Cheung, P. Y., Curtis, D. S., Wei, Y. D., Upenieks, L., & Wen, M. ","Hill, T. D., Cheung, P. Y., Curtis, D. S., Wei, Y. D., Upenieks, L., & Wen, M. (2026). Neighborhood context, divine struggles, and psychological distress. Society and Mental Health, 16(1), 21-37."
midus_doi_10_1080_10826084_2025_2570882,2026,Persistent binge drinking predicts continuing alcohol problems in moderate drinkers,10.1080/10826084.2025.2570882,"Holahan, C. J., Holahan, C. K., & Powers, D. A. ","Holahan, C. J., Holahan, C. K., & Powers, D. A. (2026). Persistent binge drinking predicts continuing alcohol problems in moderate drinkers. Substance Use and Misuse, 61(5), 666-672."
midus_doi_10_1093_geronb_gbag079,2026,The moderating effects of perceived control on relationships between trauma exposure in childhood and cognitive health in adulthood,10.1093/geronb/gbag079,"Horowitz, C. S., Cerino, E. S., Noll, L. K., Dunbar, N. D., & Segerstrom, S. ","Horowitz, C. S., Cerino, E. S., Noll, L. K., Dunbar, N. D., & Segerstrom, S. (2026). The moderating effects of perceived control on relationships between trauma exposure in childhood and cognitive health in adulthood. Journals of Gerontology. Series B, Psychological Sciences and Social Sciences. Advance online publication."
midus_doi_10_1016_j_jad_2026_121235,2026,Social connectedness dimensions are associated with lower psychological distress among middle-aged Black Americans,10.1016/j.jad.2026.121235,"Hsu, Y.-T., Song, Z., Villalogna-Olives, E., Rice, B. M., Taggart, T., Williams, D. R., & Ransome, Y. ","Hsu, Y.-T., Song, Z., Villalogna-Olives, E., Rice, B. M., Taggart, T., Williams, D. R., & Ransome, Y. (2026). Social connectedness dimensions are associated with lower psychological distress among middle-aged Black Americans. Journal of Affective Disorders, 401, Article 121235."
midus_doi_10_1002_jclp_70138,2026,Developing a six-item short form of Ryff's psychological well-being measure: Demonstration of short form development using exhaustive search,10.1002/jclp.70138,"Joshanloo, M. ","Joshanloo, M. (2026). Developing a six-item short form of Ryff's psychological well-being measure: Demonstration of short form development using exhaustive search. Journal of Clinical Psychology. Advance online publication."
midus_doi_10_1111_psyp_70267,2026,Co-use of tobacco and alcohol is associated with blunted blood pressure responses during stress: A prospective examination 9-14years later,10.1111/psyp.70267,"Keogh, T. M., & al'Absi, M. ","Keogh, T. M., & al'Absi, M. (2026). Co-use of tobacco and alcohol is associated with blunted blood pressure responses during stress: A prospective examination 9-14years later. Psychophysiology, 63(4), Article e70267."
midus_doi_10_3390_famsci2020014,2026,Profiles of family functioning and their associations with physical and psychological health outcomes,10.3390/famsci2020014,"Kimmes, J. G., Ledermann, T., Montgomery, S., Triplett, N., & Grzywacz, J. G. ","Kimmes, J. G., Ledermann, T., Montgomery, S., Triplett, N., & Grzywacz, J. G. (2026). Profiles of family functioning and their associations with physical and psychological health outcomes. Family Sciences, 2(2), Article 14."
midus_doi_10_1007_s10902_026_01059_7,2026,"How to flourish during the menopausal transition: A scoping review on emotional, social and psychological wellbeing",10.1007/s10902-026-01059-7,"Klukas, I. F., & Schotanus-Dijkstra, M. ","Klukas, I. F., & Schotanus-Dijkstra, M. (2026). How to flourish during the menopausal transition: A scoping review on emotional, social and psychological wellbeing. Journal of Happiness Studies, 27(5), Article 73."
midus_doi_10_1177_10422587261415935,2026,Replication studies in entrepreneurship: Mapping current efforts and identifying future opportunities,10.1177/10422587261415935,"Krieweth, C., Kruse, S., Short, J. C., Schrameier, L. R. M., & Brettel, M. ","Krieweth, C., Kruse, S., Short, J. C., Schrameier, L. R. M., & Brettel, M. (2026). Replication studies in entrepreneurship: Mapping current efforts and identifying future opportunities. Entrepreneurship Theory and Practice. Advance online publication."
midus_doi_10_1177_08982643261457481,2026,"Embodied cognitive reserve in later life: Education, lifelong learning, and family-based social support as predictors of mortality in the Midlife in the United States (MIDUS) study",10.1177/08982643261457481,"Kuo, Y. C., & Chen, S. W. ","Kuo, Y. C., & Chen, S. W. (2026). Embodied cognitive reserve in later life: Education, lifelong learning, and family-based social support as predictors of mortality in the Midlife in the United States (MIDUS) study. Journal of Aging and Health. Advance online publication."
midus_doi_10_1016_j_rssm_2026_101151,2026,The contingency of future vs,10.1016/j.rssm.2026.101151,"Kwon, H. W., & Erola, J. ","Kwon, H. W., & Erola, J. (2026). The contingency of future vs. present orientation and status attainment. Research in Social Stratification and Mobility, 103, Article 101151."
midus_doi_10_1016_j_bbi_2026_106806,2026,Strategies for analyzing multiple inflammatory biomarkers: Impacts on the strength and replicability of findings in the MIDUS study,10.1016/j.bbi.2026.106806,"Lam, P. H., & Miller, G. E. ","Lam, P. H., & Miller, G. E. (2026). Strategies for analyzing multiple inflammatory biomarkers: Impacts on the strength and replicability of findings in the MIDUS study. Brain, Behavior, and Immunity. Advance online publication."
midus_doi_10_1177_07334648251343924,2026,"Caring for the caregiver: Investigating the relationship between caregiving, gender, and diabetes risk in MIDUS II",10.1177/07334648251343924,"Lamont, H., Fillon, A., Lanovoi, H., Gills, J. L., & Stokes, J. E. ","Lamont, H., Fillon, A., Lanovoi, H., Gills, J. L., & Stokes, J. E. (2026). Caring for the caregiver: Investigating the relationship between caregiving, gender, and diabetes risk in MIDUS II. Journal of Applied Gerontology, 45(3), 581-591."
midus_doi_10_1016_j_jad_2025_120851,2026,An attitude of gratitude: How psychological and social resources mediate the protective effect of religiosity on depressive symptoms,10.1016/j.jad.2025.120851,"Lantz, E. D., & Nadorff, D. K. ","Lantz, E. D., & Nadorff, D. K. (2026). An attitude of gratitude: How psychological and social resources mediate the protective effect of religiosity on depressive symptoms. Journal of Affective Disorders, 397, Article 120851."
midus_doi_10_1093_geronb_gbaf246,2026,The toll of caregiving: Life-course family care and disparities in physical functioning,10.1093/geronb/gbaf246,"Lee, C., Zheng, X., & Park, S. ","Lee, C., Zheng, X., & Park, S. (2026). The toll of caregiving: Life-course family care and disparities in physical functioning. Journals of Gerontology. Series B, Psychological Sciences and Social Sciences, 81(2), Article gbaf246."
midus_doi_10_1111_sjop_70051,2026,"Longitudinal stability and cross-sectional correlates: Cognition, stress, and inflammation in midlife",10.1111/sjop.70051,"Lee, P.-L., Huang, C.-K., & Ou, L.-C. ","Lee, P.-L., Huang, C.-K., & Ou, L.-C. (2026). Longitudinal stability and cross-sectional correlates: Cognition, stress, and inflammation in midlife. Scandinavian Journal of Psychology, 67(2), 558-569."
midus_doi_10_1097_PSY_0000000000001494,2026,The mediating role of daily affect dynamics in bidirectional and longitudinal associations between depressive symptoms and inflammation,10.1097/PSY.0000000000001494,"Lee, S. A., Graham-Engeland, J. E., Lee, S., & Almeida, D. M. ","Lee, S. A., Graham-Engeland, J. E., Lee, S., & Almeida, D. M. (2026). The mediating role of daily affect dynamics in bidirectional and longitudinal associations between depressive symptoms and inflammation. Biopsychosocial Science and Medicine. Advance online publication."
midus_doi_10_1037_pag0000938,2026,Longitudinal profiles of affect dynamics in middle and later life: A latent transition analysis,10.1037/pag0000938,"Lee, S. A., Mukherjee, D., Lanza, S. T., & Almeida, D. M. ","Lee, S. A., Mukherjee, D., Lanza, S. T., & Almeida, D. M. (2026). Longitudinal profiles of affect dynamics in middle and later life: A latent transition analysis. Psychology and Aging, 41(2), 256-267."
midus_doi_10_2196_87374,2026,"Modeling diabetes risk and progression with public health data: Ontology-guided, simulation-capable digital twin study",10.2196/87374,"Li, Q., Amat, K. R., Johnson, E. L., & Li, J. ","Li, Q., Amat, K. R., Johnson, E. L., & Li, J. (2026). Modeling diabetes risk and progression with public health data: Ontology-guided, simulation-capable digital twin study. JMIR Medical Informatics, 14, Article e87374."
