district_label,tier,year,subject,race,avg_score,n_tested
Milwaukee,Tier 1,2018-19,Composite,Hispanic,16.7,864
Milwaukee,Tier 1,2018-19,Composite,White,20.8,326
Milwaukee,Tier 1,2018-19,English,Black,13.88,1765
Milwaukee,Tier 1,2018-19,English,Hispanic,15.79,864
Milwaukee,Tier 1,2018-19,English,White,20.87,326
Milwaukee,Tier 1,2018-19,Mathematics,Black,15.34,1765
Milwaukee,Tier 1,2018-19,Mathematics,Hispanic,16.81,864
Milwaukee,Tier 1,2018-19,Mathematics,White,19.92,326
Milwaukee,Tier 1,2021-22,Composite,Black,15.12,823
Milwaukee,Tier 1,2021-22,Composite,Hispanic,16.62,656
Milwaukee,Tier 1,2021-22,Composite,White,21.97,259
Milwaukee,Tier 1,2021-22,English,Black,14.1,823
Milwaukee,Tier 1,2021-22,English,Hispanic,15.72,656
Milwaukee,Tier 1,2021-22,English,White,22.02,259
Milwaukee,Tier 1,2021-22,Mathematics,Black,14.72,823
Milwaukee,Tier 1,2021-22,Mathematics,Hispanic,16.25,656
Milwaukee,Tier 1,2021-22,Mathematics,White,20.25,259
Milwaukee,Tier 1,2022-23,Composite,Black,14.34,1259
Milwaukee,Tier 1,2022-23,Composite,Hispanic,16.08,889
Milwaukee,Tier 1,2022-23,Composite,White,21.08,284
Milwaukee,Tier 1,2022-23,English,Black,12.99,1259
Milwaukee,Tier 1,2022-23,English,Hispanic,14.9,889
Milwaukee,Tier 1,2022-23,English,White,21.03,284
Milwaukee,Tier 1,2022-23,Mathematics,Black,14.05,1259
Milwaukee,Tier 1,2022-23,Mathematics,Hispanic,15.77,889
Milwaukee,Tier 1,2022-23,Mathematics,White,19.55,284
Racine Unified,Tier 1,2015-16,Composite,Black,15.25,273
Racine Unified,Tier 1,2015-16,Composite,Hispanic,17.02,304
Racine Unified,Tier 1,2015-16,Composite,White,19.65,650
Racine Unified,Tier 1,2015-16,English,Black,13.48,273
Racine Unified,Tier 1,2015-16,English,Hispanic,15.86,304
Racine Unified,Tier 1,2015-16,English,White,19.05,650
Racine Unified,Tier 1,2015-16,Mathematics,Black,15.52,273
Racine Unified,Tier 1,2015-16,Mathematics,Hispanic,16.96,304
Racine Unified,Tier 1,2015-16,Mathematics,White,18.84,650
Racine Unified,Tier 1,2016-17,Composite,Black,15.53,280
Racine Unified,Tier 1,2016-17,Composite,Hispanic,16.39,294
Racine Unified,Tier 1,2016-17,Composite,White,19.8,600
Racine Unified,Tier 1,2016-17,English,Black,13.73,280
Racine Unified,Tier 1,2016-17,English,Hispanic,14.65,294
Racine Unified,Tier 1,2016-17,English,White,19.08,600
Racine Unified,Tier 1,2016-17,Mathematics,Black,15.85,280
Racine Unified,Tier 1,2016-17,Mathematics,Hispanic,16.41,294
Racine Unified,Tier 1,2016-17,Mathematics,White,19.1,600
Racine Unified,Tier 1,2017-18,Composite,Black,15.17,300
Racine Unified,Tier 1,2017-18,Composite,Hispanic,16.29,347
Racine Unified,Tier 1,2017-18,Composite,White,19.77,540
Racine Unified,Tier 1,2017-18,English,Black,13.93,300
Racine Unified,Tier 1,2017-18,English,Hispanic,14.99,347
Racine Unified,Tier 1,2017-18,English,White,19.38,540
Racine Unified,Tier 1,2017-18,Mathematics,Black,15.22,300
Racine Unified,Tier 1,2017-18,Mathematics,Hispanic,16.23,347
Racine Unified,Tier 1,2017-18,Mathematics,White,18.92,540
Racine Unified,Tier 1,2018-19,Composite,Black,15.11,287
Racine Unified,Tier 1,2018-19,Composite,Hispanic,16.34,315
Racine Unified,Tier 1,2018-19,Composite,White,19.58,461
Racine Unified,Tier 1,2018-19,English,Black,13.75,287
Racine Unified,Tier 1,2018-19,English,Hispanic,15.1,315
Racine Unified,Tier 1,2018-19,English,White,18.93,461
Racine Unified,Tier 1,2018-19,Mathematics,Black,15.29,287
Racine Unified,Tier 1,2018-19,Mathematics,Hispanic,16.33,315
Racine Unified,Tier 1,2018-19,Mathematics,White,18.81,461
Racine Unified,Tier 1,2021-22,Composite,Black,14.15,220
Racine Unified,Tier 1,2021-22,Composite,Hispanic,15.5,274
Racine Unified,Tier 1,2021-22,Composite,White,19.18,413
Racine Unified,Tier 1,2021-22,English,Black,12.58,220
Racine Unified,Tier 1,2021-22,English,Hispanic,14.09,274
Racine Unified,Tier 1,2021-22,English,White,18.37,413
Racine Unified,Tier 1,2021-22,Mathematics,Black,14.07,220
Racine Unified,Tier 1,2021-22,Mathematics,Hispanic,15.13,274
Racine Unified,Tier 1,2021-22,Mathematics,White,18.05,413
Racine Unified,Tier 1,2022-23,Composite,Black,13.49,169
Racine Unified,Tier 1,2022-23,Composite,Hispanic,15.06,302
Racine Unified,Tier 1,2022-23,Composite,White,18.5,410
Racine Unified,Tier 1,2022-23,English,Black,12.01,169
Racine Unified,Tier 1,2022-23,English,Hispanic,13.93,302
Racine Unified,Tier 1,2022-23,English,White,18.11,410
Racine Unified,Tier 1,2022-23,Mathematics,Black,13.56,169
Racine Unified,Tier 1,2022-23,Mathematics,Hispanic,14.8,302
Racine Unified,Tier 1,2022-23,Mathematics,White,17.33,410
Kenosha,Tier 1,2015-16,Composite,Black,15.71,209
Kenosha,Tier 1,2015-16,Composite,Hispanic,16.57,332
Kenosha,Tier 1,2015-16,Composite,White,20.01,936
Kenosha,Tier 1,2015-16,English,Black,14.14,209
Kenosha,Tier 1,2015-16,English,Hispanic,14.95,332
Kenosha,Tier 1,2015-16,English,White,19.35,936
Kenosha,Tier 1,2015-16,Mathematics,Black,15.98,209
Kenosha,Tier 1,2015-16,Mathematics,Hispanic,16.73,332
Kenosha,Tier 1,2015-16,Mathematics,White,19.58,936
Kenosha,Tier 1,2016-17,Composite,Black,15.69,202
Kenosha,Tier 1,2016-17,Composite,Hispanic,16.75,378
Kenosha,Tier 1,2016-17,Composite,White,20.16,951
Kenosha,Tier 1,2016-17,English,Black,13.74,202
Kenosha,Tier 1,2016-17,English,Hispanic,15.0,378
Kenosha,Tier 1,2016-17,English,White,19.57,951
Kenosha,Tier 1,2016-17,Mathematics,Black,16.03,202
Kenosha,Tier 1,2016-17,Mathematics,Hispanic,16.88,378
Kenosha,Tier 1,2016-17,Mathematics,White,19.29,951
Kenosha,Tier 1,2017-18,Composite,Black,15.41,228
Kenosha,Tier 1,2017-18,Composite,Hispanic,16.81,408
Kenosha,Tier 1,2017-18,Composite,White,20.4,899
Kenosha,Tier 1,2017-18,English,Black,13.92,228
Kenosha,Tier 1,2017-18,English,Hispanic,15.71,408
Kenosha,Tier 1,2017-18,English,White,20.12,899
Kenosha,Tier 1,2017-18,Mathematics,Black,15.56,228
Kenosha,Tier 1,2017-18,Mathematics,Hispanic,16.59,408
Kenosha,Tier 1,2017-18,Mathematics,White,19.66,899
Kenosha,Tier 1,2018-19,Composite,Black,15.27,197
Kenosha,Tier 1,2018-19,Composite,Hispanic,16.55,446
Kenosha,Tier 1,2018-19,Composite,White,20.53,857
Kenosha,Tier 1,2018-19,English,Black,13.97,197
Kenosha,Tier 1,2018-19,English,Hispanic,15.36,446
Kenosha,Tier 1,2018-19,English,White,20.14,857
Kenosha,Tier 1,2018-19,Mathematics,Black,15.48,197
Kenosha,Tier 1,2018-19,Mathematics,Hispanic,16.48,446
Kenosha,Tier 1,2018-19,Mathematics,White,19.79,857
Kenosha,Tier 1,2021-22,Composite,Black,14.63,141
Kenosha,Tier 1,2021-22,Composite,Hispanic,15.62,331
Kenosha,Tier 1,2021-22,Composite,White,19.36,655
Kenosha,Tier 1,2021-22,English,Black,12.96,141
Kenosha,Tier 1,2021-22,English,Hispanic,14.06,331
Kenosha,Tier 1,2021-22,English,White,18.67,655
Kenosha,Tier 1,2021-22,Mathematics,Black,15.21,141
Kenosha,Tier 1,2021-22,Mathematics,Hispanic,15.83,331
Kenosha,Tier 1,2021-22,Mathematics,White,18.92,655
Kenosha,Tier 1,2022-23,Composite,Black,15.07,164
Kenosha,Tier 1,2022-23,Composite,Hispanic,16.09,403
Kenosha,Tier 1,2022-23,Composite,White,19.65,662
Kenosha,Tier 1,2022-23,English,Black,13.8,164
Kenosha,Tier 1,2022-23,English,Hispanic,14.61,403
Kenosha,Tier 1,2022-23,English,White,18.95,662
Kenosha,Tier 1,2022-23,Mathematics,Black,14.73,164
Kenosha,Tier 1,2022-23,Mathematics,Hispanic,16.01,403
Kenosha,Tier 1,2022-23,Mathematics,White,18.85,662
Green Bay Area,Tier 1,2015-16,Composite,Black,14.22,86
Green Bay Area,Tier 1,2015-16,Composite,Hispanic,15.85,262
Green Bay Area,Tier 1,2015-16,Composite,White,20.72,680
Green Bay Area,Tier 1,2015-16,English,Black,11.83,86
Green Bay Area,Tier 1,2015-16,English,Hispanic,13.92,262
Green Bay Area,Tier 1,2015-16,English,White,19.5,680
Green Bay Area,Tier 1,2015-16,Mathematics,Black,15.48,86
Green Bay Area,Tier 1,2015-16,Mathematics,Hispanic,16.61,262
Green Bay Area,Tier 1,2015-16,Mathematics,White,21.31,680
Green Bay Area,Tier 1,2016-17,Composite,Black,15.09,103
Green Bay Area,Tier 1,2016-17,Composite,Hispanic,16.21,252
Green Bay Area,Tier 1,2016-17,Composite,White,20.27,655
Green Bay Area,Tier 1,2016-17,English,Black,13.03,103
Green Bay Area,Tier 1,2016-17,English,Hispanic,14.13,252
Green Bay Area,Tier 1,2016-17,English,White,18.9,655
Green Bay Area,Tier 1,2016-17,Mathematics,Black,15.9,103
Green Bay Area,Tier 1,2016-17,Mathematics,Hispanic,16.7,252
Green Bay Area,Tier 1,2016-17,Mathematics,White,20.75,655
Green Bay Area,Tier 1,2017-18,Composite,Black,14.97,118
Green Bay Area,Tier 1,2017-18,Composite,Hispanic,15.81,320
Green Bay Area,Tier 1,2017-18,Composite,White,20.85,675
Green Bay Area,Tier 1,2017-18,English,Black,13.36,118
Green Bay Area,Tier 1,2017-18,English,Hispanic,14.12,320
Green Bay Area,Tier 1,2017-18,English,White,19.72,675
Green Bay Area,Tier 1,2017-18,Mathematics,Black,15.68,118
Green Bay Area,Tier 1,2017-18,Mathematics,Hispanic,16.43,320
Green Bay Area,Tier 1,2017-18,Mathematics,White,21.24,675
Green Bay Area,Tier 1,2018-19,Composite,Black,14.21,92
Green Bay Area,Tier 1,2018-19,Composite,Hispanic,15.55,302
Green Bay Area,Tier 1,2018-19,Composite,White,20.11,631
Green Bay Area,Tier 1,2018-19,English,Black,12.25,92
Green Bay Area,Tier 1,2018-19,English,Hispanic,13.68,302
Green Bay Area,Tier 1,2018-19,English,White,18.66,631
Green Bay Area,Tier 1,2018-19,Mathematics,Black,15.28,92
Green Bay Area,Tier 1,2018-19,Mathematics,Hispanic,16.31,302
Green Bay Area,Tier 1,2018-19,Mathematics,White,20.45,631
Green Bay Area,Tier 1,2021-22,Composite,Black,13.68,97
Green Bay Area,Tier 1,2021-22,Composite,Hispanic,14.77,287
Green Bay Area,Tier 1,2021-22,Composite,White,19.21,511
Green Bay Area,Tier 1,2021-22,English,Black,11.4,97
Green Bay Area,Tier 1,2021-22,English,Hispanic,12.39,287
Green Bay Area,Tier 1,2021-22,English,White,17.32,511
Green Bay Area,Tier 1,2021-22,Mathematics,Black,14.53,97
Green Bay Area,Tier 1,2021-22,Mathematics,Hispanic,15.54,287
Green Bay Area,Tier 1,2021-22,Mathematics,White,19.35,511
Green Bay Area,Tier 1,2022-23,Composite,Black,14.14,86
Green Bay Area,Tier 1,2022-23,Composite,Hispanic,14.96,324
Green Bay Area,Tier 1,2022-23,Composite,White,19.25,496
Green Bay Area,Tier 1,2022-23,English,Black,12.2,86
Green Bay Area,Tier 1,2022-23,English,Hispanic,12.84,324
Green Bay Area,Tier 1,2022-23,English,White,17.69,496
Green Bay Area,Tier 1,2022-23,Mathematics,Black,14.05,86
Green Bay Area,Tier 1,2022-23,Mathematics,Hispanic,15.38,324
Green Bay Area,Tier 1,2022-23,Mathematics,White,19.29,496
Beloit,Tier 1,2015-16,Composite,Black,15.09,95
Beloit,Tier 1,2015-16,Composite,Hispanic,16.1,141
Beloit,Tier 1,2015-16,Composite,White,18.38,178
Beloit,Tier 1,2015-16,English,Black,13.08,95
Beloit,Tier 1,2015-16,English,Hispanic,14.1,141
Beloit,Tier 1,2015-16,English,White,17.14,178
Beloit,Tier 1,2015-16,Mathematics,Black,15.63,95
Beloit,Tier 1,2015-16,Mathematics,Hispanic,16.72,141
Beloit,Tier 1,2015-16,Mathematics,White,18.23,178
Beloit,Tier 1,2016-17,Composite,Black,15.55,94
Beloit,Tier 1,2016-17,Composite,Hispanic,15.86,125
Beloit,Tier 1,2016-17,Composite,White,18.6,186
Beloit,Tier 1,2016-17,English,Black,13.7,94
Beloit,Tier 1,2016-17,English,Hispanic,13.76,125
Beloit,Tier 1,2016-17,English,White,17.45,186
Beloit,Tier 1,2016-17,Mathematics,Black,15.94,94
Beloit,Tier 1,2016-17,Mathematics,Hispanic,16.54,125
Beloit,Tier 1,2016-17,Mathematics,White,18.18,186
Beloit,Tier 1,2017-18,Composite,Black,14.61,89
Beloit,Tier 1,2017-18,Composite,Hispanic,16.25,134
Beloit,Tier 1,2017-18,Composite,White,18.26,176
Beloit,Tier 1,2017-18,English,Black,13.19,89
Beloit,Tier 1,2017-18,English,Hispanic,14.22,134
Beloit,Tier 1,2017-18,English,White,17.07,176
Beloit,Tier 1,2017-18,Mathematics,Black,15.12,89
Beloit,Tier 1,2017-18,Mathematics,Hispanic,16.66,134
Beloit,Tier 1,2017-18,Mathematics,White,18.15,176
Beloit,Tier 1,2018-19,Composite,Black,14.79,80
Beloit,Tier 1,2018-19,Composite,Hispanic,15.87,143
Beloit,Tier 1,2018-19,Composite,White,18.14,161
Beloit,Tier 1,2018-19,English,Black,13.25,80
Beloit,Tier 1,2018-19,English,Hispanic,14.15,143
Beloit,Tier 1,2018-19,English,White,16.94,161
Beloit,Tier 1,2018-19,Mathematics,Black,15.54,80
Beloit,Tier 1,2018-19,Mathematics,Hispanic,16.55,143
Beloit,Tier 1,2018-19,Mathematics,White,17.71,161
Beloit,Tier 1,2021-22,Composite,Black,14.01,80
Beloit,Tier 1,2021-22,Composite,Hispanic,14.9,130
Beloit,Tier 1,2021-22,Composite,White,17.1,119
Beloit,Tier 1,2021-22,English,Black,12.0,80
Beloit,Tier 1,2021-22,English,Hispanic,12.99,130
Beloit,Tier 1,2021-22,English,White,14.95,119
Beloit,Tier 1,2021-22,Mathematics,Black,15.04,80
Beloit,Tier 1,2021-22,Mathematics,Hispanic,15.35,130
Beloit,Tier 1,2021-22,Mathematics,White,17.08,119
Beloit,Tier 1,2022-23,Composite,Black,13.47,59
Beloit,Tier 1,2022-23,Composite,Hispanic,14.7,130
Beloit,Tier 1,2022-23,Composite,White,16.24,104
Beloit,Tier 1,2022-23,English,Black,11.15,59
Beloit,Tier 1,2022-23,English,Hispanic,12.18,130
Beloit,Tier 1,2022-23,English,White,14.45,104
Beloit,Tier 1,2022-23,Mathematics,Black,14.61,59
Beloit,Tier 1,2022-23,Mathematics,Hispanic,15.55,130
Beloit,Tier 1,2022-23,Mathematics,White,16.26,104
Sun Prairie Area,Tier 2,2015-16,Composite,Black,15.77,57
Sun Prairie Area,Tier 2,2015-16,Composite,Hispanic,17.78,40
Sun Prairie Area,Tier 2,2015-16,Composite,White,22.6,370
Sun Prairie Area,Tier 2,2015-16,English,Black,13.91,57
Sun Prairie Area,Tier 2,2015-16,English,Hispanic,16.25,40
Sun Prairie Area,Tier 2,2015-16,English,White,21.88,370
Sun Prairie Area,Tier 2,2015-16,Mathematics,Black,16.19,57
Sun Prairie Area,Tier 2,2015-16,Mathematics,Hispanic,18.38,40
Sun Prairie Area,Tier 2,2015-16,Mathematics,White,22.34,370
Sun Prairie Area,Tier 2,2016-17,Composite,Black,16.46,48
Sun Prairie Area,Tier 2,2016-17,Composite,Hispanic,19.73,45
Sun Prairie Area,Tier 2,2016-17,Composite,White,22.84,376
Sun Prairie Area,Tier 2,2016-17,English,Black,14.33,48
Sun Prairie Area,Tier 2,2016-17,English,Hispanic,18.33,45
Sun Prairie Area,Tier 2,2016-17,English,White,22.24,376
Sun Prairie Area,Tier 2,2016-17,Mathematics,Black,16.71,48
Sun Prairie Area,Tier 2,2016-17,Mathematics,Hispanic,19.8,45
Sun Prairie Area,Tier 2,2016-17,Mathematics,White,22.78,376
Sun Prairie Area,Tier 2,2017-18,Composite,Black,16.0,56
Sun Prairie Area,Tier 2,2017-18,Composite,Hispanic,19.12,25
Sun Prairie Area,Tier 2,2017-18,Composite,White,23.11,370
Sun Prairie Area,Tier 2,2017-18,English,Black,14.46,56
Sun Prairie Area,Tier 2,2017-18,English,Hispanic,17.32,25
Sun Prairie Area,Tier 2,2017-18,English,White,22.45,370
Sun Prairie Area,Tier 2,2017-18,Mathematics,Black,16.45,56
Sun Prairie Area,Tier 2,2017-18,Mathematics,Hispanic,19.44,25
Sun Prairie Area,Tier 2,2017-18,Mathematics,White,22.92,370
Sun Prairie Area,Tier 2,2018-19,Composite,Black,15.47,70
Sun Prairie Area,Tier 2,2018-19,Composite,Hispanic,19.34,56
Sun Prairie Area,Tier 2,2018-19,Composite,White,22.62,393
Sun Prairie Area,Tier 2,2018-19,English,Black,13.4,70
Sun Prairie Area,Tier 2,2018-19,English,Hispanic,18.39,56
Sun Prairie Area,Tier 2,2018-19,English,White,21.73,393
Sun Prairie Area,Tier 2,2018-19,Mathematics,Black,16.19,70
Sun Prairie Area,Tier 2,2018-19,Mathematics,Hispanic,19.38,56
Sun Prairie Area,Tier 2,2018-19,Mathematics,White,22.79,393
Sun Prairie Area,Tier 2,2021-22,Composite,Black,15.23,31
Sun Prairie Area,Tier 2,2021-22,Composite,Hispanic,19.05,43
Sun Prairie Area,Tier 2,2021-22,Composite,White,21.51,377
Sun Prairie Area,Tier 2,2021-22,English,Black,13.06,31
Sun Prairie Area,Tier 2,2021-22,English,Hispanic,17.53,43
Sun Prairie Area,Tier 2,2021-22,English,White,20.68,377
Sun Prairie Area,Tier 2,2021-22,Mathematics,Black,14.77,31
Sun Prairie Area,Tier 2,2021-22,Mathematics,Hispanic,17.93,43
Sun Prairie Area,Tier 2,2021-22,Mathematics,White,20.43,377
Sun Prairie Area,Tier 2,2022-23,Composite,Black,15.64,42
Sun Prairie Area,Tier 2,2022-23,Composite,Hispanic,17.8,55
Sun Prairie Area,Tier 2,2022-23,Composite,White,21.09,356
Sun Prairie Area,Tier 2,2022-23,English,Black,14.64,42
Sun Prairie Area,Tier 2,2022-23,English,Hispanic,16.2,55
Sun Prairie Area,Tier 2,2022-23,English,White,20.53,356
Sun Prairie Area,Tier 2,2022-23,Mathematics,Black,15.12,42
Sun Prairie Area,Tier 2,2022-23,Mathematics,Hispanic,17.31,55
Sun Prairie Area,Tier 2,2022-23,Mathematics,White,20.02,356
Appleton Area,Tier 2,2015-16,Composite,Black,17.29,38
Appleton Area,Tier 2,2015-16,Composite,Hispanic,17.54,76
Appleton Area,Tier 2,2015-16,Composite,White,22.33,901
Appleton Area,Tier 2,2015-16,English,Black,15.97,38
Appleton Area,Tier 2,2015-16,English,Hispanic,16.36,76
Appleton Area,Tier 2,2015-16,English,White,21.75,901
Appleton Area,Tier 2,2015-16,Mathematics,Black,17.34,38
Appleton Area,Tier 2,2015-16,Mathematics,Hispanic,17.46,76
Appleton Area,Tier 2,2015-16,Mathematics,White,21.98,901
Appleton Area,Tier 2,2016-17,Composite,Black,18.46,48
Appleton Area,Tier 2,2016-17,Composite,Hispanic,17.76,76
Appleton Area,Tier 2,2016-17,Composite,White,21.87,829
Appleton Area,Tier 2,2016-17,English,Black,17.1,48
Appleton Area,Tier 2,2016-17,English,Hispanic,16.18,76
Appleton Area,Tier 2,2016-17,English,White,21.17,829
Appleton Area,Tier 2,2016-17,Mathematics,Black,18.25,48
Appleton Area,Tier 2,2016-17,Mathematics,Hispanic,18.05,76
Appleton Area,Tier 2,2016-17,Mathematics,White,21.63,829
Appleton Area,Tier 2,2017-18,Composite,Black,16.9,41
Appleton Area,Tier 2,2017-18,Composite,Hispanic,17.64,107
Appleton Area,Tier 2,2017-18,Composite,White,21.73,897
Appleton Area,Tier 2,2017-18,English,Black,15.39,41
Appleton Area,Tier 2,2017-18,English,Hispanic,16.27,107
Appleton Area,Tier 2,2017-18,English,White,21.02,897
Appleton Area,Tier 2,2017-18,Mathematics,Black,16.61,41
Appleton Area,Tier 2,2017-18,Mathematics,Hispanic,17.98,107
Appleton Area,Tier 2,2017-18,Mathematics,White,21.51,897
Appleton Area,Tier 2,2018-19,Composite,Black,16.32,57
Appleton Area,Tier 2,2018-19,Composite,Hispanic,17.09,100
Appleton Area,Tier 2,2018-19,Composite,White,21.34,827
Appleton Area,Tier 2,2018-19,English,Black,14.98,57
Appleton Area,Tier 2,2018-19,English,Hispanic,15.4,100
Appleton Area,Tier 2,2018-19,English,White,20.67,827
Appleton Area,Tier 2,2018-19,Mathematics,Black,16.28,57
Appleton Area,Tier 2,2018-19,Mathematics,Hispanic,17.59,100
Appleton Area,Tier 2,2018-19,Mathematics,White,21.08,827
Appleton Area,Tier 2,2021-22,Composite,Black,15.92,36
Appleton Area,Tier 2,2021-22,Composite,Hispanic,15.8,105
Appleton Area,Tier 2,2021-22,Composite,White,19.61,795
Appleton Area,Tier 2,2021-22,English,Black,14.44,36
Appleton Area,Tier 2,2021-22,English,Hispanic,14.04,105
Appleton Area,Tier 2,2021-22,English,White,18.22,795
Appleton Area,Tier 2,2021-22,Mathematics,Black,16.06,36
Appleton Area,Tier 2,2021-22,Mathematics,Hispanic,16.4,105
Appleton Area,Tier 2,2021-22,Mathematics,White,19.37,795
Appleton Area,Tier 2,2022-23,Composite,Black,14.71,51
Appleton Area,Tier 2,2022-23,Composite,Hispanic,16.67,125
Appleton Area,Tier 2,2022-23,Composite,White,20.45,772
Appleton Area,Tier 2,2022-23,English,Black,12.78,51
Appleton Area,Tier 2,2022-23,English,Hispanic,15.1,125
Appleton Area,Tier 2,2022-23,English,White,19.41,772
Appleton Area,Tier 2,2022-23,Mathematics,Black,15.18,51
Appleton Area,Tier 2,2022-23,Mathematics,Hispanic,16.48,125
Appleton Area,Tier 2,2022-23,Mathematics,White,19.96,772
Waukesha,Tier 2,2015-16,Composite,Black,16.4,53
Waukesha,Tier 2,2015-16,Composite,Hispanic,17.26,145
Waukesha,Tier 2,2015-16,Composite,White,21.53,739
