period,period_start,period_end,metric,value,top_x,cluster,domain
"Domain 3: prostate, psa, cancer, antigen",NA,NA,n_papers,30,NA,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 3: prostate, psa, cancer, antigen",NA,NA,n_authors,54,NA,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 3: prostate, psa, cancer, antigen",NA,NA,hhi,2.3766666666666696,NA,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 3: prostate, psa, cancer, antigen",NA,NA,top_x_share,0.9,1,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 3: prostate, psa, cancer, antigen",NA,NA,top_x_share,0.9,3,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 3: prostate, psa, cancer, antigen",NA,NA,top_x_share,0.9,5,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 3: prostate, psa, cancer, antigen",NA,NA,top_x_share,0.9,10,3,"Domain 3: prostate, psa, cancer, antigen"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,n_papers,550,NA,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,n_authors,1114,NA,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,hhi,0.5889421487603368,NA,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,top_x_share,0.4636363636363636,1,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,top_x_share,0.7018181818181818,3,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,top_x_share,0.7436363636363637,5,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 4: cognitive, brain, gait, muscle",NA,NA,top_x_share,0.8109090909090909,10,4,"Domain 4: cognitive, brain, gait, muscle"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,n_papers,47,NA,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,n_authors,106,NA,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,hhi,0.9705749207786345,NA,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,top_x_share,0.44680851063829785,1,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,top_x_share,0.5106382978723404,3,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,top_x_share,0.8297872340425532,5,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 5: knee, osteoarthritis, stiffness, hand",NA,NA,top_x_share,0.9574468085106383,10,5,"Domain 5: knee, osteoarthritis, stiffness, hand"
"Domain 6: intake, diet, proteins, cell",NA,NA,n_papers,67,NA,6,"Domain 6: intake, diet, proteins, cell"
"Domain 6: intake, diet, proteins, cell",NA,NA,n_authors,357,NA,6,"Domain 6: intake, diet, proteins, cell"
"Domain 6: intake, diet, proteins, cell",NA,NA,hhi,0.912898195589205,NA,6,"Domain 6: intake, diet, proteins, cell"
"Domain 6: intake, diet, proteins, cell",NA,NA,top_x_share,0.6268656716417911,1,6,"Domain 6: intake, diet, proteins, cell"
"Domain 6: intake, diet, proteins, cell",NA,NA,top_x_share,0.7761194029850746,3,6,"Domain 6: intake, diet, proteins, cell"
"Domain 6: intake, diet, proteins, cell",NA,NA,top_x_share,0.7761194029850746,5,6,"Domain 6: intake, diet, proteins, cell"
"Domain 6: intake, diet, proteins, cell",NA,NA,top_x_share,0.8656716417910447,10,6,"Domain 6: intake, diet, proteins, cell"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,n_papers,27,NA,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,n_authors,82,NA,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,hhi,3.1893004115226304,NA,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,top_x_share,0.9629629629629629,1,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,top_x_share,0.9629629629629629,3,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,top_x_share,0.9629629629629629,5,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 7: sleep, fatigability, perceived, reported",NA,NA,top_x_share,0.9629629629629629,10,7,"Domain 7: sleep, fatigability, perceived, reported"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,n_papers,26,NA,8,"Domain 8: personality, neuroticism, traits, neo"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,n_authors,82,NA,8,"Domain 8: personality, neuroticism, traits, neo"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,hhi,1.7233727810650925,NA,8,"Domain 8: personality, neuroticism, traits, neo"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,top_x_share,1,1,8,"Domain 8: personality, neuroticism, traits, neo"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,top_x_share,1,3,8,"Domain 8: personality, neuroticism, traits, neo"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,top_x_share,1,5,8,"Domain 8: personality, neuroticism, traits, neo"
"Domain 8: personality, neuroticism, traits, neo",NA,NA,top_x_share,1,10,8,"Domain 8: personality, neuroticism, traits, neo"
