paper_id,pmid,title,authors,pub_year,published,journal,doi,external_url,source_page
abcd_42215743,42215743,Brain regions with gestational age differences mediate cognition in adolescents born very premature.,Jensen D; Jakim T; Li Q; Murphy A; Bangasser D; Calhoun V; Liu J,2026,2026/05/29,Communications biology,10.1038/s42003-026-10322-9,,1
abcd_parental_job_loss_and_early_adolescent_mental_health_findings_from_the_abcd_stud,,Parental job loss and early adolescent mental health: findings from the ABCD study,Niu L; Li Y; & Galea S,2026,2026/05/27,Humanities and Social Sciences Communications,,https://www.nature.com/articles/s41599-026-07787-8,1
abcd_42191703,42191703,Convergent and divergent brain-cognition development in early adolescence.,Xie Y; Zhang S; Orban C; Ooi LQR; Kong R; Floris DL; Zuo XN; Dhamala E; Holmes AJ; Uddin LQ; Nichols TE; Di Martino A; Yeo BTT,2026,2026/05/26,Nature communications,10.1038/s41467-026-73668-y,,1
abcd_42186177,42186177,"What makes a lonely child: environmental, health, and multimodal neuroimaging correlates of prospective loneliness in the ABCD study.",Wong TY; Wong TS; Hou WK; Leung ANM; Xiao J; Yuen KSL; Lui SSY; Qiu A; Moore TM; Gur RC,2026,2026/05/25,"Journal of child psychology and psychiatry, and allied disciplines",10.1111/jcpp.70178,,1
abcd_42202718,42202718,Prenatal and early-life determinants of neurodevelopment: A decade of discoveries and new directions in ABCD.,Menu I; Cachia A; Thomason ME,2026,2026/05/25,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101747,,1
abcd_42214838,42214838,From school climate to brain development: What the ABCD study reveals about the educational context of adolescence.,Thompson EL; Sawi OM; Roy EA; Abad S; Kaiver CM; Lehman SM; Tay J; Gonzalez MR; Van Rinsveld A; Dowling GJ; Brown SA; Jernigan TL; McCandliss BD; Hoffman EA,2026,2026/05/25,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101746,,1
abcd_42235252,42235252,Effects of working memory and reward reactivity on externalizing behaviors in the ABCD study.,Schettini E; Cheavens J; Saygin ZM,2026,2026/05/25,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101743,,1
abcd_the_longitudinal_structure_of_cognition_in_the_abcd_study_and_associations_with_,,The Longitudinal Structure of Cognition in the ABCD Study and Associations with Neural Function and Psychopathology: a Bayesian Probabilistic Principal Components Analysis,Luciana M; Duffy KA; & Thompson WK,2026,2026/05/22,Developmental Cognitive Neuroscience,,https://www.sciencedirect.com/science/article/pii/S1878929326000812,1
abcd_42165753,42165753,"Associations between prenatal alcohol exposure and parent-reported sleep disturbances in 10,336 adolescents: an Adolescent Brain Cognitive Development study.",Devine EK; Green R; Visontay R; Byrne H; Riches J; Elliott EJ; Newton NC; Squeglia LM; Mewton L; Stapinski LA,2026,2026/05/21,"Journal of child psychology and psychiatry, and allied disciplines",10.1111/jcpp.70165,,1
abcd_42184613,42184613,Linking temporal dynamics of children's natural behavior to brain development.,Koepp AE; Nishio M; Mackey AP,2026,2026/05/20,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101742,,1
abcd_42157479,42157479,Novel Psychiatric Disorders Following Mild Traumatic Brain Injury in the Second Year of the Adolescent Brain Cognitive Development Study.,Troyer EA; Meng W; Vaida F; Delfel E; Jacobus J; de Souza NL; Dennis EL; Wilde EA; Abildskov T; Cheng M; Yang X; Hesselink JR; Bigler ED; Max JE,2026,2026/05/19,Journal of neurotrauma,10.1177/08977151261450338,,1
abcd_42149585,42149585,Smartphone Use on School Nights in the Adolescent Brain Cognitive Development Study.,Nagata JM; Kim KE; Leong AW; Christakis DA; Baker FC; Hale L,2026,2026/05/18,JAMA pediatrics,10.1001/jamapediatrics.2026.1707,,1
abcd_42150075,42150075,Attention problems and cortical maturation in a large longitudinal sample of youths: The importance of accounting for sex differences.,O'Connor SD; Loughnan R; Ahern J; Fan CC; Althoff RR; Garavan H; Potter A; Albaugh MD,2026,2026/05/18,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2605729123,,1
abcd_42140891,42140891,Mapping the spatiotemporal continuum of structural connectivity development across the human connectome in youth.,Xu X; Yang H; Cong J; Xu H; Kai J; Zhao S; Li Y; Shou H; Wang K; Sydnor VJ; Xu T; Yeh FC; Cui Z,2026,2026/05/15,Nature communications,10.1038/s41467-026-73072-6,,1
abcd_42133374,42133374,Identifying significant environmental predictors of change in delay discounting among adolescents in the Adolescent Brain Cognitive Development Study.,Kahn G; Bounoua N; Strickland JC; Hung IT; Maher B; Rabinowitz JA; Felton JW,2026,2026/05/14,Experimental and clinical psychopharmacology,10.1037/pha0000851,,1
abcd_risk_factor_or_outcome_testing_alternative_causal_models_connecting_adolescent_a,,Risk Factor or Outcome? Testing Alternative Causal Models Connecting Adolescent Alcohol Involvement with Peer and Parenting Factors,Vahedi M; Xu YV; McDonald B; & Briley DA,2026,2026/05/11,Journal of Child & Adolescent Substance Use,,https://www.tandfonline.com/doi/abs/10.1080/29973368.2026.2667177,1
abcd_42161038,42161038,Associations of endocannabinoid serum concentrations with behavioral impulsivity and substance use in late childhood to early adolescence.,Shankula CA; Sullivan RM; Stinson EA; Baacke KA; Kaiver CM; Wallace AL; Bernal ES; Paltzer ZR; Hillard CJ; Lisdahl KM,2026,2026/05/11,Drug and alcohol dependence,10.1016/j.drugalcdep.2026.113184,,1
abcd_42202720,42202720,Understanding adverse childhood experiences within the first decade of the ABCD study: A systematic review.,de Arellano A; Tucker A; de Arellano A; Rother Y; Mann C; Butler L; Albaugh M; Allgaier N; Garavan H; Potter A; Johnson M; Hunt E; Gonçalves P; Flory K,2026,2026/05/09,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101740,,1
abcd_42182823,42182823,Sex-specific hippocampal microstructural alterations in 11-12-year-old adolescents with a history of mild traumatic brain injury.,Ma J; Yurgelun-Todd DA; McGlade EC,2026,2026/05/08,Frontiers in behavioral neuroscience,10.3389/fnbeh.2026.1766772,,1
abcd_42103872,42103872,Learning brain dynamics across distinct scaling regimes reveals psychiatric signatures.,Bae S; Kwon J; Yoo S; Cha J,2026,2026/05/08,Communications biology,10.1038/s42003-026-10011-7,,1
abcd_42127658,42127658,Timing and tempo of puberty and neurodevelopment following adversity: A registered report.,Brieant A; Chaku N; Beck D; MacSweeney N; Rakesh D; Tamnes CK,2026,2026/05/07,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101738,,1
abcd_42127656,42127656,Transdiagnostic divergent neural development of reward anticipation in early adolescents at risk for depression and psychosis.,Huang Y; Xu H; Zhang W; Jin J; Li Y; Yan C,2026,2026/05/05,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101736,,1
abcd_42071040,42071040,Classifying and visualizing medication use in the ABCD study.,Lopez DA; Overholtzer LN; Rhee KE; Buchbinder N; Ruiz-Orozco GE; Steinhilber S; Tognoli M; Flores AL; Nagel BJ,2026,2026/05/04,Scientific reports,10.1038/s41598-026-50046-8,,1
abcd_42081499,42081499,The longitudinal relation between adolescents' learning outcomes and internalizing symptoms: The role of ADHD symptoms.,Visser L; Ehm JH; Brandenburg J,2026,2026/05/04,PloS one,10.1371/journal.pone.0347582,,1
abcd_41983962,41983962,Contextualizing Socioeconomic Status Effects on Adolescent Brain Structure and Cognitive Skills: Evidence From the ABCD Study.,Marzoratti A; Lipscomb DW; Newman BT; Horn JDV; Evans TM,2026,2026/05/01,Developmental science,10.1111/desc.70190,,1
abcd_42067455,42067455,Sleep health in sexual minority youth: An intersectional approach across ethnicity-race and sex-Findings from the Adolescent Brain Cognitive Development (ABCD) Study.,Zhang Y; Yan J; Zhao Z; Wang Y,2026,2026/04/30,Sleep health,10.1016/j.sleh.2026.03.007,,1
abcd_42095845,42095845,Cumulative impacts of early-life interpersonal adversity and persistent/recurrent pain in children: a longitudinal normative modelling study from the ABCD study cohort.,Lim TE; Humburg P; Reay WR; Gustin SM; Quidé Y,2026,2026/04/30,Pain,10.1097/j.pain.0000000000003995,,1
abcd_42056089,42056089,Correction: Change in striatal functional connectivity networks across 2 years due to stimulant exposure in childhood ADHD: results from the ABCD sample.,Kaminski A; Xie H; Hawkins B; Vaidya CJ,2026,2026/04/29,Translational psychiatry,10.1038/s41398-026-04051-0,,1
abcd_42131063,42131063,Benchmarking functional brain network organization in childhood and its similarity to adults.,Ali SA; Demeter DV; Baim AR; Koithan EM; Feigelis M; Zreik S; Ahern J; Chang SE; Park S; Gordon EM; Marek S; Greene DJ,2026,2026/04/28,Frontiers in neuroimaging,10.3389/fnimg.2026.1818662,,1
abcd_42045209,42045209,Nonergodicity and Simpson's paradox in neurocognitive dynamics of cognitive control.,Mistry PK; Branigan NK; Gao Z; Cai W; Menon V,2026,2026/04/27,Nature communications,10.1038/s41467-026-71404-0,,1
abcd_exposure_to_violence_as_a_predictor_of_time_to_dextromethorphan_misuse_onset_in_,,Exposure to Violence as a Predictor of Time to Dextromethorphan Misuse Onset in Childhood and Adolescence Among Youth in the USA: The Moderating Role of Race,Wojciechowski T,2026,2026/04/25,International Journal of Mental Health and Addiction,,https://link.springer.com/article/10.1007/s11469-026-01666-8,1
abcd_42023681,42023681,The Sweet Spot of Weekend Catch-up Sleep: U-shaped Associations with Internalizing Symptoms in Adolescents from the Adolescent Brain Cognitive Development study.,Kim S; Casement MD,2026,2026/04/23,Sleep,10.1093/sleep/zsag113,,1
abcd_42061116,42061116,"Effects of sex, pubertal stage, and pubertal hormones on frontal and limbic responses to fearful and happy faces during early adolescence.",Qian Y; Swartz JR; Barendse MEA; Taylor SL; Fine JR; Ruttle PL; Shirtcliff EA; Guyer AE,2026,2026/04/23,Psychoneuroendocrinology,10.1016/j.psyneuen.2026.107866,,1
abcd_42012849,42012849,Temporal dynamics of chronic irritability and anxiety: Using the adolescent brain and cognitive development study to understand their reciprocal associations over time.,Blanchard L; Foy J; Burke JD,2026,2026/04/21,Child development,10.1093/chidev/aacag066,,1
abcd_42002627,42002627,Longitudinal neurocognitive trajectories in a large cohort of youth who use cannabis: combining self-report and toxicology.,Wade NE; Sullivan RM; Wallace AL; Visontay R; Szpak V; Lisdahl KM; Huestis MA; Gonçalves PD; Byrne H; Mewton L; Jacobus J; Tapert SF,2026,2026/04/20,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,10.1038/s41386-026-02395-1,,1
abcd_41989408,41989408,Interrogating cognitive and neural group variation in childhood: Examples in adolescent brain cognitive development and Oregon attention-deficit/hyperactivity disorder-1000 cohorts.,Karalunas SL; Atluri G; Tamm L; Dudley J; Maloney T; Pieper S; Jones SA; Simon J; Duong PA; Nagel BJ; Epstein JN,2026,2026/04/16,Journal of psychopathology and clinical science,10.1037/abn0001078,,1
abcd_41991511,41991511,Physical-Digital and social-nonsocial extracurricular engagement: differential effects on brain development and psychological outcomes in children.,Tian X; Yang R; Lou J; Sun Y; Wang M; Wang Q; Lei W; Li A; Zhang Z; Liu B,2026,2026/04/16,Translational psychiatry,10.1038/s41398-026-04045-y,,1
abcd_42090935,42090935,Brain structural markers of suicidality change in adolescents: A longitudinal neuroimaging study of low family-neighborhood-school environmental risk.,Hong X; Cui X; Chen C; Zhang Z; Jin Y; Wang Y,2026,2026/04/16,Psychiatry research. Neuroimaging,10.1016/j.pscychresns.2026.112223,,1
abcd_predicting_the_persistence_of_mental_health_problems_in_adolescents_a_longitudin,,Predicting the persistence of mental health problems in adolescents: a longitudinal study from the ABCD study,Hou J; Van De Mortel L; Popma A; Smit D; & van Wingen G,2026,2026/04/15,BMJ Connections Mental Health,,https://connectionsmentalhealth.bmj.com/content/1/1/e000060,1
abcd_leveraging_network_structure_in_changepoint_detection_for_dynamic_functional_con,,Leveraging Network Structure in Changepoint Detection for Dynamic Functional Connectivity in Resting-State fMRI Data,Island E; Duffy KA; Roediger D; Mueller BA; Luciana M; Klimes-Dougan B; Cullen KR; & Fiecas MB,2026,2026/04/15,Statistics and Data Science in Imaging,,https://www.tandfonline.com/doi/full/10.1080/29979676.2026.2641239,1
abcd_41986741,41986741,Feature selection leads to divergent neurobiological interpretations of brain-based machine learning biomarkers.,Adkinson BD; Rosenblatt M; Sun H; Dadashkarimi J; Tejavibulya L; Horien C; Westwater ML; Rodriguez RX; Noble S; Scheinost D,2026,2026/04/15,Nature human behaviour,10.1038/s41562-026-02447-y,,1
abcd_forerunners_of_conduct_disorder_and_psychosis_in_the_developing_brain_insights_a,,Forerunners of conduct disorder and psychosis in the developing brain - insights across time from the ABCD study,Tesli N; Rokicki J; Shadrin AA; Westlye LT; Andreassen OA; & Haukvik UK,2026,2026/04/13,Aggression and Violent Behavior,,https://www.sciencedirect.com/science/article/pii/S1359178926000285,1
abcd_41973306,41973306,"Measurement Equivalence Across Sex, Race/Ethnicity, and Intersectional Identity for the Perceived Discrimination Scale Among Middle-School-Aged Black, Latinx, and White Youth: Findings From the Adolescent Brain Cognitive Development Study.",Sartor CE; Powell MZ; Kennelly N; Chung T; Latendresse SJ,2026,2026/04/13,Journal of racial and ethnic health disparities,10.1007/s40615-026-02938-8,,1
abcd_41967588,41967588,Neuroanatomical Variability in Brain Surface Area and Cortical Volumes Associated with Adolescent E-cigarette Use.,Dai HD; Kochvar A; Tang Z; Doucet GE,2026,2026/04/10,Behavioural brain research,10.1016/j.bbr.2026.116218,,1
abcd_41957369,41957369,"Brain functional-structural gradient coupling reflects development, behavior and genetic influences.",Gao S; Gu Z; Ding S; Wang G; Zhang Z; Zhao H; Zhao Y,2026,2026/04/09,Nature communications,10.1038/s41467-026-71719-y,,1
abcd_41990526,41990526,A decade of discovery: Leveraging genomic data in the ABCD study to illuminate adolescent neurodevelopment.,Hernandez LM; Loughnan R; Cheng W; Zhang L; Fan CC; Agrawal A,2026,2026/04/09,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101723,,1
abcd_41956931,41956931,"Corrigendum to ""Brain structures with stronger genetic associations are not less associated with family- and state-level economic contexts"" [Dev. Cogn. Neurosci. 70 (2024) 101455].",Williams CM; Weissman DG; Mallard TT; McLaughlin KA; Harden KP,2026,2026/04/08,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101720,,1
abcd_41985217,41985217,"Links between hormonal and pubertal development, and adolescent females' risk for affective symptoms.",Evans AI; Kogan SM; Koss KJ; House EM; Geier CF; Oshri A,2026,2026/04/07,Psychoneuroendocrinology,10.1016/j.psyneuen.2026.107849,,1
abcd_41946727,41946727,Spatiotemporal dynamics of the human cortical functional hierarchy across the lifespan.,Li Q; Liang X; Zeng D; Zhao T; Liao X; Gong G; Wang Q; Pang C; Yu Q; Dong X; He Y; Bi Y; Chen P; Chen R; Chen Y; Chen T; Cheng J; Cheng Y; Cui Z; Dai Z; Deng Y; Ding Y; Dong Q; Duan D; Gao JH; Gong Q; Han Y; Han Z; Huang CC; Huang R; Huo R; Li L; Lin CP; Lin Q; Liu B; Liu C; Liu N; Liu Y; Liu Y; Lu J; Ma L; Men W; Qin S; Qin W; Qiu J; Qiu S; Si T; Tan S; Tang Y; Tao S; Wang D; Wang F; Wang J; Wang P; Wang X; Wang Y; Wei D; Wu Y; Xie P; Xu X; Xu Y; Xu Z; Yang L; Yu C; Yuan H; Zeng Z; Zhang H; Zhang X; Zhao G; Zheng Y; Zhong S; Xia M; Li S; He Y,2026,2026/04/07,Nature communications,10.1038/s41467-026-71270-w,,1
abcd_41980517,41980517,"Digital engagement profiles and binge eating symptoms in adolescents: A person-centred, longitudinal analysis.",Brown T; Tanti V; Wilson N; Griffiths MD; Lubman D; Hein K; Stavropoulos V,2026,2026/04/07,Comprehensive psychiatry,10.1016/j.comppsych.2026.152694,,1
abcd_41942429,41942429,Psychiatric predictors of first-onset suicidal thoughts and behaviors throughout preadolescence: longitudinal associations in a US population-based study.,Walsh RFL; Sheehan AE; Burke TA; Liu RT,2026,2026/04/06,Translational psychiatry,10.1038/s41398-026-03980-0,,1
abcd_41940926,41940926,"The association between motor coordination, behavior, cognition and brain structure in children: an ABCD study.",Bonke EM; Cetin-Karayumak S; Zhang F; Tripodis Y; Seer C; Frey M; Betz AK; Rojczyk P; Zekelman LR; Seitz-Holland J; Pieper S; Schulte-Koerne G; Shenton ME; O'Donnell LJ; Rathi Y; Koerte IK,2026,2026/04/06,European child & adolescent psychiatry,10.1007/s00787-025-02931-2,,1
abcd_41943162,41943162,"Cortical thickness, surface area, and multisite pain: distinct patterns by sex in adolescence.",Hidalgo-Lopez E; Portengen C; Smith T; Becker HC; Schrepf A; Harte SE; Beltz AM; Kaplan CM,2026,2026/04/06,Biology of sex differences,10.1186/s13293-026-00898-6,,1
abcd_41950658,41950658,Latent classes of substance use precursors predict positive alcohol and cannabis expectancies one year later in Black and Latino early adolescents in the ABCD study.,Chung T; Kennelly N; Latendresse SJ; Powell MZ; Sartor CE,2026,2026/04/05,Addictive behaviors,10.1016/j.addbeh.2026.108702,,1
abcd_41958856,41958856,Youth experiences with discrimination and the association with multisite pain.,Malik M; Smith T; Clauw D; Nafiu OO; Bergmans RS; Kaplan C; Puglia MP,2026,2026/04/03,Pain reports,10.1097/PR9.0000000000001432,,1
abcd_41934709,41934709,Neighborhood air pollution is associated with attenuated neurocognitive maturation over early adolescence.,Kardan O; Sereeyothin C; Schertz KE; Angstadt M; Weigard AS; Berman MG; Heitzeg MM; Rosenberg MD,2026,2026/04/02,Developmental cognitive neuroscience,10.1016/j.dcn.2026.101719,,1
abcd_42005575,42005575,"Adolescent loneliness in the United States: Prevalence, sociodemographic correlates, and psychological health over time.",Otmar CD; Nagata JM,2026,2026/04/02,SSM - population health,10.1016/j.ssmph.2026.101919,,1
